Advertiser,Keyword,Bid Value,Budget
0,lucius review,0.2,103
0,houston rockets,0.7,
0,mockingbird lane,0.5,
0,60 minutes,0.2,
1,new york nanny agencies,0.2,343
1,ihsa football scores,0.8,
1,nba preseason stats,0.1,
1,houston rockets,0.8,
1,greys anatomy s9e4,0.4,
1,benghazi attack,0.6,
1,vegas,0.9,
1,mockingbird lane,0.9,
1,storm,0.9,
1,sandy,0.9,
2,nexus 10,0.9,221
2,ms surface,0.5,
2,greys anatomy s9e4,0.5,
2,mockingbird lane,0.7,
2,saanvi,0.7,
2,florida vs georgia,0.9,
2,&esrc=s,0.6,
3,ihsa football scores,0.7,366
3,elise build,0.4,
3,mac mini,0.4,
3,ios 6 update,0.6,
3,asus vivo tab,0.7,
3,farming simulator 2013,0.4,
3,google,0.2,
3,android 4.2,0.8,
3,marvel spec ops 4,0.6,
3,nexus 7,0.8,
3,hurricane,0.7,
3,it's a mad king's world,0.4,
3,ipad mini review,0.2,
3,&esrc=s,0.3,
4,elise build,0.5,146
4,fallen enchantress review,0.5,
4,faithful 1.4.2,0.1,
4,mitt romney,0.5,
4,android 4.2,0.9,
4,lucius,0.1,
4,halloween summoner icons,0.4,
5,minecraft version changer,0.3,93
5,lucius review,0.3,
5,ios 6 update,0.1,
5,nexus,0.7,
6,window 8,0.2,61
6,nexus 4,0.9,
6,amazing race,0.2,
7,asus vivo tab,0.7,74
7,east coast storm,0.2,
7,windows 8,0.2,
8,wii games,0.7,132
8,fringe review,0.4,
8,htc 8x,0.2,
8,office 2013,0.2,
8,saanvi venna,0.9,
9,watch world series online,0.2,319
9,obama,0.6,
9,east coast storm,0.8,
9,asus transformer infinity,0.6,
9,nexus,0.5,
9,nanny,0.5,
9,&source=web,0.5,
9,eerie crate,0.6,
9,saanvi venna,0.7,
9,south carolina football,0.8,
9,galaxy note 2,0.2,
9,sandy,0.7,
10,rutgers football,0.2,93
10,htc 8x,0.6,
10,saanvi venna,0.5,
10,48 hours,0.2,
10,tropical storm sandy,0.2,
11,android 4.2,0.5,95
11,cabelas dangerous hunts,0.8,
11,nanny kills kids,0.3,
12,minecraft version changer,0.4,300
12,ios 6 update,0.3,
12,faithful 1.4.2,0.8,
12,microsoft,0.5,
12,lenovo ideapad yoga,0.8,
12,jelly bean galaxy s3,0.7,
12,macbook air,0.4,
12,eerie crate,0.6,
12,daemon tools lite,0.5,
12,saanvi,0.5,
13,ms surface,0.3,171
13,rutgers football,0.7,
13,asus vivo tab,0.7,
13,farming simulator 2013,0.3,
13,partners,0.7,
13,lucius,0.3,
13,&esrc=s,0.7,
14,nexus 10,0.7,119
14,fallen enchantress review,0.9,
14,48 hours,0.9,
15,mini ipad,0.7,218
15,houston rockets,0.9,
15,mac mini,0.5,
15,macbook air,0.8,
15,amazing race,0.4,
15,nanny kills kids,0.2,
15,storm,0.4,
16,nc state football,0.3,172
16,window 8,0.4,
16,lucius review,0.4,
16,vegas,0.6,
16,marvel spec ops 4,0.9,
16,macbook air,0.1,
16,daemon tools lite,0.1,
17,mini ipad,0.3,207
17,nba preseason stats,0.1,
17,asus vivo tab,0.8,
17,watch world series online,0.2,
17,windows surface,0.3,
17,nyc nanny,0.3,
17,macbook air,0.5,
17,windows store,0.2,
17,windows phone 8,0.4,
17,it's a mad king's world,0.6,
17,halloween summoner icons,0.4,
18,nc state football,0.3,288
18,ihsa football scores,0.9,
18,minecraft version changer,0.7,
18,skyrim dlc,0.5,
18,faithful 1.4.2,0.8,
18,samsung ativ smart pc,0.8,
18,florida gators,0.2,
18,nexus 7,0.9,
18,macbook air,0.2,
18,hurricane sandy,0.2,
19,houston rockets,0.2,85
19,gw2 mad king armor,0.7,
19,nanny kills kids,0.7,
20,colin powell,0.3,54
20,notre dame oklahoma,0.4,
20,benghazi attack,0.1,
20,eerie crate,0.3,
21,nokia lumia 920,0.1,153
21,ios 6 update,0.8,
21,asus vivo tab,0.9,
21,lenovo yoga,0.3,
21,nanny kills kids,0.3,
21,hurricane sandy,0.5,
22,colin powell,0.4,117
22,east coast storm,0.2,
22,lenovo ideapad yoga,0.7,
22,daemon tools lite,0.5,
22,medal of honor warfighter,0.3,
23,microsoft,0.8,61
23,macbook air,0.6,
24,google tablet,0.3,105
24,jetblue flights,0.6,
24,nexus,0.7,
24,nexus 4,0.1,
24,hurricane sandy,0.3,
25,farming simulator 2013,0.5,79
25,partners,0.1,
25,obama,0.6,
25,amazing race,0.1,
25,windows 8,0.3,
26,wii games,0.3,227
26,microsoft,0.6,
26,partners,0.8,
26,nexus 4,0.5,
26,eerie crate,0.8,
26,hurricane,0.9,
27,houston rockets,0.8,85
27,asus vivo tab,0.2,
27,windows surface,0.3,
27,nanny kills kids,0.8,
28,ihsa football scores,0.6,105
28,minecraft version changer,0.6,
28,medal of honor warfighter,0.7,
29,skyrim dlc,0.3,139
29,jetblue flights,0.2,
29,windows store,0.9,
29,amazing race,0.6,
29,60 minutes,0.9,
30,new york nanny agencies,0.9,150
30,mac mini,0.2,
30,partners,0.6,
30,samsung ativ smart pc,0.8,
30,lenovo ideapad yoga,0.4,
31,nyc nanny,0.7,129
31,benghazi,0.8,
31,windows store,0.2,
31,windows phone 8,0.1,
31,it's a mad king's world,0.3,
31,marco rubio daughter,0.5,
32,oregon ducks football,0.1,226
32,wii games,0.3,
32,window 8,0.9,
32,nokia lumia 920,0.6,
32,greys anatomy s9e4,0.3,
32,microsoft,0.1,
32,partners,0.7,
32,jelly bean galaxy s3,0.5,
32,benghazi,0.5,
33,google tablet,0.1,221
33,watch world series online,0.2,
