ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
1,7/16/90,1,43,MINNEAPOLIS,MN,55416,4512,0,O,O,4,B,N,,,,1,F,1,87500,N,0,,,B,R,,,,421891,N,,N,,1,10826.46,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,2435.49
2,1/2/81,1,54,PELLA,IA,50219,2124,0,P,O,9,S,N,,,,1,F,1,87500,G,80,C,,,,1,,,38057,N,,N,,1,198.65,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-0.52
6,3/25/94,1,46,LONG LAKE,MN,55356,9636,1,O,O,15,M,Y,,Y,,1,M,2,30000,N,110,Q,1993,B,R,2,Y,A,649914,N,,N,,1,0,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,2723.29
11,2/25/94,3,53,COLORADO SPGS,CO,80907,6921,0,1,O,7,B,N,,,,3,M,1,112500,I,200,O,1899,B,R,2,,A,357592,Y,104719.78,N,,1,3248.82,Y,406540.08,N,0,N,0,N,0,,0,,0,N,,N,NA,NA,NA,Y,Y,6589.69
15,3/3/94,1,74,ANN ARBOR,MI,48104,1810,0,1,O,15,M,N,,,,3,M,2,125000,J,330,Q,,B,R,2,,A,1104139,N,,N,,1,10522.43,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,243.54
23,1/11/89,1,57,MILWAUKEE,WI,53224,2410,1,1,O,3,M,Y,,Y,,1,M,2,35000,G,390,,,B,R,1,,,0,N,,N,,0,0,N,,N,0,N,0,N,0,,0,Y,17730.65,N,,NA,NA,NA,NA,NA,NA,98.79
24,7/12/96,3,20,DULUTH,MN,55804,1409,0,O,O,11,B,N,,,,1,M,1,3999.96,N,0,F,1940,,,2,,A,85775,N,,Y,1158.21,1,52.54,Y,89.2,N,0,N,0,N,0,,0,,0,N,,Y,NA,NA,NA,Y,NA,-38
25,3/11/94,1,46,GROSSE POINTE,MI,48236,3305,1,7,O,2,M,Y,,Y,Y,1,F,3,73200,N,300,,,B,R,1,,E,259934,N,,N,,1,14408.42,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,2246.63
28,1/5/87,5,60,LA JUNTA,CO,81050,1740,0,1,O,15,M,N,,,,1,M,2,45000.96,N,280,D,,B,R,2,,,6451,N,,Y,20782.28,0,,N,,N,0,Y,10745.5,N,0,,0,,0,N,,N,NA,NA,Y,NA,Y,357.06
31,3/24/78,1,79,GREAT FALLS,MT,59405,3417,,,O,,,,,,,0,,,25000,,,,,,,,,,59153,Y,10000,N,,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-4.7
34,6/28/66,1,80,DENVER,CO,80223,3531,0,1,O,15,M,N,,,,1,M,2,25000,G,20,G,1954,B,R,1,,A,1149,N,,N,,1,604.63,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,4.79
35,6/14/94,1,80,MINNEAPOLIS,MN,55410,1762,0,8,O,9,M,N,,,,3,F,2,45000,N,70,H,1950,B,R,1,,A,68741,N,,N,,1,2549.74,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,251.83
36,5/21/92,5,47,BILLINGS,MT,59101,7100,0,Y,O,8,S,N,,,,3,M,2,300000.96,I,290,D,1985,B,R,1,,A,7053,N,,Y,7630.13,1,9.95,N,,N,0,Y,36668.75,N,0,,0,,0,N,,Y,NA,NA,N,Y,Y,825.14
