,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
1284,33798,01/12/2007,1,46.0,BESSEMER,AL,35022.0,7025.0,1.0,O,O,2.0,A,Y,,Y,,1,M,2.0,112500.0,J,70.0,,,B,R,1.0,,,59385.0,N,,N,,0,,N,,Y,249341.56,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-35.52
1962,35354,08/01/1968,1,,FALKVILLE,AL,35622.0,8443.0,0.0,E,O,1.0,M,N,,,,1,F,2.0,45000.0,N,30.0,D,,,R,,,,2174.0,N,,Y,19.05,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,Y,,Y,,Y,-17.37
2976,37990,03/17/1999,1,42.0,BIRMINGHAM,AL,35214.0,3901.0,1.0,1,O,7.0,S,Y,,Y,,1,F,1.0,87500.0,Z,30.0,D,1955.0,B,R,1.0,,A,4799.0,N,,N,,0,,N,,Y,82846.04,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,0.0
3020,2397,06/03/1991,2,24.0,HUNTSVILLE,AL,35806.0,2612.0,1.0,O,O,8.0,B,Y,,Y,,1,M,1.0,12000.0,N,0.0,H,,,,,,,20079.0,N,,Y,827.64,0,,Y,2236.82,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,0.63
3484,31168,11/10/2005,1,52.0,MADISON,AL,35758.0,8191.0,0.0,1,O,6.0,M,N,,,Y,3,M,3.0,112500.0,N,170.0,F,,B,R,1.0,,,121041.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,13.35
3936,22312,04/24/1997,1,60.0,MOBILE,AL,36609.0,3344.0,1.0,E,O,4.0,M,Y,,Y,,3,M,2.0,75000.0,N,340.0,I,1975.0,B,R,2.0,,A,25646.0,N,,N,,1,1885.6,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,33.24
4861,23935,04/01/1991,1,36.0,BIRMINGHAM,AL,35209.0,6653.0,0.0,3,O,5.0,S,N,,,,2,M,1.0,112500.0,N,290.0,H,1959.0,B,R,2.0,,A,65236.0,N,,N,,1,250.89,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,96.35
5059,16517,12/29/2005,1,21.0,HUNTSVILLE,AL,35802.0,2043.0,0.0,3,O,5.0,M,N,,,Y,1,M,3.0,45000.0,N,160.0,D,1921.0,B,R,3.0,,A,2.0,N,,N,,1,2458.41,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,112.97
6732,9288,03/29/2003,1,47.0,SOUTHSIDE,AL,35907.0,7093.0,0.0,5,O,2.0,M,N,,,,1,M,4.0,62500.0,S,580.0,E,,B,R,2.0,,,49499.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,Y,19266.73,,0.0,N,,,,,,,,328.67
6746,4267,10/06/1994,1,58.0,HUNTSVILLE,AL,35802.0,2552.0,2.0,3,O,15.0,M,Y,,Y,,1,M,2.0,112500.0,N,30.0,H,,B,R,1.0,,,26902.0,N,,N,,1,19119.2,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,330.47
