,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
101,32694,09/28/2006,1,50.0,WADDELL,AZ,85355.0,9622.0,1.0,O,O,14.0,M,Y,,Y,Y,1,M,3.0,87500.0,N,100.0,J,1993.0,B,R,3.0,Y,A,77714.0,N,,N,,1,7351.59,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-176.34
162,13005,11/02/2004,2,59.0,TUCSON,AZ,85711.0,4607.0,0.0,1,O,0.0,M,N,,,,3,M,2.0,112500.0,H,360.0,H,1954.0,B,R,2.0,,A,58132.0,N,0.0,Y,268.14,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-149.34
185,15764,09/28/2005,4,23.0,PHOENIX,AZ,85051.0,6644.0,0.0,O,R,5.0,M,N,,,,1,M,1.0,26400.0,N,0.0,I,1987.0,,,,,A,32501.0,N,,Y,399.61,1,227.02,Y,1550.32,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,N,Y,Y,-139.15
402,17678,05/09/2006,3,36.0,MESA,AZ,85204.0,4253.0,2.0,P,O,6.0,M,Y,,Y,,1,M,2.0,62500.0,H,0.0,H,1973.0,,,,,A,10135.0,N,,Y,,1,61.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-95.18
439,10705,11/18/2003,2,25.0,MESA,AZ,85201.0,6276.0,0.0,P,R,1.0,B,N,,,,1,M,1.0,31200.0,N,280.0,D,1967.0,B,R,2.0,,B,2374.0,N,,Y,63.5,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-91.39
505,16129,11/08/2005,3,32.0,CHANDLER,AZ,85226.0,2944.0,1.0,O,O,3.0,S,Y,Y,,,3,M,1.0,125000.0,O,0.0,M,1995.0,,,1.0,,A,237848.0,N,,Y,5686.08,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,N,,,Y,Y,-83.95
693,11645,04/27/2004,2,33.0,ANTHEM,AZ,85086.0,1190.0,0.0,O,O,5.0,B,N,,,,1,M,1.0,62500.0,S,170.0,,,B,R,1.0,,,105187.0,N,,Y,5148.15,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-66.97
805,18694,08/10/2006,1,43.0,PHOENIX,AZ,85023.0,1519.0,1.0,3,R,0.0,M,Y,,Y,,1,F,2.0,62500.0,I,150.0,E,1979.0,,,1.0,,A,14568.0,N,,Y,140.12,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-59.03
853,16478,12/22/2005,1,36.0,TUCSON,AZ,85757.0,6940.0,,,,0.0,,,,,,0,,,,,0.0,,,,,,,,1276.0,N,,Y,0.49,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-55.54
925,20443,01/31/2007,2,41.0,TEMPE,AZ,85280.0,3312.0,1.0,,O,1.0,S,Y,Y,,,1,M,2.0,15000.0,O,0.0,A,,,,,,,0.0,N,,Y,11.12,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,Y,,Y,Y,Y,-52.43
1170,43630,05/25/2000,3,43.0,TUCSON,AZ,85710.0,2206.0,1.0,Q,O,13.0,M,Y,,Y,Y,1,M,2.0,34999.92,N,360.0,,,B,R,1.0,,,12098.0,Y,1000.0,Y,96.14,0,,Y,339.0,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,,Y,-39.97
1209,12086,06/30/2004,1,35.0,COLORADO CITY,AZ,86021.0,955.0,1.0,,O,7.0,B,Y,Y,,,1,M,1.0,72000.0,N,0.0,,,B,R,2.0,,,294.0,N,,Y,148.35,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,Y,,,Y,Y,-38.65
1311,1137,10/01/1977,1,64.0,PRESCOTT VLY,AZ,86312.0,5865.0,0.0,,O,13.0,M,N,,,,1,M,2.0,62500.0,S,200.0,H,,B,R,1.0,,,7033.0,N,,N,,1,2290.95,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-35.01
1464,40407,05/15/2000,1,55.0,PHOENIX,AZ,85029.0,2519.0,0.0,2,O,8.0,M,N,,,,1,M,2.0,62500.0,H,360.0,G,1961.0,B,R,1.0,Y,A,99075.0,N,,Y,75.72,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,Y,,Y,,,-30.38
1514,29262,06/30/2004,1,64.0,PHOENIX,AZ,85024.0,1646.0,0.0,7,O,1.0,S,N,,,,1,F,1.0,17500.0,G,70.0,D,1985.0,B,R,1.0,,B,9501.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-28.98
1544,7574,03/13/2002,2,24.0,TUCSON,AZ,85745.0,5008.0,,N,,0.0,,,,,,0,,,9999.96,,0.0,,,,,,,,236017.0,N,,Y,523.82,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-28.23
1637,25877,02/14/2002,1,52.0,PHOENIX,AZ,85022.0,3694.0,0.0,O,O,6.0,M,N,,,,3,M,2.0,125000.0,S,250.0,P,1976.0,B,R,,,A,72447.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-25.88
1666,1645,01/11/1994,1,58.0,GOLD CANYON,AZ,85218.0,1744.0,0.0,1,O,2.0,M,N,,,,3,M,2.0,131592.0,U,500.0,R,2000.0,B,R,,Y,A,1078614.0,N,,Y,72.61,0,,N,,Y,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-25.31
1684,25206,11/20/2000,1,70.0,GOLD CANYON,AZ,85218.0,6935.0,0.0,8,O,3.0,M,N,,,,1,M,3.0,87072.0,N,200.0,K,1995.0,B,R,2.0,,A,514449.0,N,,N,,1,5053.23,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-24.93
1705,20267,01/16/2007,2,14.0,TUCSON,AZ,85719.0,6340.0,2.0,P,O,4.0,M,Y,,Y,,1,M,2.0,62500.0,H,220.0,H,1960.0,,,,,A,122759.0,N,,Y,877.14,0,,Y,50.11,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,Y,N,,Y,N,-24.49
1707,2294,11/16/1992,2,34.0,SCOTTSDALE,AZ,85251.0,3716.0,0.0,P,R,3.0,B,N,,,,1,M,1.0,15000.0,U,180.0,,,B,R,1.0,Y,,2140.0,N,,Y,7489.15,0,0.0,Y,572.89,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-24.47
1722,42879,01/01/1900,1,82.0,SUN CITY,AZ,85351.0,3271.0,0.0,8,O,12.0,M,N,,,,1,M,2.0,17500.0,G,200.0,K,1979.0,B,R,1.0,,A,46371.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-23.59
1728,21802,05/29/2007,2,26.0,GLENDALE,AZ,85303.0,4517.0,,O,,0.0,,,,,,0,,,,H,0.0,E,2000.0,,,,,A,4073.0,N,,Y,398.97,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,Y,,Y,,Y,-23.44
1762,21637,05/11/2007,2,30.0,MESA,AZ,85207.0,2839.0,1.0,1,O,5.0,M,Y,Y,,,1,M,3.0,35000.0,G,30.0,F,1988.0,B,R,,,B,24270.0,N,,Y,192.3,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,-22.47
1944,36093,06/18/1990,2,71.0,FOUNTAIN HLS,AZ,85268.0,4564.0,,,,0.0,,,,,,0,,,,,0.0,,,,,,,,90374.0,N,,Y,1025.55,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,,,,Y,N,-17.62
2097,40630,01/28/1980,1,82.0,MESA,AZ,85206.0,1532.0,0.0,P,O,11.0,M,N,,,,1,M,2.0,25000.0,G,220.0,,,B,R,1.0,,,10363.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-15.13
2158,21092,03/27/2007,1,19.0,MESA,AZ,85208.0,1616.0,,Q,,0.0,,,,,,0,,,,N,0.0,B,1973.0,,,,,M,5106.0,N,,Y,2.92,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-14.11
2223,33703,03/26/2007,1,60.0,MESA,AZ,85215.0,2105.0,0.0,1,O,8.0,M,N,,,,1,F,2.0,35000.0,S,80.0,D,1978.0,B,R,1.0,,A,60336.0,N,,N,,1,251.57,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-12.66
2401,12868,10/12/2004,1,63.0,MESA,AZ,85209.0,5300.0,,,,0.0,,,,,,0,,,,G,0.0,C,1973.0,,,,,B,2000000.0,N,,Y,1054.71,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-8.7
2501,26042,03/26/2002,1,70.0,SURPRISE,AZ,85387.0,7297.0,0.0,K,O,2.0,M,N,,,,1,M,2.0,15000.0,S,250.0,M,2004.0,,,1.0,,A,922556.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-7.4
2530,19687,11/15/2006,1,17.0,PHOENIX,AZ,85018.0,3700.0,,O,,0.0,,,,,,0,,,,N,0.0,K,1958.0,,,,Y,A,222782.0,N,,Y,375.91,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-7.06
2905,4253,11/01/1993,1,65.0,LITCHFIELD PK,AZ,85340.0,3483.0,0.0,O,O,3.0,B,N,,,,1,M,1.0,50006.04,N,0.0,G,2003.0,B,R,,,A,4240.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-0.83
2914,12361,08/06/2004,1,15.0,PHOENIX,AZ,85022.0,1516.0,1.0,P,O,4.0,M,Y,,Y,,1,M,2.0,15000.0,U,100.0,B,1950.0,B,R,2.0,Y,A,24675.0,N,,N,,0,,Y,431.65,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-0.69
2936,46626,04/09/1996,1,47.0,PHOENIX,AZ,85029.0,1054.0,0.0,O,R,2.0,B,N,,,,1,M,1.0,39000.0,S,0.0,E,,B,R,,,,16937.0,N,,Y,1632.96,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,N,,Y,-0.18
2989,14736,06/21/2005,1,19.0,ANTHEM,AZ,85086.0,2375.0,2.0,4,O,3.0,M,Y,,Y,,1,M,2.0,45000.0,S,430.0,M,2003.0,B,R,1.0,,A,45170.0,N,,Y,3.65,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,0.04
2992,91,09/15/1986,1,42.0,TUCSON,AZ,85706.0,9607.0,,P,,0.0,,,,,,0,,,,G,0.0,,,,,,,,2000000.0,N,,Y,3186.28,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,0.07
3190,27667,06/25/2003,1,70.0,CAVE CREEK,AZ,85331.0,6004.0,0.0,1,O,8.0,S,N,,,,3,M,2.0,125000.0,G,190.0,Q,2000.0,B,R,2.0,Y,A,160451.0,N,,N,,1,1965.83,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,4.67
3299,38864,01/16/2001,1,31.0,CHANDLER,AZ,85224.0,8180.0,0.0,P,R,5.0,B,N,,,,1,M,1.0,17500.0,B,0.0,G,1991.0,,,,Y,A,14722.0,N,,Y,749.43,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,7.26
3321,12744,09/23/2004,1,72.0,PHOENIX,AZ,85014.0,4734.0,0.0,P,R,3.0,S,N,,,,1,M,1.0,15000.0,N,60.0,L,,,,1.0,Y,,155.0,N,,Y,70.0,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,8.03
3336,5339,08/11/1997,1,59.0,FOUNTAIN HLS,AZ,85268.0,3129.0,0.0,O,O,1.0,M,N,,,,1,M,2.0,112500.0,S,280.0,L,1990.0,B,R,1.0,Y,A,899301.0,N,,Y,595.76,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,8.64
3444,21535,05/03/2007,1,54.0,PHOENIX,AZ,85020.0,5547.0,,P,,0.0,,,,,,0,,,,N,0.0,G,1981.0,,,,Y,A,291382.0,N,,Y,3881.51,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,,,,,Y,11.9
3515,11583,07/28/1996,1,31.0,PHOENIX,AZ,85044.0,4888.0,0.0,O,R,5.0,M,N,,,,1,M,2.0,62500.0,G,0.0,H,,,,,,,17657.0,N,,N,,1,1257.76,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,14.38
3533,8707,12/17/2002,1,26.0,HIGLEY,AZ,85236.0,5835.0,0.0,O,R,0.0,M,N,,,Y,1,F,1.0,62500.0,N,220.0,G,2004.0,,,,,A,5635.0,N,,Y,4318.74,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,N,15.54
3545,2611,11/12/1981,2,54.0,PEORIA,AZ,85345.0,8183.0,1.0,1,O,8.0,M,Y,,Y,,1,F,2.0,34299.96,N,210.0,K,1995.0,B,R,3.0,Y,A,20632.0,N,,N,,1,3674.72,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,15.87
3666,16543,01/03/2006,3,36.0,CHANDLER,AZ,85249.0,7006.0,1.0,2,O,1.0,M,Y,Y,,,2,M,3.0,114999.84,X,290.0,L,2000.0,,,1.0,,A,26216.0,N,,Y,1969.43,0,,Y,481.11,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,Y,Y,Y,Y,21.7
3740,113,03/11/1996,1,72.0,COOLIDGE,AZ,85228.0,6228.0,0.0,O,O,5.0,B,N,,,,1,M,3.0,45000.0,S,380.0,,,,,2.0,,,121078.0,N,,Y,9.36,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,24.26
3801,34825,01/05/1998,2,54.0,GOODYEAR,AZ,85338.0,1363.0,0.0,P,O,1.0,M,N,,,Y,1,M,2.0,35000.0,S,510.0,F,,B,R,2.0,,,33444.0,N,,Y,227.08,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,27.0
3867,14161,04/11/2005,2,56.0,COOLIDGE,AZ,85228.0,1834.0,0.0,,O,1.0,B,N,,,,1,M,1.0,87500.0,U,40.0,A,1974.0,,,,,M,25972.0,N,,Y,8443.83,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,29.92
3954,21406,04/24/2007,1,44.0,MESA,AZ,85204.0,6841.0,0.0,O,O,6.0,M,N,,,,1,M,2.0,62500.0,G,30.0,I,1983.0,B,R,1.0,,A,4323.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,Y,37859.29,,0.0,N,,,,,,,,34.27
4008,12505,07/13/2004,4,56.0,ANTHEM,AZ,85086.0,1454.0,0.0,1,O,2.0,M,N,,,,2,M,2.0,566668.92,I,510.0,J,2004.0,B,R,1.0,,A,43185.0,N,,Y,4586.71,1,454.7,Y,15540.08,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,37.15
4074,20101,12/29/2006,2,18.0,PHOENIX,AZ,85085.0,5704.0,,N,,0.0,,,,,,0,,,,H,0.0,L,2004.0,,,,,A,31560.0,N,,Y,650.87,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,40.12
4514,28043,10/10/2003,1,66.0,CHANDLER,AZ,85248.0,5436.0,0.0,O,O,8.0,M,N,,,,2,M,2.0,125000.0,N,530.0,M,1999.0,B,R,1.0,,A,450449.0,N,,N,,1,351.33,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,68.63
4539,2657,10/19/1995,2,51.0,TEMPE,AZ,85282.0,4655.0,,O,,0.0,,,,,,0,,,,N,0.0,F,,,,,,,13980.0,Y,16038.78,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,70.47
4690,9180,03/14/2003,2,66.0,SURPRISE,AZ,85388.0,1125.0,0.0,O,R,2.0,B,N,,,,1,F,2.0,17500.0,N,40.0,H,2003.0,,,1.0,,A,72078.0,N,,Y,1991.15,0,,Y,499.71,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,81.3
4762,20964,03/16/2007,3,18.0,PHOENIX,AZ,85033.0,1665.0,,P,,0.0,,,,,,0,,,,N,0.0,F,1985.0,,,,,B,8291.0,N,,Y,918.64,1,559.82,Y,6.0,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,88.7
4807,25372,04/13/2001,1,56.0,ORO VALLEY,AZ,85755.0,7129.0,0.0,7,O,10.0,M,N,,,,2,M,2.0,87500.0,U,210.0,I,1999.0,B,R,1.0,Y,A,445648.0,N,,N,,1,516.12,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,91.97
4919,30809,08/17/2005,1,33.0,MESA,AZ,85204.0,6943.0,1.0,O,O,5.0,M,Y,Y,,,1,M,2.0,62500.0,I,100.0,I,1978.0,B,R,,,A,2121.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,5074.35,N,,,,,,,,101.16
5061,31810,04/18/2006,1,,PRESCOTT VLY,AZ,86314.0,9404.0,0.0,2,R,4.0,B,N,,,,1,F,1.0,35000.0,H,0.0,,,B,R,,,,38.0,N,,N,,1,2391.16,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,113.05
5092,14487,05/25/2005,1,55.0,CHANDLER,AZ,85224.0,4807.0,,O,,0.0,,,,,,0,,,,G,0.0,,,,,,,,23001.0,N,,Y,1169.78,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,,Y,115.88
5116,37648,12/01/1968,4,73.0,SURPRISE,AZ,85374.0,2546.0,0.0,P,R,0.0,B,N,,,,1,M,1.0,62500.0,S,0.0,F,,,,,Y,A,85791.0,Y,20584.5,Y,1070.13,0,0.0,Y,1340.25,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,Y,Y,,Y,118.23
5173,21010,03/21/2007,1,67.0,QUEEN CREEK,AZ,85242.0,5897.0,0.0,2,O,1.0,M,N,,,,1,F,2.0,25000.0,N,440.0,G,2005.0,B,R,1.0,,A,1643.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,29805.9,N,,,,,,,,123.11
5227,23254,01/01/1978,2,72.0,YUMA,AZ,85364.0,6109.0,0.0,P,O,4.0,M,N,,,,1,M,2.0,17500.0,N,0.0,B,1979.0,,R,,,M,79370.0,N,,Y,13664.46,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,128.14
5366,38372,04/02/1987,1,86.0,SUN CITY WEST,AZ,85375.0,4765.0,0.0,Z,O,15.0,S,N,,,,1,F,2.0,15000.0,O,100.0,G,1991.0,,,1.0,,A,145984.0,Y,100000.0,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,141.41
5580,38107,11/24/2001,1,39.0,TEMPE,AZ,85281.0,5320.0,1.0,P,O,12.0,M,Y,,Y,,1,M,2.0,62500.0,H,180.0,J,1959.0,B,R,,Y,A,1962.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,2508.24,N,,,,,,,,160.51
