,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
3,44853,07/26/1982,1,52.0,SAN ANSELMO,CA,94960.0,1629.0,2.0,1,O,15.0,M,Y,Y,,,2,M,2.0,112500.0,I,0.0,Q,1949.0,B,R,,,A,50934.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-4574.78
17,46105,06/03/1985,4,32.0,SAN DIEGO,CA,92107.0,1727.0,0.0,2,O,0.0,M,N,,,,1,M,2.0,136999.92,N,0.0,L,1950.0,B,R,,,D,179872.0,N,,Y,1269.93,1,17079.38,Y,264.07,N,0.0,N,0.0,N,0.0,,0.0,,0.0,Y,6160.14,Y,Y,N,Y,Y,Y,-465.32
29,31790,04/13/2006,1,44.0,LOS ANGELES,CA,90056.0,1356.0,1.0,N,O,9.0,M,Y,,Y,,3,F,2.0,125000.0,Z,0.0,S,1997.0,,,,,A,42844.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-296.13
32,46877,12/24/1996,2,53.0,REDDING,CA,96002.0,2939.0,0.0,P,R,1.0,S,N,,,,1,F,1.0,19999.92,S,0.0,,,,,,,,1760.0,N,,Y,828.77,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,N,Y,,Y,-252.64
37,32476,08/15/2006,1,42.0,COTTONWOOD,CA,96022.0,8587.0,1.0,P,O,13.0,M,Y,,Y,,1,M,2.0,62500.0,S,0.0,J,1964.0,B,R,2.0,,A,4884.0,N,,N,,1,6065.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-238.13
59,16076,11/02/2005,4,58.0,CAMERON PARK,CA,95682.0,997.0,0.0,1,O,13.0,M,N,,,Y,4,M,2.0,62500.0,N,0.0,I,,B,R,2.0,,,29332.0,N,,Y,59.42,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-213.78
64,7144,08/14/2001,4,53.0,FORTUNA,CA,95540.0,2203.0,0.0,P,O,1.0,S,N,,,,1,F,1.0,15000.0,N,0.0,J,,B,R,,,A,6622.0,N,,Y,1843.2,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,,,,,Y,-205.69
74,32290,07/14/2006,1,48.0,STOCKTON,CA,95209.0,4104.0,0.0,O,O,7.0,S,N,,,,1,F,1.0,62500.0,U,0.0,O,1991.0,B,R,,,A,20960.0,N,,N,,1,4718.36,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,-197.42
88,45513,01/01/1968,3,54.0,EUREKA,CA,95501.0,2217.0,0.0,4,O,14.0,M,N,,,,1,M,2.0,2400.0,N,0.0,F,,,,,,,13537.0,N,,Y,2504.64,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-184.92
99,41683,03/26/1991,2,49.0,SAN DIEGO,CA,92124.0,1144.0,0.0,N,O,3.0,S,N,,,,1,M,1.0,49999.92,N,0.0,M,1983.0,,,,,B,27758.0,N,,N,,1,0.0,Y,1033.35,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-178.05
105,19672,11/13/2006,5,22.0,RAMONA,CA,92065.0,4242.0,0.0,O,O,1.0,B,N,,,,1,F,1.0,112500.0,N,0.0,Q,1985.0,B,R,,,A,151063.0,N,,Y,684.31,1,2790.56,Y,0.0,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-175.49
118,31849,04/27/2006,1,26.0,LAKESIDE,CA,92040.0,2717.0,0.0,3,O,2.0,M,N,,,,2,M,5.0,112500.0,H,0.0,Q,1974.0,,,,,A,10054.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-167.72
138,45444,01/08/1985,8,52.0,TRUCKEE,CA,96160.0,1563.0,1.0,,O,15.0,M,Y,,Y,,1,M,2.0,45000.0,N,0.0,R,1981.0,,R,,,A,20000.0,N,,Y,3602.81,0,,Y,4638.04,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,N,Y,Y,Y,-158.24
144,17539,04/25/2006,4,26.0,SAN FRANCISCO,CA,94110.0,6304.0,0.0,O,R,15.0,S,N,,,,1,M,3.0,45000.0,H,0.0,,,B,R,1.0,,,3990.0,N,,Y,100.0,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-156.75
171,47316,07/25/1983,2,50.0,MURRIETA,CA,92562.0,2021.0,0.0,O,O,5.0,S,N,,,,1,M,1.0,13200.0,I,0.0,O,1994.0,,,,,A,28745.0,N,,Y,431.92,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,Y,Y,Y,Y,-144.28
227,44884,04/13/1988,2,82.0,SAN JOSE,CA,95127.0,1612.0,0.0,1,O,15.0,M,N,,,,3,M,3.0,99999.96,N,0.0,Q,1954.0,B,R,,,A,369882.0,N,,Y,219.74,0,1123.61,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,Y,0.0,,Y,,,,Y,-127.7
259,27143,02/07/2003,2,84.0,COMPTON,CA,90222.0,2817.0,0.0,E,O,15.0,M,N,,,,3,M,2.0,8155999.92,N,0.0,G,1937.0,B,R,,,A,7525.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-117.65
269,28678,04/13/2004,1,,NATIONAL CITY,CA,91950.0,7254.0,0.0,N,R,3.0,M,N,,,,1,U,1.0,112500.0,O,0.0,E,1990.0,,,,,B,0.0,N,,N,,1,3486.86,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-115.9
270,32924,11/02/2006,1,,CARLSBAD,CA,92010.0,6565.0,1.0,N,R,3.0,B,Y,,Y,,1,M,1.0,62500.0,N,0.0,N,1984.0,,,,,B,47188.0,N,,N,,1,4450.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-115.48
275,18581,08/01/2006,1,48.0,W HOLLYWOOD,CA,90046.0,4128.0,0.0,N,R,1.0,B,N,,,,1,M,1.0,17500.0,U,0.0,,,,,,,,82501.0,N,,Y,1679.43,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,N,Y,-114.9
278,15053,07/20/2005,1,20.0,WILLOWS,CA,95988.0,9624.0,1.0,5,O,15.0,M,Y,,Y,,1,M,2.0,62500.0,S,0.0,J,1996.0,B,R,1.0,,M,193824.0,N,,Y,465.41,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,,Y,-114.47
279,18680,08/08/2006,2,26.0,MARINA DL REY,CA,90292.0,7036.0,0.0,N,R,0.0,B,N,,,,1,F,1.0,87500.0,H,0.0,Q,1966.0,B,R,,,B,58570.0,N,,Y,572.28,0,,Y,0.0,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,N,Y,Y,Y,-114.47
283,44948,02/04/1992,2,48.0,VALLEJO,CA,94590.0,1036.0,0.0,,O,15.0,B,N,,,,1,M,1.0,60000.0,G,0.0,I,1905.0,,,,,D,472.0,N,,N,,1,6000.0,Y,2235.72,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-113.61
302,9782,06/18/2003,2,26.0,CONCORD,CA,94519.0,2634.0,0.0,O,R,2.0,M,N,,,,1,M,2.0,62500.0,S,0.0,,,,,,,,49167.0,N,,Y,168.85,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,N,N,-110.86
334,22011,06/13/2007,1,47.0,ANDERSON,CA,96007.0,9179.0,1.0,P,,0.0,M,Y,,Y,,0,M,2.0,,,0.0,G,1981.0,,,,,A,936.0,N,,Y,236.75,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-104.45
335,15789,10/03/2005,3,36.0,OAKLAND,CA,94601.0,3024.0,0.0,4,O,5.0,S,N,,,,2,M,1.0,35000.0,O,0.0,G,,,,,,,71955.0,N,,Y,1286.78,1,21.54,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-104.32
352,5577,08/20/1993,2,26.0,LOS ANGELES,CA,90069.0,5467.0,,N,,0.0,,,,,,0,,,15012.0,G,0.0,G,,,,,,,17618.0,N,,Y,1024.69,0,,Y,3727.48,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,,Y,-101.56
354,6766,01/19/2001,1,44.0,LOS ANGELES,CA,90034.0,7722.0,0.0,O,R,2.0,S,N,,,,1,M,1.0,24999.96,S,0.0,,,,,,,,99793.0,N,,Y,416.97,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,N,Y,-101.36
355,6703,12/01/2000,1,51.0,EUREKA,CA,95501.0,0.0,,,,0.0,,,,,,0,,,10320.0,,0.0,,,,,,,,0.0,N,,Y,800.0,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,,Y,-101.22
364,17835,05/25/2006,1,20.0,CHULA VISTA,CA,91910.0,4621.0,1.0,1,O,14.0,M,Y,,Y,,1,M,2.0,17500.0,N,0.0,M,1960.0,B,R,,Y,A,34414.0,N,,Y,35.48,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,Y,,,Y,Y,-99.73
411,11952,06/11/2004,1,59.0,CITRUS HTS,CA,95610.0,6519.0,0.0,8,O,11.0,M,N,,,,1,M,2.0,45000.0,N,0.0,O,1964.0,B,R,1.0,,A,39210.0,N,,Y,422.14,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,N,N,-94.42
425,15474,08/29/2005,1,23.0,CORONA,CA,92880.0,8838.0,3.0,5,O,3.0,M,Y,Y,Y,Y,1,M,2.0,18000.0,N,0.0,Q,2003.0,B,R,,,A,59113.0,N,,Y,299.54,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-92.96
432,12262,07/26/2004,1,21.0,SAN DIEGO,CA,92109.0,4321.0,0.0,O,O,0.0,S,N,,,Y,1,F,1.0,25000.0,N,0.0,,,,,,,,10201.0,N,,Y,140.0,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-92.1
444,9634,05/15/1992,1,34.0,ONTARIO,CA,91762.0,6873.0,1.0,O,O,1.0,M,Y,Y,,,1,M,2.0,62500.0,H,0.0,M,1986.0,,,,,B,19456.0,N,,Y,2253.39,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-90.09
452,48125,02/08/1999,2,61.0,ESCONDIDO,CA,92025.0,4612.0,0.0,O,O,1.0,B,N,,,,1,F,1.0,15000.0,H,0.0,L,1959.0,,,1.0,,A,8562.0,N,,Y,3196.54,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,Y,,,,Y,-89.44
456,18565,07/28/2006,2,43.0,SANTEE,CA,92071.0,6506.0,1.0,2,R,1.0,S,Y,,Y,,1,F,1.0,45000.0,S,0.0,H,,,,,,,3611.0,N,,Y,652.56,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-89.16
480,31977,05/03/2006,1,42.0,HAYWARD,CA,94541.0,2339.0,0.0,1,O,9.0,M,N,,,,1,M,2.0,62500.0,H,0.0,Q,1952.0,,R,1.0,,A,8091.0,N,,N,,1,4771.09,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-86.41
