,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
49,37668,12/22/1989,6,58.0,BOONE,IA,50036.0,4924.0,0.0,P,O,6.0,B,N,,,,1,F,1.0,87500.0,N,80.0,D,,B,R,1.0,,,11136.0,N,,Y,6520.96,0,,Y,625.25,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,,,,Y,Y,-223.95
61,37611,10/19/1999,4,37.0,IOWA CITY,IA,52246.0,5533.0,0.0,P,O,6.0,M,N,,,,3,F,2.0,62500.0,U,80.0,E,,,,1.0,,,109218.0,N,,Y,1401.76,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,N,Y,Y,-209.22
72,13094,11/12/2004,2,26.0,DES MOINES,IA,50310.0,3516.0,0.0,O,O,3.0,S,N,,,,1,M,1.0,52999.92,U,0.0,D,1923.0,,,,,A,49041.0,N,,Y,2287.45,0,,Y,867.94,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-198.28
90,11415,03/23/2004,3,25.0,CEDAR RAPIDS,IA,52402.0,3461.0,1.0,1,R,0.0,S,Y,Y,,,1,F,1.0,25920.0,U,20.0,,,B,R,,,,3000.0,N,,Y,766.38,0,,Y,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-184.76
113,41435,02/29/1996,3,29.0,SPENCER,IA,51301.0,2345.0,1.0,P,O,3.0,M,Y,Y,,,1,F,2.0,58000.92,N,170.0,G,,B,R,2.0,,,66121.0,N,,Y,519.47,0,,Y,703.17,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,,,N,Y,Y,-171.16
168,33164,12/13/2006,1,46.0,CORALVILLE,IA,52241.0,2563.0,0.0,O,R,3.0,B,N,,,,1,M,1.0,17500.0,N,20.0,H,,,,1.0,,,19477.0,N,,N,,1,7529.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-145.78
231,39892,10/01/1982,3,63.0,ANKENY,IA,50023.0,1439.0,1.0,O,O,15.0,M,Y,,Y,,1,M,2.0,37200.0,N,350.0,E,1975.0,B,R,3.0,,A,4658.0,N,,Y,3577.97,0,0.0,Y,300.96,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,,,Y,,Y,-126.84
235,39933,02/04/1985,4,62.0,WATERLOO,IA,50701.0,2224.0,0.0,Z,O,4.0,S,N,,,,1,F,1.0,216000.0,F,70.0,B,,B,R,1.0,,,18748.0,N,,Y,772.7,1,0.0,Y,2001.41,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,,,,,Y,-124.86
256,36149,03/01/1975,2,84.0,DES MOINES,IA,50313.0,1851.0,1.0,5,O,15.0,S,Y,,Y,,1,M,3.0,27069.96,S,50.0,E,1960.0,,R,3.0,,A,635.0,N,,Y,849.17,1,81.81,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,Y,,Y,,Y,-118.91
273,8729,12/23/2002,1,38.0,DES MOINES,IA,50311.0,2218.0,0.0,Z,O,3.0,M,N,,,,1,M,2.0,87500.0,G,180.0,E,1928.0,B,R,,,A,11298.0,N,,Y,1942.48,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-115.16
309,39206,11/10/1993,4,35.0,CEDAR RAPIDS,IA,52402.0,5233.0,0.0,1,O,8.0,M,N,,,,1,M,2.0,62500.0,S,200.0,D,,B,R,2.0,,,772.0,N,,Y,3992.69,0,,Y,801.8,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-108.98
341,14942,07/11/2005,3,20.0,WATERLOO,IA,50701.0,9582.0,2.0,,O,14.0,A,Y,Y,Y,Y,1,M,2.0,4800.0,N,280.0,,,B,R,2.0,,,1759.0,N,,Y,1002.25,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,N,Y,Y,-102.69
348,44298,05/14/1998,5,29.0,ROCK RAPIDS,IA,51246.0,1001.0,1.0,P,R,2.0,B,Y,Y,,,1,F,1.0,12000.0,N,30.0,C,,,R,1.0,,,2135.0,N,,Y,964.86,1,0.0,Y,2334.19,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,,Y,-102.14
385,39254,12/15/1997,2,52.0,JANESVILLE,IA,50647.0,195.0,0.0,2,R,11.0,S,N,,,,2,F,2.0,30042.0,G,180.0,E,,B,R,1.0,,,611.0,N,,Y,11.91,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-97.2
427,7848,06/12/2002,2,47.0,CARROLL,IA,51401.0,3760.0,0.0,P,O,6.0,S,N,,,,1,F,1.0,62500.0,U,310.0,C,,B,R,2.0,,,42301.0,N,,Y,722.27,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-92.71
434,13682,02/08/2005,2,44.0,DES MOINES,IA,50314.0,2307.0,1.0,P,O,7.0,B,Y,,Y,,1,F,1.0,15000.0,Z,40.0,D,1944.0,B,R,2.0,,A,204.0,N,,Y,143.82,0,,Y,353.65,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,,Y,-92.01
438,20028,12/26/2006,4,32.0,DES MOINES,IA,50310.0,3703.0,2.0,P,O,1.0,M,Y,,Y,Y,1,M,2.0,15000.0,N,170.0,F,1960.0,B,R,2.0,,A,94395.0,N,,Y,235.11,1,0.0,Y,405.27,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,Y,,,,Y,-91.42
