,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
27,9421,04/25/2003,2,31.0,NEW ALBANY,IN,47150.0,1832.0,1.0,5,O,3.0,M,Y,,Y,Y,1,M,3.0,43999.92,N,260.0,A,1993.0,B,R,2.0,,A,47093.0,N,,Y,325.11,0,,Y,20.93,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-319.39
95,34812,10/14/1993,1,31.0,JEFFERSONVLLE,IN,47130.0,6816.0,0.0,P,O,6.0,M,N,,,,1,M,2.0,62500.0,N,0.0,,,B,R,2.0,,,20929.0,N,,Y,614.28,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-181.41
98,32889,10/27/2006,1,42.0,CARMEL,IN,46033.0,0.0,2.0,O,R,3.0,B,Y,Y,,,1,F,1.0,125000.0,O,0.0,F,,,,,,,,N,,N,,1,6000.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-178.27
122,19096,09/18/2006,1,48.0,PERSING,IN,47370.0,0.0,,,,0.0,,,,,,0,,,39999.96,,0.0,,,,,,,,,N,,Y,352.26,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-166.09
193,31868,05/01/2006,1,50.0,COLUMBUS,IN,47201.0,5755.0,0.0,C,O,10.0,M,N,,,,3,M,2.0,62500.0,N,0.0,,,B,R,1.0,,,8735.0,N,,N,,1,1600.21,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-136.52
404,32976,11/13/2006,1,54.0,SEYMOUR,IN,47274.0,2592.0,0.0,2,O,15.0,S,N,,,,1,F,1.0,45000.0,G,0.0,D,,B,R,,,,0.0,N,,N,,1,3349.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-95.13
497,32407,08/02/2006,1,54.0,FORT WAYNE,IN,46804.0,5217.0,2.0,1,O,10.0,M,Y,,Y,,3,M,2.0,62500.0,J,0.0,G,,B,R,2.0,,,19270.0,N,,N,,1,3975.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-84.55
613,14895,07/07/2005,2,19.0,CONNERSVILLE,IN,47331.0,9677.0,,P,,0.0,,,,,,0,,,,N,0.0,B,,,,,,,88952.0,N,,Y,566.2,0,,Y,998.0,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,,Y,-72.88
665,29827,11/17/2004,1,28.0,INDIANAPOLIS,IN,46205.0,2159.0,0.0,P,O,2.0,B,N,,,,1,M,1.0,15000.0,N,0.0,D,1920.0,B,R,,,A,23600.0,N,,N,,1,1172.15,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-69.34
1067,40887,07/24/2000,2,25.0,RICHMOND,IN,47374.0,7372.0,0.0,O,O,2.0,B,N,,,,1,M,1.0,87500.0,N,0.0,,,,,,,,71495.0,N,,Y,1039.96,0,,Y,311.12,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,,,,Y,Y,-46.46
