,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
15,13511,03/24/1995,2,21.0,OVERLAND PARK,KS,66209.0,4021.0,0.0,N,R,0.0,B,N,,,,1,M,1.0,125000.0,N,0.0,L,,,,,,,314201.0,N,,Y,528.93,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-733.34
79,35909,09/30/1992,3,42.0,GALENA,KS,66739.0,1785.0,1.0,2,O,12.0,M,Y,,Y,,4,M,2.0,34999.92,S,0.0,C,,B,R,2.0,Y,,661.0,N,,Y,2822.15,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-194.96
123,32355,07/25/2006,1,80.0,SALINA,KS,67401.0,5528.0,1.0,Q,O,8.0,B,Y,,Y,,1,M,1.0,27999.96,N,0.0,D,,B,R,,,,49320.0,N,,N,,1,250.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-166.01
265,44051,11/01/1977,1,54.0,LAWRENCE,KS,66049.0,1643.0,0.0,N,O,14.0,S,N,,,,3,M,1.0,87500.0,G,0.0,F,,,,,,,11058.0,N,,Y,169.01,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,Y,-116.76
294,16968,02/22/2006,3,23.0,OVERLAND PARK,KS,66223.0,3161.0,1.0,O,O,8.0,S,Y,,Y,Y,1,M,1.0,62500.0,N,280.0,,,B,R,3.0,,,20800.0,N,,Y,1195.02,1,3806.08,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-111.89
297,41833,09/29/1987,1,74.0,KANSAS CITY,KS,66104.0,3336.0,0.0,Z,O,15.0,S,N,,,,1,M,1.0,35000.0,N,0.0,D,,B,R,1.0,,,13.0,N,,Y,243.35,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,Y,,Y,,Y,-111.75
327,7816,06/04/2002,2,31.0,FORT RILEY,KS,66442.0,1879.0,2.0,Z,R,3.0,M,Y,Y,,Y,1,F,2.0,25000.0,G,0.0,,,,,,,,6608.0,N,,Y,2337.42,0,,Y,65.14,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,Y,Y,Y,Y,Y,-105.68
337,15049,08/24/2004,2,39.0,LAWRENCE,KS,66046.0,5168.0,1.0,7,R,2.0,S,Y,,Y,,1,F,1.0,15000.0,N,0.0,C,,B,R,,Y,,37763.0,N,,Y,1775.77,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-103.89
390,28802,08/15/2003,2,49.0,OVERBROOK,KS,66524.0,8940.0,1.0,5,O,14.0,M,Y,,Y,Y,1,M,2.0,62500.0,N,0.0,,,B,R,2.0,,,14336.0,N,,Y,481.33,0,,Y,17.02,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-96.65
392,33444,02/14/2007,1,40.0,WESTPHALIA,KS,66093.0,7222.0,2.0,3,O,5.0,M,Y,Y,Y,,1,M,3.0,125000.0,O,0.0,,,B,R,,,,3493.0,N,,N,,1,19200.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-96.32
406,12562,07/30/2004,2,24.0,SHAWNEE,KS,66203.0,1185.0,0.0,P,O,7.0,B,N,,,,1,M,1.0,45000.0,N,0.0,,,,,,,,379.0,N,,Y,1364.08,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,N,-94.91
449,16656,01/18/2006,3,70.0,KANSAS CITY,KS,66102.0,5521.0,,Q,,0.0,,,,,,0,,,,H,0.0,,,,,,,,2031.0,N,,Y,890.33,0,0.0,Y,567.34,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,,Y,-89.75
492,15441,08/26/2005,1,41.0,OVERLAND PARK,KS,66204.0,1450.0,1.0,P,O,5.0,A,Y,,Y,,1,M,2.0,62500.0,S,0.0,E,,B,R,,,,25804.0,N,,Y,74.85,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,Y,Y,Y,Y,-84.98
498,38907,10/19/1989,4,65.0,LENEXA,KS,66215.0,3229.0,0.0,O,O,10.0,A,N,,,,1,M,2.0,35000.0,G,0.0,H,,B,R,1.0,,,53862.0,N,,Y,4290.73,0,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,Y,-84.54
535,8623,03/20/1989,4,40.0,LENEXA,KS,66215.0,3229.0,,O,,0.0,,,,,,0,,,70299.0,S,0.0,G,,,,,,,53862.0,N,,Y,3374.66,0,,Y,1690.68,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-80.91
546,13526,01/19/2005,3,22.0,LAWRENCE,KS,66044.0,3478.0,0.0,O,O,3.0,B,N,,,,1,F,1.0,1399.92,F,0.0,,,B,R,,,,8980.0,N,,Y,1553.56,1,39.0,Y,1691.11,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,,Y,-79.47
600,12327,05/25/2004,1,31.0,LENEXA,KS,66215.0,4945.0,1.0,O,R,1.0,M,Y,Y,,,1,M,2.0,17500.0,H,0.0,,,,,1.0,,,2843.0,N,,Y,2132.36,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-74.17
794,10401,09/22/2003,1,31.0,OLATHE,KS,66062.0,3095.0,0.0,5,R,6.0,S,N,,,,1,M,1.0,35000.0,N,0.0,,,,,,,,8114.0,N,,Y,13.86,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,Y,,,,Y,-59.56
869,8080,08/06/2002,1,25.0,ROELAND PARK,KS,66205.0,1143.0,1.0,P,O,10.0,A,Y,,Y,,1,M,2.0,87500.0,N,210.0,,,B,R,2.0,,,1509.0,N,,Y,1.47,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-54.66
879,7981,07/01/2002,1,50.0,LEAWOOD,KS,66209.0,1728.0,2.0,1,O,6.0,M,Y,,Y,Y,1,M,2.0,87500.0,F,0.0,,,B,R,,,,222850.0,N,,Y,1387.06,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,-54.19
1074,11809,05/21/2004,2,21.0,LAWRENCE,KS,66047.0,2075.0,0.0,N,R,1.0,S,N,,,,1,M,1.0,6000.0,N,0.0,,,,,,,,2589.0,N,,Y,516.61,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-46.03
1101,8859,01/16/2003,1,23.0,OVERLAND PARK,KS,66212.0,5406.0,0.0,D,O,15.0,M,N,,,Y,3,M,3.0,125000.0,J,0.0,G,,B,R,,,,67067.0,N,,N,,1,365.5,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,N,,Y,Y,N,-44.05
1116,34377,09/19/1986,2,,KANSAS CITY,KS,66102.0,3936.0,,,,0.0,,,,,,0,,,,,0.0,,,,,,,,18446.0,Y,7025.14,Y,72.81,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-43.06
1122,33084,11/29/2006,1,44.0,TOPEKA,KS,66606.0,1333.0,2.0,O,O,4.0,M,Y,Y,,,1,M,2.0,35000.0,U,0.0,B,,B,R,,,,22889.0,N,,N,,1,3546.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-42.94
1172,33739,03/24/2007,1,24.0,JUNCTION CITY,KS,66441.0,2610.0,,P,,0.0,,,,,,0,,,,H,0.0,,,,,,,,4904.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,10773.4,N,,,,,,,,-39.95
1188,7886,06/21/2002,1,55.0,KANSAS CITY,KS,66104.0,2607.0,0.0,Z,O,2.0,B,N,,,,1,M,1.0,39999.96,N,0.0,,,,,,,,15305.0,N,,Y,475.03,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-39.29
1190,16059,10/31/2005,2,18.0,FAIRWAY,KS,66205.0,3432.0,1.0,1,O,15.0,M,Y,,Y,Y,3,M,3.0,112500.0,U,0.0,F,,B,R,,,,158724.0,N,,Y,230.88,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,,Y,-39.26
1195,17778,05/22/2006,1,21.0,TOPEKA,KS,66604.0,2464.0,0.0,5,O,13.0,M,N,,,,4,M,3.0,45000.0,N,0.0,,,B,R,,,,870.0,N,,Y,4899.53,0,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-38.96
1283,18579,08/01/2006,2,30.0,TOPEKA,KS,66604.0,3220.0,3.0,O,R,0.0,M,Y,Y,,,1,M,2.0,62500.0,N,0.0,D,,,,,,,23175.0,N,,Y,3467.97,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-35.56
1315,34348,03/01/1978,1,34.0,SHAWNEE MSN,KS,66202.0,3114.0,1.0,O,O,2.0,M,Y,,Y,Y,1,M,2.0,35000.0,H,0.0,C,,B,R,1.0,,,1495.0,N,,Y,3844.12,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-34.84
1388,31051,10/24/2005,1,70.0,WICHITA,KS,67209.0,3130.0,0.0,O,R,4.0,S,N,,,,1,F,4.0,45000.0,N,0.0,,,B,R,,,,33479.0,N,,N,,1,846.96,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-32.35
1799,20576,02/13/2007,1,26.0,KANSAS CITY,KS,66104.0,1322.0,1.0,5,O,3.0,M,Y,,Y,,1,M,3.0,45000.0,Z,0.0,C,,B,R,1.0,,,32659.0,N,,Y,122.71,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-21.52
1862,9774,06/17/2003,1,52.0,OLATHE,KS,66061.0,5995.0,0.0,7,O,13.0,M,N,,,,1,F,4.0,112500.0,N,0.0,F,,B,R,1.0,,,67417.0,N,,Y,405.46,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-19.63
1976,15989,10/24/2005,2,34.0,LAWRENCE,KS,66046.0,5459.0,1.0,O,O,15.0,M,Y,Y,,,1,F,4.0,112500.0,N,0.0,E,,B,R,1.0,,,9787.0,N,,Y,4953.97,0,,Y,1010.56,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-17.04
2015,4976,02/28/1975,1,95.0,WINONA,KS,67764.0,197.0,0.0,,R,10.0,B,N,,,,1,F,1.0,15000.0,J,0.0,,,,,,,,0.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-16.33
2188,43290,06/29/1984,1,54.0,PITTSBURG,KS,66762.0,5547.0,0.0,D,O,15.0,M,N,,,Y,3,M,3.0,480000.0,M,0.0,D,,B,R,2.0,,,1960340.0,N,,Y,804.53,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,-13.43
2219,37332,08/16/1989,2,50.0,PRAIRIE VLG,KS,66208.0,2808.0,1.0,O,O,14.0,M,Y,,Y,,1,M,2.0,87500.0,G,0.0,,,B,R,,,,87272.0,N,,Y,1255.8,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-12.72
2331,3004,06/06/1996,1,57.0,PRAIRIE VLG,KS,66208.0,5070.0,0.0,O,O,9.0,S,N,,,,1,F,1.0,15006.0,S,0.0,G,,B,R,,,,294734.0,N,,N,,1,376.64,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-10.28
2390,38149,05/24/1988,1,,LAWRENCE,KS,66044.0,667.0,,,,0.0,,,,,,0,,,,N,0.0,,,,,,,,235507.0,N,,Y,461.49,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-8.87
2429,10208,08/22/2003,1,3.0,FORT RILEY,KS,66442.0,1790.0,1.0,P,R,2.0,M,Y,,Y,Y,1,,2.0,15000.0,I,0.0,,,,,,,,634.0,N,,N,,0,,Y,71.89,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-8.44
