,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
166,32656,09/22/2006,1,46.0,MIDDLEBORO,MA,2346.0,3405.0,1.0,O,O,8.0,M,Y,,Y,,1,M,2.0,112500.0,N,0.0,Q,1991.0,B,R,1.0,,A,63547.0,N,,N,,1,9284.14,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-146.23
974,1439,04/07/1995,1,66.0,ACTON,MA,1720.0,2812.0,0.0,2,O,15.0,M,N,,,,2,M,2.0,200004.0,G,0.0,R,1892.0,B,R,1.0,Y,A,223187.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-50.53
1103,33647,03/15/2007,1,42.0,SOUTHBOROUGH,MA,1772.0,1012.0,2.0,N,O,15.0,S,Y,,Y,,1,M,1.0,25000.0,I,0.0,L,1992.0,B,R,1.0,,A,124129.0,N,,N,,1,7171.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-43.91
1286,34052,12/13/2006,1,40.0,NORTH GRAFTON,MA,1536.0,1117.0,1.0,3,O,4.0,M,Y,Y,,Y,2,M,4.0,87500.0,F,0.0,L,1957.0,B,R,1.0,,A,67671.0,N,,N,,0,,N,,Y,148006.05,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-35.52
1586,25531,08/15/2001,1,32.0,HINGHAM,MA,2043.0,3709.0,0.0,N,O,1.0,B,N,,,,1,M,1.0,87500.0,N,0.0,I,1915.0,,,,,A,175110.0,N,,N,,1,2020.02,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-27.05
1649,33508,02/26/2007,1,64.0,SHARON,MA,2067.0,2206.0,0.0,1,O,15.0,M,N,,,,2,M,2.0,125000.0,B,0.0,P,1954.0,B,R,,,A,128340.0,N,,N,,1,2645.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-25.7
2382,28749,05/05/2004,1,44.0,WAKEFIELD,MA,1880.0,4352.0,2.0,O,O,15.0,M,Y,,Y,,1,M,2.0,45000.0,N,0.0,O,1880.0,B,R,,,A,19276.0,N,,N,,1,1660.15,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-8.99
2408,31614,03/08/2006,1,74.0,LYNN,MA,1902.0,4920.0,0.0,O,O,15.0,S,N,,,,1,M,1.0,62500.0,H,0.0,Q,1935.0,B,R,,,A,136086.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-8.61
2826,32626,09/15/2006,1,50.0,GT BARRINGTON,MA,,,0.0,C,O,9.0,M,N,,,,1,F,2.0,125000.0,G,0.0,O,1996.0,B,R,,,A,6405.0,N,,N,,1,15.55,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-2.17
2831,33896,04/24/2007,1,38.0,QUINCY,MA,2170.0,2920.0,0.0,Z,O,3.0,M,N,,,,3,M,4.0,25000.0,N,0.0,N,1890.0,B,R,,,A,44715.0,N,,N,,1,7835.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-2.12
2933,25698,01/28/2002,1,44.0,SALEM,MA,1970.0,1212.0,1.0,P,O,7.0,A,Y,Y,,,1,M,2.0,62500.0,N,0.0,Q,1972.0,,,,,A,59638.0,N,,N,,1,2716.16,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-0.27
3232,35969,10/29/1986,1,96.0,HOPKINTON,MA,1748.0,3100.0,,O,,0.0,,,,,,0,,,,S,0.0,Q,1998.0,,,,,A,534446.0,N,,Y,3387.58,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,5.63
3291,24878,09/24/1993,1,56.0,FRANKLIN,MA,2038.0,55.0,0.0,1,O,15.0,M,N,,,,1,M,2.0,25000.0,I,0.0,,,,R,,,,47215.0,N,,N,,1,249.71,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,7.07
3517,27422,04/29/2003,1,30.0,BOSTON,MA,2127.0,2320.0,0.0,O,R,2.0,B,N,,,,1,M,1.0,35000.0,S,0.0,F,1997.0,,,,,B,8720.0,N,,N,,1,522.53,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,14.49
3852,39165,04/15/1983,1,65.0,ROSLINDALE,MA,2131.0,1022.0,0.0,O,O,13.0,B,N,,,,1,M,1.0,87500.0,U,0.0,,,,,,,,828927.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,29.49
4119,30629,07/05/2005,1,50.0,FRAMINGHAM,MA,1701.0,3972.0,0.0,O,O,5.0,B,N,,,,1,M,1.0,112500.0,N,0.0,J,1992.0,B,R,,,A,360938.0,N,,N,,1,1406.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,42.97
4211,21609,05/10/2007,1,51.0,BOXFORD,MA,1921.0,1512.0,0.0,1,O,10.0,M,N,,,,3,M,2.0,125000.0,I,0.0,O,1993.0,B,R,,,A,830269.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,Y,49786.15,,0.0,N,,,,,,,,48.43
4654,3972,10/13/1995,1,54.0,NATICK,MA,1760.0,1217.0,1.0,7,O,15.0,M,Y,,Y,Y,1,M,2.0,125000.0,N,0.0,P,1953.0,B,R,1.0,Y,A,226468.0,N,,N,,1,477.48,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,79.0
4749,2954,12/21/1994,1,64.0,NEW BEDFORD,MA,2740.0,3634.0,0.0,2,O,15.0,M,N,,,,3,F,2.0,125000.0,O,0.0,Q,1897.0,B,R,1.0,,A,135152.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,87.38
4839,33884,04/20/2007,1,38.0,READING,MA,1867.0,1958.0,1.0,O,O,6.0,A,Y,Y,,,1,M,2.0,87500.0,N,0.0,Q,1971.0,B,R,,,A,55452.0,N,,N,,1,804.09,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,94.9
5037,32534,08/28/2006,1,46.0,HOLBROOK,MA,2343.0,1454.0,1.0,O,O,15.0,M,Y,,Y,Y,1,M,2.0,62500.0,N,0.0,Q,1900.0,B,R,2.0,,A,3189.0,N,,N,,1,448.68,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,110.7
5184,6304,04/13/2000,1,37.0,NEWBURY,MA,1951.0,2104.0,0.0,O,R,1.0,B,N,,,,1,M,1.0,74007.0,N,0.0,O,1965.0,B,R,,,A,59594.0,N,,N,,1,4391.46,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,124.22
5510,29992,01/21/2005,1,42.0,MANCHESTER,MA,1944.0,1201.0,1.0,1,O,7.0,B,Y,Y,,,3,M,2.0,125000.0,N,0.0,Q,2000.0,B,R,,,A,402681.0,N,,N,,1,2915.03,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,154.94
5531,28175,12/02/2003,1,42.0,WEST ROXBURY,MA,2132.0,5403.0,1.0,P,O,6.0,A,Y,,Y,,1,M,4.0,87500.0,H,0.0,N,1920.0,,,2.0,,A,51570.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,156.49
5645,33859,04/17/2007,1,,BOSTON,MA,2116.0,5966.0,,M,,0.0,,,,,,0,,,,N,0.0,,,,,,,,37710.0,N,,N,,1,1499.4,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,168.53
5676,23798,06/08/1998,1,56.0,NATICK,MA,1760.0,5866.0,0.0,O,O,15.0,M,N,,,Y,1,M,2.0,112500.0,O,0.0,Q,1991.0,B,R,,,A,196528.0,N,,N,,1,663.6,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,172.53
5830,23599,08/11/1995,1,50.0,CHELMSFORD,MA,1824.0,2604.0,0.0,1,R,1.0,B,N,,,,1,M,1.0,112500.0,S,0.0,,,,,,,,99093.0,N,,N,,1,2494.37,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,191.06
5998,24838,07/06/2000,1,,HUBBARDSTON,MA,1452.0,1315.0,0.0,1,O,12.0,M,N,,,,3,F,2.0,87500.0,G,0.0,J,1950.0,B,R,,,A,7586.0,N,,N,,1,2846.57,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,211.65
6087,29705,10/15/2004,1,,S DEERFIELD,MA,1373.0,9787.0,0.0,O,O,8.0,M,N,,,,1,U,1.0,45000.0,H,0.0,F,1989.0,,,,,B,12826.0,N,,N,,1,290.08,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,222.38
6100,593,05/11/1994,1,82.0,WILLIAMSTOWN,MA,1267.0,2758.0,0.0,O,O,15.0,M,N,,,,1,M,2.0,87500.0,N,0.0,P,1957.0,B,R,,,A,560402.0,N,,N,,1,1121.19,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,224.25
6305,28736,04/30/2004,1,50.0,ASHLAND,MA,1721.0,2371.0,0.0,N,O,6.0,M,N,,,,1,F,2.0,87500.0,O,0.0,K,1981.0,B,R,,,B,144514.0,N,,N,,1,100.43,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,257.06
6346,1364,06/14/1994,1,68.0,BRAINTREE,MA,2184.0,4800.0,0.0,8,O,9.0,S,N,,,,3,M,2.0,87500.0,S,0.0,R,1997.0,B,R,2.0,,A,486155.0,N,,N,,1,40.15,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,263.23
