,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
3529,33015,11/17/2006,1,52.0,STOCKTON SPGS,ME,4981.0,4305.0,0.0,O,O,6.0,M,N,,,,1,F,2.0,62500.0,G,100.0,,,B,R,1.0,,,75387.0,N,,N,,1,1612.14,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,15.28
4406,25950,02/27/2002,1,54.0,GEORGETOWN,ME,4548.0,3009.0,1.0,Z,O,13.0,M,Y,,Y,,1,M,3.0,62500.0,N,260.0,,,B,R,3.0,,,96247.0,N,,N,,1,1246.16,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,61.8
4988,34022,10/25/2004,1,36.0,TOPSHAM,ME,4086.0,1707.0,2.0,P,O,15.0,M,Y,Y,Y,,1,M,2.0,62500.0,S,180.0,G,,B,R,1.0,,,36864.0,N,,N,,0,,N,,Y,124118.02,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,105.96
5289,34043,08/08/2006,1,50.0,ELLSWORTH,ME,4605.0,2753.0,0.0,O,R,2.0,M,N,,,,1,M,2.0,125000.0,S,330.0,F,,B,R,2.0,,,15981.0,N,,N,,0,,N,,Y,148811.15,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,134.0
5519,33921,04/27/2007,1,40.0,CARABASET VLY,ME,4947.0,5833.0,0.0,O,O,13.0,M,N,,,,1,M,2.0,62500.0,N,40.0,,,B,R,1.0,,,88418.0,N,,N,,1,9033.53,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,155.62
7508,19353,10/12/2006,1,60.0,HAYNESVILLE,ME,4497.0,3315.0,0.0,5,O,12.0,M,N,,,,1,M,2.0,35000.0,U,430.0,,,B,R,2.0,,,7317.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,Y,41909.09,,0.0,N,,,,,,,,504.2
7834,30717,05/18/2005,1,36.0,E MILLINOCKET,ME,4430.0,1141.0,0.0,P,O,1.0,B,N,,,,1,M,1.0,62500.0,F,0.0,,,,,,,,27418.0,N,,N,,0,,N,,Y,24132.94,N,0.0,Y,24132.94,,0.0,,0.0,N,,,,,,,,611.24
8547,33236,12/18/2006,1,42.0,HERMON,ME,4401.0,837.0,1.0,1,O,5.0,M,Y,,Y,,3,F,2.0,87500.0,N,360.0,,,B,R,,Y,,177782.0,N,,N,,0,,N,,Y,179116.28,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,986.85
8597,15102,07/20/2005,1,38.0,BRADFORD,ME,4410.0,3008.0,1.0,O,O,11.0,M,Y,,Y,,1,M,2.0,25000.0,N,620.0,,,B,R,,,,19572.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,Y,54354.16,,0.0,N,,,,,,,,1028.26
9203,30738,07/20/2005,1,,LEWISTON,ME,4240.0,5901.0,0.0,P,R,2.0,S,N,,,,1,F,1.0,45000.0,N,0.0,,,,,,,,108732.0,N,,N,,0,,N,,Y,61926.32,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,1712.26
9208,33006,10/31/2006,1,40.0,S PORTLAND,ME,4106.0,6809.0,0.0,P,O,12.0,S,N,,,,1,M,1.0,62500.0,N,0.0,G,,B,R,1.0,,,27991.0,N,,N,,0,,N,,Y,111226.26,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,1725.4
9382,32323,04/14/2006,1,34.0,SCARBOROUGH,ME,4074.0,9105.0,0.0,O,O,2.0,B,N,,,,1,F,1.0,112500.0,N,0.0,H,,,,,,,45166.0,N,,N,,0,,N,,Y,198180.26,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,2030.21
