,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
7,39774,11/01/1999,2,40.0,POPLAR BLUFF,MO,63901.0,8096.0,1.0,O,O,2.0,M,Y,,Y,,1,F,2.0,87500.0,U,260.0,,,,,2.0,,,2171.0,N,,Y,4471.74,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,,Y,-39481.94
16,41809,06/12/1995,1,77.0,KANSAS CITY,MO,64127.0,1202.0,0.0,2,R,6.0,S,N,,,,1,M,1.0,45000.0,Z,0.0,,,B,R,,,,601.0,N,,Y,491.5,0,913.23,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,Y,0.0,,Y,,,,Y,-530.54
19,38177,02/24/1995,1,44.0,PURCELL,MO,64857.0,379.0,1.0,1,O,11.0,S,Y,,Y,,1,M,1.0,15000.0,N,10.0,,,B,R,1.0,,,70.0,N,,N,,0,,N,,Y,55327.02,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-446.8
34,42707,03/09/1981,10,89.0,WENTZVILLE,MO,63385.0,3555.0,0.0,O,O,2.0,M,N,,,,1,M,2.0,62500.0,S,0.0,H,2004.0,B,R,,,B,125108.0,Y,80000.0,Y,69.9,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-248.04
45,26152,07/26/1996,3,35.0,FLORISSANT,MO,63034.0,2104.0,1.0,1,O,7.0,A,Y,Y,,,1,M,3.0,35000.0,Z,20.0,B,1955.0,,,1.0,,A,2885.0,N,,Y,17.85,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,,,Y,,Y,-227.03
53,20130,01/03/2007,8,60.0,TROY,MO,63379.0,4013.0,0.0,C,O,2.0,M,N,,,,1,M,2.0,62500.0,N,310.0,,,B,R,2.0,,,247.0,Y,2533.15,Y,1085.67,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,Y,,N,,Y,-220.63
62,10906,12/30/2003,2,27.0,MOSCOW MILLS,MO,63362.0,2055.0,1.0,P,O,2.0,B,Y,Y,,,1,M,1.0,21600.0,N,150.0,,,B,R,,,,1467.0,N,,Y,655.69,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-206.16
70,42704,10/09/1986,3,54.0,ARNOLD,MO,63010.0,1278.0,0.0,1,O,15.0,S,N,,,,1,F,1.0,36000.0,S,20.0,A,,B,R,2.0,,A,8412.0,N,,Y,634.11,1,5679.96,Y,900.94,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,N,Y,Y,-200.93
78,11971,06/15/2004,3,22.0,JOPLIN,MO,64804.0,3154.0,0.0,P,R,3.0,B,N,,,,1,M,1.0,18845.52,N,0.0,,,,,,,,18561.0,N,,Y,372.6,1,3719.38,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-195.43
82,10177,08/18/2003,1,28.0,IRONTON,MO,63650.0,9140.0,0.0,1,O,9.0,M,N,,,,1,M,4.0,62500.0,N,280.0,D,,B,R,2.0,,,25323.0,N,,Y,248.22,0,,N,,Y,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-187.13
