,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
2070,30669,07/18/2005,1,34.0,JACKSON,MS,39209.0,9580.0,1.0,O,O,3.0,M,Y,,Y,,1,M,3.0,87500.0,Z,490.0,,,B,R,,,,12282.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-15.31
2903,30690,07/21/2005,1,46.0,COLLINSVILLE,MS,39325.0,8951.0,1.0,4,O,15.0,S,Y,,Y,Y,2,F,2.0,112500.0,J,70.0,,,B,R,2.0,Y,,19232.0,N,,N,,1,197.59,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-0.85
3278,12566,08/26/2004,1,67.0,BRAXTON,MS,39044.0,4501.0,1.0,Q,O,15.0,M,Y,,Y,,1,M,3.0,15000.0,Z,320.0,E,,,,2.0,,A,510.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,3846.17,N,,,,,,,,6.85
4208,10263,08/21/2003,1,72.0,LAUDERDALE,MS,39335.0,9589.0,0.0,8,O,15.0,M,N,,,,2,M,2.0,62500.0,N,350.0,E,,B,R,2.0,,,0.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,Y,3694.27,,0.0,N,,,,,,,,48.1
4880,11073,01/19/2004,1,43.0,MADISON,MS,39110.0,8767.0,0.0,1,O,12.0,M,N,,,,1,M,2.0,62500.0,N,270.0,D,1991.0,B,R,1.0,,E,5457.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,11637.07,N,,,,,,,,98.12
5042,16986,02/24/2006,1,43.0,SOSO,MS,39480.0,5043.0,0.0,P,R,8.0,M,N,,,,1,,2.0,25000.0,N,0.0,G,,,,,,A,0.0,N,,Y,1.84,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,111.7
5357,32813,10/12/2006,1,64.0,SOUTHAVEN,MS,38671.0,8750.0,0.0,C,O,9.0,M,N,,,,3,M,3.0,35000.0,S,100.0,F,,B,R,2.0,,,422.0,N,,N,,1,4012.54,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,140.8
6267,24235,01/27/1999,1,60.0,LONG BEACH,MS,39560.0,4300.0,0.0,Z,O,4.0,M,N,,,,1,M,4.0,112500.0,N,350.0,E,,B,R,1.0,,,8003.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,23251.56,N,,,,,,,,251.72
6443,13746,02/15/2005,1,66.0,CLINTON,MS,39056.0,9615.0,0.0,3,O,4.0,M,N,,,,1,F,2.0,62500.0,N,460.0,F,2002.0,B,R,1.0,,A,14875.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,14018.53,N,,,,,,,,276.81
6753,27769,07/29/2003,1,36.0,CLARKSDALE,MS,38614.0,4102.0,1.0,O,R,2.0,B,Y,,Y,,1,F,1.0,62500.0,N,80.0,,,B,R,1.0,,,14788.0,N,,N,,1,2839.39,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,331.15
