,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
1092,33541,02/20/2007,1,21.0,FAYETTEVILLE,NC,28306.0,0.0,,,,0.0,,,,,,0,,,,,0.0,,,,,,,,,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,15359.8,N,,,,,,,,-44.7
1482,26511,09/03/2002,1,48.0,APEX,NC,27502.0,6267.0,1.0,1,O,11.0,M,Y,,Y,,2,M,2.0,62500.0,N,0.0,I,1995.0,B,R,1.0,,A,61656.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-30.14
1661,37913,08/14/1995,1,51.0,CHARLOTTE,NC,28213.0,8009.0,2.0,Z,O,15.0,M,Y,Y,,Y,1,F,4.0,24999.96,R,0.0,D,1968.0,B,R,,,A,2020.0,N,,Y,81.03,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-25.55
1726,41062,01/05/1990,2,64.0,STONY POINT,NC,28678.0,9008.0,0.0,P,O,2.0,M,N,,,,1,M,2.0,62500.0,N,0.0,,,,,,,,0.0,N,,Y,513.33,0,,Y,1938.17,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,N,,,N,-23.52
1831,16684,01/20/2006,1,18.0,FORT BRAGG,NC,28310.0,1.0,,Q,,0.0,,,,,,0,,,,,0.0,,,,,,,,,N,,N,,0,,Y,940.65,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,N,N,Y,Y,Y,-20.69
1970,27925,09/03/2003,1,64.0,CHERRYVILLE,NC,28021.0,9761.0,0.0,P,O,10.0,M,N,,,,1,M,2.0,17500.0,N,0.0,B,,,R,,,,4290.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-17.19
2023,27779,07/31/2003,1,28.0,RALEIGH,NC,27606.0,2774.0,0.0,Z,O,3.0,M,N,,,,2,M,2.0,35000.0,N,0.0,E,1983.0,B,R,,,A,14290.0,N,,N,,1,369.57,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-16.02
2042,24011,11/17/1980,1,52.0,LOUISBURG,NC,27549.0,7539.0,0.0,Z,O,11.0,M,N,,,,1,M,3.0,125000.0,G,0.0,L,1996.0,B,R,1.0,,A,29995.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-15.66
2242,2330,01/01/1972,1,70.0,ROCKY MOUNT,NC,27803.0,5233.0,1.0,8,O,11.0,M,Y,,Y,,1,M,2.0,87500.0,Z,0.0,E,,B,R,2.0,,,3556.0,N,,Y,3268.56,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-12.01
2726,30694,07/22/2005,1,,GROVER,NC,28073.0,9700.0,0.0,P,O,0.0,B,N,,,,1,M,1.0,45000.0,N,0.0,B,,,,,,,3833.0,N,,N,,1,1379.51,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-3.67
2835,44436,01/14/1984,1,46.0,FAYETTEVILLE,NC,28303.0,4253.0,0.0,P,R,10.0,B,N,,,,1,M,1.0,35000.0,U,0.0,D,1941.0,,,,,A,28236.0,Y,455.74,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-2.03
2927,26287,05/21/2002,1,70.0,WILSON,NC,27896.0,1607.0,0.0,1,O,5.0,M,N,,,,2,M,2.0,45000.0,U,0.0,F,,B,R,,,,22880.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-0.42
2963,27685,06/13/2003,1,36.0,STATESVILLE,NC,28625.0,1893.0,1.0,P,O,3.0,S,Y,,Y,,1,F,1.0,87500.0,N,0.0,B,2003.0,,,,,A,628.0,N,,N,,0,,N,,Y,119103.61,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,0.0
2974,34880,11/05/1993,1,54.0,RALEIGH,NC,27604.0,8726.0,0.0,O,R,6.0,M,N,,,,1,F,2.0,87500.0,N,0.0,,,B,R,,,,939.0,N,,N,,0,,N,,Y,33240.26,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,0.0
3042,34915,04/30/1997,2,19.0,ELON COLLEGE,NC,27244.0,2012.0,0.0,,R,2.0,S,N,,,Y,1,F,1.0,10920.0,N,0.0,,,,,,,,39909.0,N,,Y,30.0,1,313.76,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,N,,N,Y,Y,1.06
3053,23952,07/14/1972,1,82.0,WILMINGTON,NC,28405.0,2720.0,0.0,O,O,5.0,B,N,,,,1,M,1.0,15000.0,N,0.0,D,1942.0,B,R,,,A,111321.0,N,,N,,1,16.79,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,1.28
3061,29837,11/19/2004,1,34.0,RALEIGH,NC,27612.0,2862.0,3.0,O,O,6.0,A,Y,Y,,,3,M,2.0,125000.0,F,0.0,M,1994.0,B,R,1.0,,A,152667.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,1.49
