,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
20,1121,05/01/1969,2,72.0,OMAHA,NE,68144.0,2910.0,1.0,1,O,15.0,M,Y,,Y,,3,M,3.0,125000.0,N,350.0,E,,B,R,3.0,,,76871.0,N,0.0,Y,2281.85,1,82.7,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,-403.68
86,13270,12/10/2004,3,36.0,LINCOLN,NE,68521.0,4507.0,0.0,5,R,4.0,S,N,,,,1,M,1.0,34999.92,S,0.0,,,B,R,,,,2460.0,N,,Y,738.79,0,,Y,128.19,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,,Y,-185.1
119,16680,01/20/2006,1,33.0,OMAHA,NE,68112.0,2328.0,1.0,P,R,1.0,B,Y,Y,,,1,F,1.0,25000.0,G,280.0,E,,B,R,1.0,,,49498.0,N,,Y,81.55,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-167.09
127,15513,09/01/2005,4,22.0,LINCOLN,NE,68502.0,2608.0,1.0,7,O,13.0,M,Y,,Y,Y,1,M,2.0,15000.0,G,150.0,,,B,R,2.0,,,1038.0,N,,Y,2240.64,1,0.0,Y,545.22,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-164.78
133,7623,04/02/2002,3,59.0,FREMONT,NE,68025.0,3750.0,0.0,3,O,4.0,M,N,,,,1,F,2.0,36000.0,S,0.0,F,,B,R,2.0,,,92070.0,N,,Y,225.62,0,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-159.66
173,3006,11/01/1993,3,53.0,LINCOLN,NE,68502.0,3549.0,,,,,,,,,,0,,,,,,,,,,,,,16670.0,N,,Y,1385.23,0,,Y,1062.58,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-144.2
179,14977,07/13/2005,2,28.0,LINCOLN,NE,68510.0,3448.0,0.0,1,O,13.0,M,N,,,,2,M,2.0,45000.0,N,110.0,E,1930.0,B,R,2.0,,A,2512.0,N,,Y,1548.37,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-140.68
208,12347,08/04/2004,3,20.0,LINCOLN,NE,68507.0,1137.0,1.0,2,O,6.0,M,Y,,Y,Y,1,M,2.0,87500.0,N,300.0,B,1985.0,B,R,3.0,,A,31.0,N,,Y,308.06,1,399.79,Y,84.88,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,Y,Y,,Y,N,-132.51
210,14348,05/06/2005,8,21.0,LINCOLN,NE,68512.0,2107.0,,O,,0.0,,,,,,0,,,21600.0,N,0.0,,,,,,,,1213.0,N,,Y,477.32,1,1998.29,Y,300.19,N,0.0,N,0.0,N,0.0,,0.0,Y,7561.32,N,,Y,Y,,N,Y,Y,-131.46
242,7380,11/28/1995,1,35.0,OMAHA,NE,68106.0,3342.0,0.0,F,R,6.0,M,N,,,,1,M,2.0,59999.88,S,240.0,,,B,R,2.0,,,3944.0,N,,Y,803.73,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-123.98
250,5500,10/10/1989,2,41.0,OMAHA,NE,68135.0,5390.0,2.0,3,O,4.0,M,Y,Y,,,2,M,2.0,87500.0,G,140.0,,,B,R,2.0,,,18093.0,N,,Y,6834.57,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-121.83
370,6341,03/03/1997,1,30.0,ARLINGTON,NE,68002.0,4009.0,0.0,4,O,7.0,M,N,,,,1,F,2.0,53676.0,N,20.0,F,,,,,,A,2802.0,N,,Y,4182.74,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-98.39
381,31786,04/12/2006,2,58.0,BELLEVUE,NE,68005.0,3379.0,1.0,2,O,8.0,M,Y,,Y,Y,1,M,2.0,87500.0,G,240.0,G,1986.0,B,R,1.0,,A,16517.0,N,,N,,1,196.68,N,,N,0.0,N,0.0,N,0.0,Y,20867.0,,0.0,N,,,,,,,,-97.52
422,31106,05/05/2004,1,21.0,OMAHA,NE,68124.0,1220.0,1.0,Z,O,15.0,M,Y,,Y,,1,M,2.0,90499.92,H,780.0,F,,B,R,3.0,,,105789.0,N,,Y,935.21,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,N,Y,Y,-93.2
559,6174,01/13/2000,2,32.0,BLAIR,NE,68008.0,2360.0,1.0,4,O,6.0,M,Y,Y,,,1,M,2.0,36999.96,O,120.0,,,,,1.0,,,23677.0,N,,Y,3290.42,0,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,-78.61
577,6194,08/16/1999,1,37.0,OMAHA,NE,68108.0,3809.0,2.0,5,O,6.0,M,Y,,Y,,1,M,2.0,45000.0,N,90.0,C,,B,R,1.0,,,27268.0,N,,Y,575.29,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-77.32
614,19666,11/13/2006,2,19.0,LINCOLN,NE,68508.0,3571.0,0.0,P,R,3.0,S,N,,,,1,F,1.0,15000.0,N,0.0,,,,,,,,43120.0,N,,Y,144.94,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,N,Y,-72.83
667,5607,10/19/1998,3,34.0,BLAIR,NE,68008.0,2236.0,2.0,1,O,2.0,M,Y,Y,,,3,M,2.0,34999.92,N,50.0,F,1974.0,B,R,,,A,66992.0,N,,Y,2071.02,0,0.0,Y,2311.51,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-69.17
755,8713,12/02/2002,1,28.0,BELLEVUE,NE,68005.0,4358.0,0.0,P,R,2.0,B,N,,,,1,F,2.0,25000.0,U,20.0,,,,,,,,2701.0,N,,Y,133.58,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-61.84
