,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
69,32223,06/29/2006,1,44.0,PARAMUS,NJ,7652.0,4615.0,1.0,O,O,2.0,M,Y,,Y,,1,F,2.0,87500.0,O,0.0,Q,1952.0,B,R,,,A,475766.0,N,,N,,1,5400.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-201.61
316,33220,12/28/2006,1,30.0,BRICK,NJ,8723.0,4254.0,1.0,P,O,15.0,S,Y,,Y,,1,M,5.0,62500.0,I,0.0,G,,B,R,,,A,93633.0,N,,N,,1,6353.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-107.68
1276,28209,12/11/2003,1,32.0,HOBOKEN,NJ,7030.0,5873.0,0.0,N,R,0.0,S,N,,,,3,M,1.0,125000.0,G,0.0,Q,,,,,,,371733.0,N,,N,,1,3008.8,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-35.9
1325,33516,02/27/2007,1,32.0,CLARKSBURG,NJ,8510.0,1625.0,1.0,Q,O,0.0,M,Y,Y,,,1,M,2.0,87500.0,N,0.0,,,,,,,,262197.0,N,,N,,1,3950.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-34.55
1378,29377,08/19/2004,1,38.0,RANDOLPH,NJ,7869.0,3717.0,2.0,1,O,6.0,M,Y,Y,,,3,F,2.0,125000.0,B,0.0,Q,2000.0,B,R,2.0,,A,688504.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-32.72
1556,32830,10/16/2006,1,44.0,WESTFIELD,NJ,7090.0,2318.0,1.0,O,O,9.0,B,Y,Y,,,3,F,1.0,125000.0,O,0.0,P,,,,,,A,480393.0,N,,N,,1,135.85,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-27.83
1768,24679,02/09/2000,2,64.0,CHERRY HILL,NJ,8003.0,3319.0,0.0,4,O,15.0,M,N,,,Y,2,F,3.0,62500.0,B,0.0,M,,B,R,1.0,,A,342867.0,N,,N,,1,123.8,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-22.37
1904,15048,07/20/2005,1,33.0,EGG HBR TWP,NJ,8234.0,4941.0,0.0,O,O,5.0,M,N,,,,1,M,2.0,87500.0,N,0.0,I,,,R,,,A,34307.0,N,,N,,1,62.4,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-18.53
2145,33732,03/29/2007,1,38.0,PRINCETON,NJ,8540.0,9467.0,1.0,N,O,9.0,M,Y,Y,,,3,F,2.0,125000.0,B,0.0,O,,B,R,,,A,62577.0,N,,N,,1,391.66,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-14.33
2345,41256,07/24/2000,1,32.0,EDISON,NJ,8820.0,3620.0,1.0,O,O,8.0,B,Y,,Y,,3,M,1.0,125000.0,B,0.0,Q,,,,1.0,,A,568001.0,N,,Y,315.74,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-9.92
