,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
21,7589,03/13/2002,1,56.0,ALBUQUERQUE,NM,87114.0,3497.0,1.0,O,O,1.0,M,Y,,Y,,1,M,2.0,112500.0,H,0.0,F,,,,,,A,62974.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,Y,12741.64,,0.0,N,,,,,,,,-380.54
1779,30533,06/13/2005,1,40.0,ALBUQUERQUE,NM,87113.0,1221.0,0.0,,O,3.0,S,N,,,,1,M,1.0,62500.0,N,0.0,H,,B,R,,,A,16876.0,N,,N,,1,1617.34,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-22.12
1927,28443,02/27/2004,1,64.0,PLACITAS,NM,87043.0,9314.0,0.0,N,O,15.0,M,N,,,,3,M,2.0,87500.0,N,0.0,,,B,R,,,,1118817.0,N,,N,,1,4351.26,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-17.97
1966,24390,04/09/1999,1,64.0,RATON,NM,87740.0,9729.0,0.0,8,O,3.0,M,N,,,,1,M,2.0,17500.0,N,0.0,,,B,R,1.0,,,29952.0,N,,N,,1,695.54,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-17.27
2098,33875,04/19/2007,1,68.0,TRUTH CONSQ,NM,87901.0,3683.0,0.0,P,O,4.0,S,N,,,,1,M,1.0,15000.0,N,0.0,,,,,,,,0.0,N,,N,,1,9400.14,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-15.11
2272,26065,04/02/2002,1,36.0,SANTA FE,NM,87505.0,6529.0,1.0,O,O,9.0,M,Y,,Y,,1,M,2.0,15000.0,H,0.0,D,,,,,,A,64249.0,N,,N,,1,41.03,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-11.3
2812,33813,04/10/2007,1,34.0,LOS ALAMOS,NM,87544.0,2864.0,1.0,1,O,5.0,M,Y,Y,,,3,F,2.0,62500.0,S,0.0,G,,B,R,,,,82973.0,N,,N,,1,1222.42,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-2.33
3268,21693,05/17/2007,1,69.0,FORT SUMNER,NM,88119.0,9701.0,0.0,1,O,13.0,M,N,,,,1,M,2.0,35000.0,X,0.0,,,B,R,2.0,,,35702.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,Y,15728.37,,0.0,N,,,,,,,,6.6
4966,21437,04/25/2007,1,37.0,SILVER CITY,NM,88061.0,6634.0,3.0,1,O,4.0,M,Y,Y,Y,,2,F,2.0,62500.0,H,0.0,,,B,R,2.0,,,1916.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,24727.68,N,,,,,,,,104.32
5127,3049,03/07/1994,1,46.0,SANTA FE,NM,87505.0,5644.0,0.0,O,R,1.0,B,N,,,,3,F,1.0,112500.0,U,0.0,E,,B,R,,,,34365.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,119.01
6431,9734,06/12/2003,2,22.0,GRANTS,NM,87020.0,973.0,,,,0.0,,,,,,0,,,31999.92,,0.0,,,,,,,,20197.0,N,,Y,846.9,1,3533.75,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,275.19
6515,19947,12/15/2006,1,24.0,HATCH,NM,87937.0,697.0,1.0,,O,4.0,M,Y,,Y,,1,M,2.0,35000.0,H,0.0,C,,,,,,,0.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,29356.89,N,,,,,,,,288.18
