,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
36,32109,06/05/2006,1,,ELMIRA,NY,14901.0,1328.0,0.0,8,O,3.0,S,N,,,,2,M,3.0,25000.0,N,500.0,C,1910.0,B,R,2.0,,D,23932.0,N,,N,,1,8548.98,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-243.81
646,34299,06/04/2007,1,,SCOTIA,NY,12302.0,2460.0,,O,,0.0,,,,,,0,,,,,0.0,D,1993.0,,,,,A,47169.0,N,,N,,0,,N,,Y,127988.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-71.04
679,44746,04/14/1999,2,33.0,KROGHAN,NY,13327.0,0.0,,,,0.0,,,,,,0,,,,,0.0,,,,,,,,,N,,Y,,1,46.88,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-68.34
787,26499,08/26/2002,1,40.0,EAST ISLIP,NY,11730.0,251.0,2.0,2,O,15.0,M,Y,Y,,,1,M,2.0,105000.0,D,170.0,I,,B,R,2.0,Y,A,19989.0,N,,N,,1,2671.14,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-59.91
975,8173,08/26/2002,1,22.0,COBLESKILL,NY,12043.0,7002.0,1.0,O,O,15.0,S,Y,,Y,Y,1,M,2.0,35000.0,N,230.0,A,1989.0,,,,,A,6253.0,N,,Y,432.14,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,N,-50.45
986,28785,05/13/2004,1,38.0,HAMBURG,NY,14075.0,1719.0,2.0,1,O,10.0,M,Y,Y,,,1,M,2.0,62500.0,M,0.0,D,1929.0,B,R,2.0,,A,80569.0,N,,N,,1,490.17,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-50.03
1147,29641,09/23/2004,1,42.0,NEW YORK,NY,10128.0,818.0,0.0,1,O,5.0,M,N,,,,3,F,2.0,87500.0,U,0.0,,,B,R,,,,141257.0,N,,N,,1,661.69,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-41.38
1437,23620,04/13/1998,1,80.0,NEW YORK,NY,10022.0,2444.0,0.0,N,O,6.0,B,N,,,,3,M,1.0,125000.0,N,0.0,R,1981.0,,,,Y,A,2000000.0,N,,N,,1,39.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-31.02
1485,25452,06/06/2001,1,60.0,LOUDONVILLE,NY,12211.0,1539.0,1.0,2,O,15.0,M,Y,,Y,,3,M,3.0,125000.0,N,930.0,H,1976.0,B,R,3.0,Y,A,141703.0,N,,N,,1,1333.06,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-30.1
1623,25577,10/10/2001,1,46.0,EAST ISLIP,NY,11730.0,3813.0,1.0,E,O,0.0,M,Y,,Y,Y,2,M,4.0,125000.0,G,3060.0,Q,,B,R,3.0,,A,311273.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-25.99
