,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
6,29930,02/15/1995,1,56.0,CINCINNATI,OH,45251.0,0.0,,,,0.0,,,,,,0,,,109999.92,,0.0,,,,,,,,,N,,N,,0,6496.9,N,,Y,195032.15,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-2608.21
24,42370,03/05/2001,7,32.0,DAYTON,OH,45415.0,1803.0,1.0,O,O,2.0,M,Y,Y,,,1,M,2.0,112500.0,N,180.0,F,1981.0,B,R,3.0,,A,8687.0,N,,Y,2317.62,0,,Y,785.0,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,N,Y,Y,Y,-343.41
35,12899,10/15/2004,2,27.0,AMELIA,OH,45102.0,1114.0,0.0,O,O,0.0,M,N,,,,1,M,1.0,45000.0,S,30.0,E,1958.0,B,R,,,A,4356.0,N,,Y,3521.89,1,6680.63,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-245.29
42,12611,09/07/2004,4,59.0,CAMBRIDGE,OH,43725.0,9046.0,1.0,P,O,3.0,M,Y,,Y,Y,1,M,4.0,23040.0,B,160.0,,,B,R,3.0,,,44294.0,N,,Y,3939.33,0,,Y,121.73,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-230.91
51,43810,07/25/1997,3,30.0,CINCINNATI,OH,45208.0,2016.0,0.0,P,O,3.0,M,N,,,,1,M,2.0,49999.92,N,330.0,F,1970.0,B,R,1.0,,A,39249.0,N,,Y,1557.89,0,,Y,974.11,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-223.47
63,44734,07/07/1995,2,25.0,COLUMBUS,OH,43220.0,3536.0,0.0,4,O,5.0,S,N,,,,1,F,1.0,57999.96,N,60.0,C,1970.0,B,R,1.0,,B,2262.0,N,,Y,677.58,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-205.81
67,39670,01/16/2002,2,31.0,OLMSTED FALLS,OH,44138.0,3539.0,0.0,1,O,6.0,M,N,,,,1,M,3.0,16299.96,N,290.0,H,2000.0,B,R,1.0,,A,36907.0,N,,Y,539.31,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,,-204.16
73,18051,06/15/2006,1,29.0,WILLIAMSBURG,OH,45176.0,9264.0,0.0,P,O,2.0,B,N,,,,1,M,2.0,20400.0,N,120.0,,,,,1.0,,,3859.0,N,,Y,407.24,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-197.98
83,12398,08/13/2004,2,52.0,IRONTON,OH,45638.0,8045.0,0.0,Z,R,3.0,S,N,,,,1,M,2.0,35000.0,N,300.0,,,B,R,1.0,,,176.0,N,,Y,1799.4,0,,Y,304.7,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,N,Y,Y,N,-186.97
107,42337,06/06/2001,3,27.0,CINCINNATI,OH,45226.0,1947.0,0.0,O,R,2.0,B,N,,,,3,F,1.0,18000.0,S,0.0,G,,,,,,,10652.0,N,,Y,1524.65,1,847.19,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-174.88
