,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
77,8866,01/13/2003,1,39.0,WASHINGTON,PA,15301.0,7136.0,1.0,3,O,15.0,M,Y,Y,,,1,M,2.0,62500.0,I,0.0,D,,B,R,1.0,,,9421.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,Y,17235.21,,0.0,N,,,,,,,,-195.89
1096,33295,01/19/2007,1,28.0,PITTSBURGH,PA,15235.0,4032.0,0.0,3,O,4.0,M,N,,,,1,M,2.0,62500.0,S,0.0,C,1960.0,,,2.0,,A,1712.0,N,,N,,1,580.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-44.25
1243,25741,02/01/2002,1,64.0,COATESVILLE,PA,19320.0,2761.0,0.0,7,O,3.0,M,N,,,,1,F,2.0,45000.0,S,0.0,F,1991.0,B,R,,,A,12390.0,N,,N,,1,1465.96,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-37.34
1584,9876,03/12/2003,1,135.0,GLENVILLE,PA,17329.0,9151.0,0.0,O,O,8.0,B,N,,,,1,M,1.0,62500.0,N,0.0,E,1975.0,,,,,A,8132.0,N,,N,,1,251.03,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-27.06
1717,32570,09/05/2006,1,48.0,HARRISBURG,PA,17112.0,9469.0,0.0,C,O,11.0,M,N,,,,1,M,2.0,87500.0,J,0.0,,,B,R,1.0,,,55223.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-23.97
1718,30222,03/25/2005,1,66.0,MONTROSE,PA,18801.0,9804.0,0.0,1,O,8.0,M,N,,,,2,M,2.0,87500.0,N,0.0,F,,B,R,2.0,,,881840.0,N,,N,,1,243.87,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-23.87
2071,24308,04/14/1993,1,66.0,GLADWYNE,PA,19035.0,1325.0,0.0,O,O,15.0,M,N,,,,1,M,2.0,125000.0,N,0.0,O,1790.0,B,R,1.0,,A,401325.0,N,,N,,1,156.8,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-15.3
2267,29720,10/20/2004,1,38.0,MERCERSBURG,PA,17236.0,1003.0,0.0,3,O,11.0,M,N,,,,1,M,2.0,62500.0,S,0.0,E,,B,R,2.0,,,11094.0,N,,N,,1,3416.79,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-11.38
2316,8879,01/21/2003,1,68.0,NEW HOPE,PA,18938.0,1271.0,,,O,,,,,,,2,,,45000.0,,,,,,,,,,86693.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-10.56
2341,24297,03/22/1993,1,68.0,SCRANTON,PA,18505.0,3623.0,1.0,8,O,8.0,M,Y,,Y,Y,2,M,2.0,45000.0,U,0.0,D,,B,R,2.0,,A,9201.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-9.98
