,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
1800,32754,10/05/2006,1,54.0,COVENTRY,RI,2816.0,4353.0,1.0,O,O,6.0,M,Y,Y,,,1,M,3.0,62500.0,U,0.0,G,2000.0,,,,,A,6544.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-21.5
1979,30207,03/21/2005,1,46.0,CRANSTON,RI,2920.0,6031.0,0.0,O,O,15.0,M,N,,,Y,1,M,3.0,62500.0,O,0.0,F,,,,,,,111353.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-17.02
5874,34046,09/08/2006,1,,TIVERTON,RI,2878.0,2508.0,1.0,P,O,2.0,M,Y,Y,,,1,F,2.0,62500.0,X,0.0,,,B,R,,,,99921.0,N,,N,,0,,N,,Y,202400.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,194.87
5908,34016,02/06/2004,1,40.0,PROVIDENCE,RI,2906.0,318.0,1.0,,O,12.0,M,Y,,Y,,1,M,1.0,15000.0,J,0.0,,,,,,,,2332.0,N,,N,,0,,N,,Y,113812.13,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,200.15
6042,34017,02/23/2004,1,50.0,BARRINGTON,RI,2806.0,3815.0,1.0,1,O,15.0,M,Y,,Y,,3,M,2.0,125000.0,G,0.0,J,,B,R,1.0,,,257451.0,N,,N,,0,,N,,Y,125703.37,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,216.65
6092,22372,08/21/1997,1,52.0,WEST WARWICK,RI,2893.0,5463.0,1.0,O,O,15.0,M,Y,,Y,,1,M,2.0,82999.92,I,0.0,,1982.0,B,R,,,A,132453.0,N,,N,,1,3788.9,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,223.21
6868,7512,01/17/2002,1,57.0,PROVIDENCE,RI,2909.0,2130.0,1.0,P,O,5.0,A,Y,,Y,,1,M,2.0,15000.0,H,0.0,F,1910.0,B,R,,,D,8017.0,N,,N,,1,607.9,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,353.61
7052,881,01/29/1988,2,46.0,E PROVIDENCE,RI,2914.0,4521.0,1.0,Z,R,6.0,B,Y,,Y,,1,M,1.0,25000.0,S,0.0,G,,,,,,,21527.0,N,,Y,173.91,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,389.23
8489,27885,05/12/1993,1,60.0,N PROVIDENCE,RI,2911.0,2740.0,1.0,O,O,5.0,M,Y,,Y,,1,M,2.0,45000.0,I,0.0,H,1910.0,B,R,2.0,Y,D,14465.0,N,,N,,0,,N,,Y,67537.73,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,951.44
8623,28187,12/04/2003,1,62.0,JOHNSTON,RI,2919.0,4713.0,0.0,O,O,15.0,S,N,,,,1,M,1.0,87500.0,I,0.0,H,1988.0,B,R,2.0,Y,A,114889.0,N,,N,,1,549.87,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,1052.31
9287,28296,01/15/2004,1,46.0,WARWICK,RI,2888.0,2911.0,1.0,1,O,2.0,M,Y,,Y,,3,M,2.0,112500.0,N,0.0,G,,B,R,,,,167586.0,N,,N,,0,,N,,Y,162512.63,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,1864.63
9605,28303,01/21/2004,1,46.0,ASHAWAY,RI,2804.0,2244.0,0.0,O,O,7.0,B,N,,,,1,F,1.0,17500.0,I,0.0,H,,,,,,,10158.0,N,,N,,0,,N,,Y,92509.2,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,2591.77
9770,32766,09/25/2006,1,46.0,L COMPTON,RI,2837.0,1313.0,1.0,O,O,0.0,A,Y,,Y,,1,M,2.0,112500.0,N,0.0,L,1986.0,B,R,,,A,107271.0,N,,N,,0,,N,,Y,409859.06,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,3297.51
9843,27738,07/02/2003,1,46.0,WESTERLY,RI,2891.0,3209.0,0.0,2,O,8.0,S,N,,,,1,F,1.0,87500.0,N,0.0,E,1998.0,B,R,2.0,Y,A,28695.0,N,,N,,0,,N,,Y,131768.47,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,3693.2
