,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
2063,34337,06/27/2007,1,37.0,SIMPSONVILLE,SC,29680.0,3720.0,0.0,O,,0.0,S,N,,,,0,M,1.0,,,0.0,,,B,R,,,,32719.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,Y,42625.0,,0.0,N,,,,,,,,-15.45
3066,25908,02/20/2002,1,36.0,ANDERSON,SC,29625.0,6588.0,1.0,Z,O,5.0,M,Y,Y,,,1,M,2.0,87500.0,S,290.0,J,1990.0,B,R,1.0,,A,343174.0,N,,N,,1,1617.18,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,1.62
4549,27858,08/13/2003,1,40.0,SIMPSONVILLE,SC,29681.0,4480.0,0.0,O,O,12.0,M,N,,,,1,M,2.0,39252.0,N,0.0,E,1995.0,,,,,A,5015.0,N,,N,,0,,N,,N,0.0,N,0.0,Y,105254.73,,0.0,,0.0,N,,,,,,,,71.09
4665,40346,02/02/1984,1,66.0,JOHNS ISLAND,SC,29455.0,5681.0,0.0,Z,O,15.0,B,N,,,,3,F,1.0,62500.0,S,0.0,R,1979.0,B,R,,,A,377332.0,N,,N,,1,1031.92,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,79.53
5652,44711,07/20/2002,1,39.0,WILLIAMSTON,SC,29697.0,9757.0,2.0,1,O,11.0,M,Y,Y,Y,,2,M,2.0,35000.0,N,0.0,E,1995.0,B,R,,,A,11.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,5186.42,N,,,,,,,,169.16
5821,32470,08/14/2006,1,44.0,COLUMBIA,SC,29206.0,4424.0,0.0,1,O,3.0,M,N,,,,3,F,2.0,112500.0,Z,0.0,H,1946.0,,R,,,A,113940.0,N,,N,,1,71.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,190.24
6179,33667,03/15/2007,2,76.0,SUMMERVILLE,SC,29483.0,9280.0,0.0,O,O,0.0,B,N,,,,1,F,1.0,15000.0,N,0.0,G,,B,R,,,A,5057.0,N,,N,,0,,N,,Y,166356.01,N,0.0,Y,32982.25,,0.0,,0.0,N,,,,,,,,236.9
6281,29213,06/16/2004,1,68.0,GOOSE CREEK,SC,29445.0,4319.0,0.0,8,O,15.0,M,N,,,,1,M,2.0,35000.0,P,0.0,G,,B,R,,,A,5472.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,252.87
6654,19181,09/25/2006,1,39.0,LANCASTER,SC,29720.0,7797.0,0.0,P,R,8.0,B,N,,,,1,M,1.0,35000.0,N,0.0,C,,B,R,,,,32070.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,11566.02,N,,,,,,Y,,313.46
6736,8842,01/14/2003,1,52.0,COLUMBIA,SC,29229.0,9286.0,0.0,O,O,4.0,B,N,,,,1,M,1.0,87500.0,H,0.0,E,1999.0,,,,,A,5457.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,9605.11,N,,,,,,,,328.88
