,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
129,10556,10/17/2003,2,42.0,SIOUX FALLS,SD,57105.0,1224.0,1.0,P,R,4.0,M,Y,,Y,,1,M,3.0,31999.92,N,290.0,E,,B,R,3.0,,,203727.0,N,,Y,935.41,0,,Y,34.69,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,,Y,-161.77
550,7587,03/19/2002,2,26.0,SIOUX FALLS,SD,57104.0,5801.0,0.0,6,O,1.0,S,N,,,,1,M,1.0,31999.92,Z,100.0,,,,,,,,694.0,N,,Y,1150.04,0,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,N,Y,Y,-79.18
731,10144,08/13/2003,1,55.0,SIOUX FALLS,SD,57103.0,2172.0,0.0,Z,R,3.0,S,N,,,,1,F,1.0,12000.0,G,170.0,E,,B,R,1.0,,,887.0,N,,Y,13.95,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,N,,Y,,Y,-64.28
779,2361,01/13/1989,1,72.0,LEOLA,SD,57456.0,7108.0,0.0,K,O,15.0,M,N,,,,1,M,2.0,35000.0,G,580.0,,,B,R,2.0,,,10920.0,Y,91287.93,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-60.39
834,4281,06/01/1967,2,90.0,RAPID CITY,SD,57702.0,240.0,0.0,4,R,8.0,S,N,,,,1,F,1.0,17500.0,U,0.0,D,,B,R,2.0,,,19435.0,N,,Y,794.84,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-57.35
906,2225,03/01/1979,3,76.0,ABERDEEN,SD,57401.0,3656.0,1.0,P,O,15.0,A,Y,,Y,,1,M,2.0,25984.92,U,130.0,,,B,R,2.0,,,17709.0,N,,Y,1705.08,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-53.5
940,19492,10/27/2006,1,21.0,SIOUX FALLS,SD,57104.0,4302.0,,P,,0.0,,,,,,0,,,,,0.0,C,,,,,,,44.0,N,,Y,0.34,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-51.98
966,18494,07/24/2006,1,26.0,SIOUX FALLS,SD,57101.0,3012.0,,,,0.0,,,,,,0,,,,U,0.0,,,,,,,,24595.0,N,,Y,220.07,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,-51.04
1214,1446,03/01/1966,2,76.0,ABERDEEN,SD,57401.0,8324.0,0.0,1,O,11.0,M,N,,,,1,M,2.0,54000.0,G,340.0,C,,B,R,2.0,,,84515.0,N,,Y,1738.06,1,429.9,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,Y,0.0,,,,,,,-38.51
1714,19290,10/04/2006,1,16.0,SIOUX FALLS,SD,57103.0,8533.0,0.0,P,R,0.0,S,N,,,,1,U,1.0,25000.0,N,0.0,,,,,,,,186.0,N,,Y,115.88,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-24.21
