,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
398,13491,01/14/2005,1,23.0,THE WOODLANDS,TX,77381.0,2611.0,1.0,O,O,15.0,M,Y,,Y,Y,1,M,3.0,112500.0,S,340.0,F,1981.0,B,R,1.0,,A,95829.0,N,,Y,10.91,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-95.71
441,32438,08/08/2006,1,48.0,LITTLE ELM,TX,75068.0,5050.0,1.0,O,O,7.0,S,Y,,Y,,1,M,2.0,62500.0,U,260.0,G,,B,R,1.0,,A,5804.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-90.84
528,2125,03/13/1992,1,50.0,ARLINGTON,TX,76006.0,5165.0,1.0,1,O,3.0,M,Y,,Y,,1,F,3.0,87500.0,S,450.0,J,,B,R,3.0,,,6758.0,N,,Y,847.32,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,Y,,,Y,Y,-81.9
575,39717,09/26/1997,2,51.0,ARLINGTON,TX,76012.0,6568.0,,O,,0.0,,,,,,0,,,,N,0.0,,,,,,,,17964.0,N,,Y,8.4,0,,Y,28.5,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,N,,Y,N,-77.42
844,8684,12/07/2002,1,57.0,SAN ANGELO,TX,76903.0,1056.0,1.0,2,O,15.0,M,Y,,Y,,1,M,5.0,87500.0,S,630.0,D,,B,R,2.0,,,268625.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,Y,6346.97,,0.0,N,,,,,,,,-56.39
880,45549,01/19/1993,1,29.0,RICHMOND,TX,77469.0,6381.0,0.0,O,O,0.0,M,N,,,,1,M,2.0,31005.96,N,160.0,H,,B,R,1.0,,,1720.0,N,,Y,39.39,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,N,,,Y,N,-54.18
904,31706,03/29/2006,1,36.0,RICHMOND,TX,77469.0,6119.0,2.0,1,O,3.0,M,Y,Y,,,3,M,2.0,87500.0,G,280.0,G,,B,R,3.0,,,71650.0,N,,N,,1,176.64,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-53.56
935,33362,01/29/2007,1,20.0,LACKLAND AFB,TX,78236.0,6014.0,,N,,0.0,,,,,,0,,,,N,0.0,,,,,,,,555.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,14876.68,N,,,,,,,,-52.22
1290,34288,05/31/2007,1,,LAREDO,TX,78046.0,5716.0,,P,,0.0,,,,,,0,,,,,0.0,,,,,,,,348.0,N,,N,,0,,N,,Y,97273.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-35.52
1299,10937,09/11/2003,2,31.0,AUSTIN,TX,78717.0,4719.0,0.0,2,R,0.0,M,N,,,,3,M,2.0,87500.0,N,0.0,,,B,R,,,,1682.0,N,,Y,71.39,0,,Y,236.89,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-35.29
