,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
14,8367,10/04/2002,1,22.0,MADISON,WI,53703.0,1129.0,,P,,0.0,,,,,,0,,,,,0.0,,,,,,,,47.0,N,,N,,1,1340.45,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,-892.6
26,39355,10/04/1990,2,65.0,MILWAUKEE,WI,53213.0,3577.0,0.0,Z,R,5.0,S,N,,,,2,M,1.0,35000.0,G,0.0,,,B,R,,,,3445.0,N,,Y,362.46,0,0.0,N,,N,0.0,N,0.0,N,0.0,Y,3002.21,,0.0,Y,0.0,,Y,N,,,Y,-323.23
30,35500,12/30/1994,5,61.0,SUN PRAIRIE,WI,53590.0,1031.0,0.0,1,O,15.0,S,N,,,,1,M,1.0,25000.0,U,270.0,F,,B,R,1.0,,A,136101.0,N,,Y,1660.22,0,,Y,500.55,N,0.0,N,0.0,N,0.0,,0.0,,0.0,Y,0.0,,Y,,,Y,Y,-290.19
50,9423,04/25/2003,2,34.0,EAU CLAIRE,WI,54703.0,3528.0,0.0,P,R,4.0,S,N,,,,1,M,1.0,27000.0,U,0.0,,,,,,,,15448.0,N,,Y,343.37,0,,Y,1931.56,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,,Y,-223.7
52,17369,04/05/2006,2,47.0,DOUSMAN,WI,53118.0,9319.0,1.0,1,O,7.0,M,Y,,Y,,1,M,2.0,62500.0,N,270.0,I,,B,R,2.0,,A,46149.0,N,,Y,606.44,0,,Y,651.65,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,,Y,-220.69
85,39330,11/08/1999,3,27.0,BAYSIDE,WI,53217.0,1862.0,0.0,1,O,2.0,M,N,,,,1,M,2.0,45000.0,O,0.0,I,,B,R,2.0,,,50177.0,N,,Y,2275.63,0,,Y,1000.34,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,N,N,Y,N,-185.11
91,42952,09/29/1998,2,20.0,CUSTER,WI,54423.0,9719.0,,P,,0.0,,,,,,0,,,,G,0.0,D,,,,,,,1488.0,N,,Y,1850.82,0,,Y,305.87,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-184.46
126,27456,09/28/1999,3,36.0,RACINE,WI,53406.0,2359.0,1.0,3,O,1.0,M,Y,,Y,,1,M,2.0,25000.0,M,30.0,D,,B,R,,,,10371.0,N,,Y,9.78,1,734.49,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,Y,,,Y,Y,-164.87
146,38273,08/25/2000,5,25.0,WHITEFISH BAY,WI,53217.0,5970.0,0.0,N,R,1.0,S,N,,,,1,M,1.0,22800.0,N,0.0,F,1902.0,,,,,B,35524.0,N,,Y,1364.05,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-155.65
161,36286,05/13/1985,6,55.0,MILWAUKEE,WI,53218.0,5530.0,0.0,P,O,10.0,M,N,,,,1,F,2.0,87500.0,U,40.0,D,1952.0,B,R,1.0,,A,38646.0,N,,Y,2100.11,0,,Y,5799.24,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,N,-149.47
