,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
491,11896,01/02/1990,2,41.0,FRAZIERS BTM,WV,25082.0,9782.0,2.0,Z,O,3.0,M,Y,Y,,,2,M,2.0,35000.0,S,170.0,,,B,R,2.0,,,2214.0,N,,Y,133.78,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-84.98
541,31331,12/21/2005,2,34.0,CHARLESTON,WV,25306.0,6009.0,1.0,P,O,11.0,M,Y,Y,,,1,M,2.0,12000.0,U,0.0,,,B,R,,,,0.0,N,,N,,1,2899.79,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-79.69
1459,22092,06/25/2007,1,47.0,IRELAND,WV,26376.0,9110.0,,P,,0.0,,,,,,0,,,,,0.0,,,,,,,,14836.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,23560.63,N,,,,,,,,-30.45
2280,33169,12/14/2006,1,,MORGANTOWN,WV,26501.0,7116.0,0.0,O,O,5.0,M,N,,,,1,M,2.0,25000.0,U,0.0,B,1975.0,,,,,A,3867.0,N,,N,,1,189.7,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-11.17
3468,38574,02/02/2001,3,23.0,MATEWAN,WV,25678.0,164.0,0.0,,O,15.0,M,N,,,Y,1,M,3.0,24999.96,N,850.0,C,1992.0,B,R,3.0,,A,2260.0,N,,Y,34.04,1,2160.38,Y,184.38,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,,N,12.86
4446,22035,06/15/2007,1,31.0,DUNBAR,WV,25064.0,3515.0,0.0,P,,1.0,B,N,,,,0,M,1.0,,,90.0,,,,,1.0,,,424.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,15645.8,N,,,,,,,,64.77
4490,31077,10/28/2005,1,32.0,GLEN DALE,WV,26038.0,1222.0,1.0,2,O,7.0,M,Y,Y,,,2,M,2.0,62500.0,N,250.0,C,1964.0,B,R,2.0,,A,68616.0,N,,N,,1,46.05,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,66.73
4523,9927,07/10/2003,1,68.0,SOUTHSIDE,WV,25187.0,0.0,0.0,P,O,3.0,B,N,,,,1,F,1.0,25000.0,N,0.0,,,B,R,,,,,N,,Y,413.03,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,69.36
4550,23982,05/28/1969,1,60.0,RICHWOOD,WV,26261.0,1019.0,1.0,Q,O,15.0,M,Y,,Y,,1,M,2.0,62500.0,N,340.0,A,,B,R,1.0,,A,20807.0,N,,N,,1,676.98,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,71.21
5597,20346,01/23/2007,1,43.0,SHADY SPRING,WV,25918.0,763.0,1.0,5,O,15.0,M,Y,,Y,,1,M,5.0,45000.0,N,190.0,D,,B,R,3.0,Y,,82.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,14001.71,N,,,,,,,,162.65
