,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
97,15260,08/09/2005,2,28.0,SHERIDAN,WY,82801.0,2489.0,1.0,C,O,5.0,M,Y,Y,,,1,M,2.0,36000.0,G,190.0,C,,B,R,1.0,,,2788.0,N,,Y,466.87,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,Y,,,Y,Y,-179.12
159,6510,08/08/2000,4,36.0,CASPER,WY,82601.0,5362.0,1.0,O,O,2.0,M,Y,Y,,,3,M,2.0,125000.0,N,140.0,J,2004.0,B,R,2.0,,A,177873.0,N,,Y,4415.82,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,Y,-149.91
206,38341,08/21/1997,3,28.0,DUBOIS,WY,82513.0,1354.0,0.0,,O,4.0,B,N,,,,1,M,1.0,21999.96,N,80.0,,,B,R,,,,739.0,N,,Y,0.0,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-133.13
463,5816,04/12/1999,1,39.0,ROCK SPRINGS,WY,82901.0,6022.0,1.0,6,R,5.0,M,Y,Y,,,1,F,3.0,35000.0,N,620.0,E,,,,3.0,,,3921.0,N,,Y,50.01,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-88.34
525,13964,03/18/2005,1,47.0,GREEN RIVER,WY,82935.0,5835.0,1.0,P,O,15.0,S,Y,,Y,Y,1,M,2.0,87500.0,N,410.0,F,,B,R,1.0,,,41823.0,N,,Y,244.1,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,Y,,,Y,Y,-82.04
696,56,03/06/1981,2,77.0,CHEYENNE,WY,82009.0,3335.0,0.0,7,O,5.0,M,N,,,,2,F,2.0,25000.0,N,0.0,G,,B,R,1.0,,,312219.0,N,,Y,1843.95,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,,Y,-66.64
707,20187,01/08/2007,3,25.0,LARAMIE,WY,82072.0,2748.0,1.0,O,R,6.0,M,Y,,Y,Y,1,M,2.0,15000.0,N,60.0,,,B,R,2.0,,,616.0,N,,Y,950.47,1,1313.01,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,N,N,Y,-65.71
884,11586,04/16/2004,1,26.0,CASPER,WY,82604.0,3878.0,0.0,O,R,3.0,M,N,,,,1,M,1.0,24999.96,N,0.0,,,,,,,,103.0,N,,Y,0.24,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-54.14
1089,12158,07/09/2004,1,18.0,GREEN RIVER,WY,82935.0,9635.0,2.0,4,R,6.0,S,Y,,Y,,2,F,1.0,62500.0,G,220.0,,,B,R,1.0,,,32452.0,N,,N,,0,,Y,5.21,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,,,,Y,N,-44.9
1164,21348,04/17/2007,3,21.0,LARAMIE,WY,82070.0,0.0,,,,0.0,,,,,,0,,,,,0.0,,,,,,,,,N,,Y,7.01,1,1007.78,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-40.63
