ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
22794,07/15/1994,3,35,SEATTLE,WA,98105,2038,1,O,O,2,M,Y,Y,,,3,M,2,299436,G,0,S,1951,B,R,,,A,324338,N,,Y,68331.99,0,,Y,22580.4,N,0,Y,0,N,0,,0,,0,N,,Y,Y,Y,NA,Y,Y,-23595.61
23835,01/07/1996,2,54,BELLINGHAM,WA,98225,6304,0,1,O,15,S,N,,,,3,M,1,42000,N,0,H,,,,1,,E,134170,N,,Y,178941.96,0,,N,,N,0,Y,0,N,0,,0,,0,N,,Y,Y,NA,N,NA,Y,-6787.06
2597,04/01/1974,7,61,ROCHESTER,MN,55901,2473,0,Z,O,15,M,N,,,,3,M,2,52332,N,260,F,,B,R,1,,,427117,N,,Y,3928.92,0,,N,,N,0,Y,49617.27,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-4824.87
44853,07/26/1982,1,52,SAN ANSELMO,CA,94960,1629,2,1,O,15,M,Y,Y,,,2,M,2,112500,I,0,Q,1949,B,R,,,A,50934,N,,N,,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-4574.78
4388,10/01/1977,1,55,ELY,MN,55731,1622,1,Z,O,15,M,Y,,Y,Y,1,M,4,45000,N,350,C,,B,R,3,,A,37250,N,,N,,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-3726.99
23239,01/01/1981,2,86,PORTLAND,OR,97215,1041,0,8,O,15,M,N,,,,1,M,2,87500,G,660,Q,1923,B,R,2,,A,426486,N,,Y,3343109.4,0,0,Y,241567.73,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-2961.14
29930,02/15/1995,1,56,CINCINNATI,OH,45251,0000,,,,0,,,,,,0,,,109999.92,,0,,,,,,,,,N,,N,,0,6496.9,N,,Y,195032.15,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-2608.21
39774,11/01/1999,2,40,POPLAR BLUFF,MO,63901,8096,1,O,O,2,M,Y,,Y,,1,F,2,87500,U,260,,,,,2,,,2171,N,,Y,4471.74,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,NA,NA,Y,-39481.94
5385,11/20/1997,1,50,AURORA,CO,80014,4957,0,O,R,2,B,N,,,,1,M,1,50006.04,N,30,E,,,,1,,,1114,N,,Y,0,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-2557.93
6297,04/07/2000,2,32,GRANDVIEW,WA,98930,1655,1,P,R,1,M,Y,,Y,,1,M,2,112500,H,0,,,B,R,,,,6315,N,,Y,0,0,,Y,222.48,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-2248.68
