,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
12,15561,09/06/2005,1,22.0,AUSTIN,AR,72007.0,8859.0,0.0,4,O,6.0,S,N,,,Y,1,M,1.0,15000.0,S,0.0,A,,,,,,A,6.0,N,,Y,0.43,0,1376.74,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-1380.15
66,7960,06/06/2002,1,56.0,HATTIEVILLE,AR,72063.0,8000.0,,P,,0.0,,,,,,0,,,,N,0.0,D,,,,,,,35391.0,N,,N,,1,6838.52,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-204.42
142,19929,12/13/2006,2,43.0,LITTLE ROCK,AR,72210.0,4831.0,1.0,O,O,7.0,B,Y,,Y,,1,F,3.0,87500.0,N,0.0,G,1987.0,B,R,,,,144018.0,N,,Y,47.03,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-157.52
285,37331,09/25/2001,2,49.0,HOT SPRINGS,AR,71909.0,2865.0,1.0,F,O,9.0,M,Y,Y,,,2,M,4.0,125000.0,N,0.0,G,,B,R,2.0,,,176671.0,N,,Y,609.18,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-113.11
539,35049,11/30/2000,2,64.0,N LITTLE ROCK,AR,72113.0,9764.0,0.0,O,O,9.0,S,N,,,,1,M,1.0,25000.0,Z,0.0,B,1995.0,,,,,A,594.0,N,,Y,2012.94,1,4560.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,Y,,Y,-80.54
584,43277,04/14/1992,2,69.0,SCOTT,AR,72142.0,9770.0,0.0,8,O,9.0,M,N,,,Y,1,M,3.0,17500.0,N,0.0,E,1999.0,B,R,,,A,14693.0,N,,Y,2916.14,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,Y,,,,N,-75.91
660,41140,02/04/1986,2,50.0,HOT SPRINGS,AR,71913.0,6578.0,0.0,7,O,8.0,M,N,,,,1,M,2.0,400000.92,N,0.0,,,B,R,,,,196778.0,N,,Y,77.68,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,,,,Y,Y,-69.79
708,38093,10/06/1998,3,32.0,BEE BRANCH,AR,72013.0,9042.0,1.0,2,O,6.0,M,Y,Y,,,1,M,2.0,15000.0,N,0.0,,,B,R,2.0,Y,,78175.0,N,,Y,1890.43,0,,Y,175.44,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-65.71
756,17486,04/19/2006,3,52.0,HOT SPRINGS,AR,71901.0,8446.0,0.0,P,O,0.0,M,N,,,,1,M,1.0,17500.0,S,0.0,C,,,,,,,29866.0,N,,Y,1297.2,0,,Y,22.51,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-61.81
1131,36627,10/25/2001,1,43.0,N LITTLE ROCK,AR,72114.0,5453.0,1.0,P,R,4.0,S,Y,,Y,,1,F,1.0,15000.0,Z,0.0,,,,,,,,610.0,N,,N,,0,,Y,164.69,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,Y,,Y,-42.3
