,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
8,5385,11/20/1997,1,50.0,AURORA,CO,80014.0,4957.0,0.0,O,R,2.0,B,N,,,,1,M,1.0,50006.04,N,30.0,E,,,,1.0,,,1114.0,N,,Y,0.0,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-2557.93
13,2340,04/01/1992,1,69.0,LONGMONT,CO,80501.0,1953.0,0.0,F,O,13.0,M,N,,,,1,F,2.0,55012.08,N,140.0,G,1973.0,B,R,2.0,,A,83972.0,N,,N,,0,14656.97,N,,N,0.0,N,0.0,Y,15857.85,,0.0,,0.0,N,,,,,,,,-1141.97
44,7552,03/05/2002,4,26.0,COLORADO SPGS,CO,80909.0,5719.0,0.0,O,R,2.0,B,N,,,,1,F,1.0,33999.96,S,0.0,E,,B,R,,,,12027.0,N,,Y,1634.13,0,0.0,Y,1351.43,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,N,,Y,N,-227.68
46,10349,09/15/2003,2,26.0,COLORADO SPGS,CO,80923.0,7361.0,1.0,7,R,0.0,B,Y,Y,,,1,F,1.0,53100.0,S,0.0,,,,,,,,5259.0,N,,Y,51.2,0,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,N,Y,Y,-225.5
48,11056,01/28/2004,4,51.0,PEYTON,CO,80831.0,6717.0,,O,,0.0,,,,,,0,,,79999.92,O,0.0,K,1998.0,,,,,A,109551.0,N,,Y,439.67,1,9906.23,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,Y,,,Y,Y,-224.37
58,1286,07/30/1981,3,53.0,DENVER,CO,80227.0,5444.0,0.0,O,O,1.0,S,N,,,,1,F,1.0,30463.92,N,90.0,M,1984.0,B,R,1.0,,A,3658.0,N,,Y,1046.31,0,,Y,60.7,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,N,Y,Y,-214.27
68,218,08/17/1990,7,73.0,COLORADO SPGS,CO,80920.0,5914.0,0.0,O,O,1.0,A,N,,,,1,M,2.0,62500.0,N,30.0,,,,,1.0,,,139893.0,Y,43000.0,Y,303.8,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,Y,,Y,-202.33
80,33027,11/20/2006,2,40.0,FORT COLLINS,CO,80526.0,7602.0,1.0,O,O,5.0,M,Y,,Y,,3,M,2.0,125000.0,U,110.0,K,2000.0,B,R,,,A,15670.0,N,,N,,1,17677.97,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-193.8
93,691,09/01/1971,2,62.0,DENVER,CO,80206.0,3732.0,0.0,C,O,15.0,M,N,,,,2,M,2.0,125000.0,U,270.0,O,1965.0,B,R,1.0,,A,695710.0,N,,Y,978.01,0,,Y,52250.07,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,N,,,,Y,-183.36
114,18650,08/07/2006,1,33.0,DENVER,CO,80211.0,1627.0,0.0,O,O,15.0,M,N,,,,1,M,2.0,87500.0,S,110.0,C,1912.0,B,R,1.0,,A,70314.0,N,,Y,15872.46,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-170.89
117,12686,09/16/2004,1,31.0,BAILEY,CO,80421.0,2045.0,1.0,O,O,3.0,A,Y,Y,,,1,M,2.0,45999.96,N,80.0,N,1993.0,B,R,,,A,8958.0,N,,Y,2711.54,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-169.15
