,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
23,4727,08/08/1990,1,60.0,BROOKFIELD,CT,6804.0,215.0,0.0,,O,9.0,M,N,,,,1,M,1.0,30000.0,N,0.0,M,,,,,,,0.0,N,,N,,1,13054.83,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-348.53
645,34277,02/28/2007,1,,VERNON,CT,6066.0,2830.0,0.0,1,,15.0,M,N,,,,0,M,4.0,,,0.0,D,1982.0,B,R,1.0,,B,8615.0,N,,N,,0,,N,,Y,84197.41,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-71.04
1643,33475,02/20/2007,1,46.0,ANSONIA,CT,6401.0,3008.0,1.0,2,O,14.0,M,Y,,Y,,2,M,3.0,87500.0,U,0.0,I,1963.0,B,R,2.0,,A,30708.0,N,,N,,1,1103.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-25.77
1645,32737,10/04/2006,1,70.0,WINSTED,CT,6098.0,1947.0,0.0,E,O,15.0,M,N,,,,2,M,2.0,45000.0,N,0.0,F,1951.0,B,R,2.0,,A,24685.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-25.74
1934,33640,03/14/2007,1,,GREENWICH,CT,6830.0,6303.0,0.0,O,O,2.0,B,N,,,,1,M,1.0,62500.0,F,0.0,O,1880.0,,,,,D,74486.0,N,,N,,1,12125.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-17.78
2004,29367,08/16/2004,1,34.0,WEST HAVEN,CT,6516.0,6210.0,0.0,O,O,4.0,B,N,,,,1,M,1.0,62500.0,S,0.0,L,1972.0,,,,,A,44542.0,N,,N,,1,101.37,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-16.55
2942,19529,10/31/2006,1,27.0,DANBURY,CT,6810.0,6510.0,0.0,,O,2.0,B,N,,,,1,F,1.0,15000.0,U,0.0,M,1908.0,,,,,,1489.0,N,,N,,0,,Y,500.26,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-0.03
3257,42348,01/02/1994,1,47.0,DANBURY,CT,6811.0,3428.0,1.0,1,O,2.0,M,Y,Y,,,3,M,2.0,125000.0,S,0.0,Q,1982.0,B,R,,,,178722.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,6.12
4319,6939,04/30/2001,1,24.0,GROTON,CT,6340.0,2461.0,0.0,P,R,4.0,B,N,,,,1,M,1.0,18000.0,S,0.0,H,,,,,,,320.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,55.84
4363,14025,03/24/2005,2,43.0,FAIRFIELD,CT,6825.0,4334.0,1.0,P,R,5.0,S,Y,,Y,,1,U,1.0,48000.0,N,0.0,J,,,,,,,103302.0,N,,Y,1861.27,1,104.1,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,58.52
4811,28029,10/07/2003,1,,WINDSOR,CT,6095.0,1662.0,1.0,N,O,3.0,M,Y,,Y,,3,M,2.0,125000.0,I,0.0,P,1993.0,B,R,,,A,559797.0,N,,N,,1,9286.98,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,92.3
4917,32891,10/27/2006,1,54.0,WALLINGFORD,CT,6492.0,2908.0,1.0,5,O,15.0,S,Y,,Y,,1,M,3.0,62500.0,I,0.0,H,1952.0,B,R,1.0,,A,3716.0,N,,N,,1,41.6,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,100.97
5749,34026,03/10/2006,1,40.0,BROAD BROOK,CT,6016.0,1300.0,1.0,O,O,1.0,A,Y,Y,,,1,M,2.0,45000.0,U,0.0,,,B,R,,,,165514.0,N,,N,,0,,N,,Y,189044.83,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,179.9
5934,25921,02/20/2002,1,44.0,SOUTHBURY,CT,6488.0,1137.0,1.0,O,O,9.0,A,Y,,Y,,1,M,2.0,87500.0,U,0.0,M,1950.0,B,R,,,A,38851.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,204.32
7766,30208,03/22/2005,1,,NIANTIC,CT,6357.0,2321.0,0.0,O,O,12.0,M,N,,,,1,M,2.0,125000.0,S,0.0,N,1994.0,B,R,2.0,,A,188517.0,N,,N,,1,5939.43,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,589.55
9013,27384,04/07/2003,1,56.0,MOOSUP,CT,6354.0,1310.0,3.0,2,O,14.0,M,Y,Y,Y,,1,M,2.0,62500.0,N,0.0,D,1989.0,B,R,2.0,,A,7110.0,N,,N,,0,,N,,Y,112485.21,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,1437.64
9270,28918,03/20/2003,1,32.0,LISBON,CT,6351.0,3030.0,1.0,P,O,3.0,S,Y,,Y,,1,F,1.0,62500.0,N,0.0,H,1964.0,,,,,A,12184.0,N,,N,,0,,N,,Y,131223.93,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,1836.41
9622,32524,07/28/2006,1,34.0,SEYMOUR,CT,6483.0,3010.0,0.0,O,R,0.0,B,N,,,,1,M,1.0,62500.0,N,0.0,N,1986.0,,,,Y,A,22938.0,N,,N,,0,,N,,Y,257262.81,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,2641.12
9702,31467,01/23/2006,1,42.0,CHAPLIN,CT,6235.0,2317.0,2.0,3,O,7.0,M,Y,Y,,,1,M,2.0,87500.0,N,0.0,M,1965.0,,,,,A,45564.0,N,,N,,0,,N,,Y,216211.03,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,2986.52
9834,28916,02/05/2003,1,24.0,GRISWOLD,CT,6351.0,1927.0,0.0,P,O,4.0,B,N,,,,1,M,1.0,62500.0,N,0.0,H,,B,R,,,E,1151.0,N,,N,,0,,N,,Y,130169.05,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,3655.5
9852,28922,10/24/2003,1,,NORWICH,CT,6360.0,5329.0,0.0,P,O,3.0,B,N,,,,1,F,1.0,62500.0,O,0.0,K,1988.0,,,,,A,820.0,N,,N,,0,,N,,Y,148266.37,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,3793.58
9902,29586,08/26/2004,1,68.0,NEW HAVEN,CT,6513.0,3045.0,0.0,P,O,2.0,B,N,,,,1,M,1.0,15000.0,N,0.0,I,1900.0,,,,,D,166.0,N,,N,,0,,N,,Y,154932.55,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,4266.3
9936,30262,03/11/2005,1,,CLINTON,CT,6413.0,2309.0,0.0,O,O,1.0,B,N,,,,1,M,1.0,62500.0,U,0.0,F,1965.0,B,R,,,,158046.0,N,,N,,0,,N,,Y,217004.99,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,4987.7
9941,28253,12/02/2003,1,54.0,TOLLAND,CT,6084.0,2537.0,2.0,2,O,8.0,M,Y,,Y,,3,M,2.0,125000.0,N,0.0,Q,1988.0,B,R,2.0,,A,137836.0,N,,N,,0,,N,,Y,373632.75,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,5223.13
