,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
263,32979,11/13/2006,1,,PALM HARBOR,FL,34683.0,1211.0,0.0,O,O,2.0,A,N,,,,1,M,2.0,125000.0,O,150.0,K,1991.0,,,1.0,Y,A,86138.0,N,,N,,1,9309.64,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-116.93
987,32216,06/28/2006,1,60.0,FT WALTON BCH,FL,32547.0,2927.0,0.0,1,O,15.0,M,N,,,,1,M,2.0,62500.0,U,250.0,F,1978.0,B,R,,Y,A,7394.0,N,,N,,1,1488.66,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-49.99
1053,11244,02/24/2004,1,62.0,ELLENTON,FL,34222.0,7296.0,0.0,C,O,1.0,M,N,,,,1,M,2.0,87500.0,N,50.0,,,B,R,1.0,,,271799.0,N,,Y,55.54,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-47.0
1061,9728,06/11/2003,1,33.0,GAINESVILLE,FL,32608.0,6555.0,0.0,O,R,0.0,B,N,,,Y,1,U,1.0,25000.0,O,0.0,,,B,R,,,,26003.0,N,,Y,82.08,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-46.63
1065,34907,07/27/2001,2,57.0,CLEARWATER,FL,33763.0,4542.0,0.0,1,O,7.0,M,N,,,,1,M,2.0,69999.84,O,130.0,H,1972.0,B,R,2.0,,A,831.0,N,,N,,1,85.11,N,,N,0.0,N,0.0,N,0.0,Y,6919.19,,0.0,N,,,,,,,,-46.49
1145,10094,08/06/2003,1,43.0,JUPITER,FL,33478.0,1943.0,1.0,O,O,2.0,B,Y,,Y,,1,M,3.0,1200.0,S,1040.0,N,1991.0,,,2.0,,A,41368.0,N,,Y,294.07,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-41.5
1382,31378,01/09/2006,1,74.0,LONGWOOD,FL,32779.0,2263.0,0.0,3,O,3.0,S,N,,,,1,M,1.0,87500.0,N,170.0,H,1985.0,B,R,1.0,,A,68859.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-32.57
1396,30975,10/05/2005,1,82.0,EUSTIS,FL,32736.0,8004.0,0.0,O,O,0.0,M,N,,,,1,F,1.0,17500.0,F,0.0,F,2003.0,,,,,A,185624.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-32.1
1415,31174,11/14/2005,1,32.0,TARPON SPGS,FL,34689.0,5765.0,1.0,1,O,9.0,M,Y,Y,,,1,M,3.0,125000.0,U,310.0,J,1994.0,B,R,2.0,,A,13993.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-31.68
1758,12372,07/31/2004,1,42.0,PENSACOLA,FL,32504.0,4310.0,1.0,1,O,12.0,M,Y,,Y,Y,3,M,3.0,125000.0,G,590.0,L,1990.0,B,R,2.0,Y,A,70795.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,9240.72,N,,,,,,,,-22.56
1947,21525,05/02/2007,1,55.0,PALM HARBOR,FL,34683.0,1902.0,1.0,O,O,13.0,M,Y,,Y,,1,M,2.0,125000.0,N,270.0,E,1985.0,B,R,2.0,Y,A,112539.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,21924.72,N,,,,,,,,-17.6
1989,30772,08/12/2005,1,44.0,PONTE VEDRA,FL,32082.0,3018.0,1.0,2,O,11.0,M,Y,Y,,,3,M,2.0,125000.0,N,300.0,Q,1993.0,B,R,1.0,,A,143065.0,N,,N,,1,50.01,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-16.86
2172,33883,04/20/2007,1,54.0,ORMOND BEACH,FL,32173.0,2002.0,2.0,4,O,0.0,M,Y,,Y,,1,M,2.0,62500.0,I,160.0,,,B,R,,,,10225.0,N,,N,,1,2365.81,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-13.67
2295,35495,01/03/1966,1,66.0,THE VILLAGES,FL,32162.0,1819.0,0.0,P,O,3.0,M,N,,,,1,M,2.0,45000.0,N,390.0,H,2002.0,B,R,,,A,354105.0,N,,N,,1,315.83,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-10.93
2318,25298,02/21/2001,1,68.0,HOBE SOUND,FL,33455.0,6352.0,0.0,8,O,15.0,S,N,,,,1,M,2.0,45000.0,N,290.0,G,1988.0,B,R,1.0,,B,119699.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-10.53
2376,28155,11/24/2003,1,40.0,PALM COAST,FL,32137.0,2378.0,1.0,P,O,3.0,M,Y,Y,,,1,M,2.0,125000.0,N,0.0,N,2003.0,B,R,,,B,383493.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-9.08
2426,1001,12/05/1988,1,44.0,JACKSONVILLE,FL,32258.0,1369.0,0.0,,O,10.0,M,N,,,,1,M,2.0,112500.0,S,180.0,I,1994.0,B,R,2.0,,A,28023.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-8.46
2471,28067,10/22/2003,1,46.0,N LAUDERDALE,FL,33068.0,1002.0,2.0,1,O,15.0,S,Y,,Y,,1,M,1.0,45000.0,Z,70.0,F,1977.0,B,R,2.0,Y,A,18246.0,N,,N,,1,435.59,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-7.76
2652,26591,05/12/2000,1,,FORT MYERS,FL,33901.0,6914.0,0.0,1,,7.0,S,N,,,,0,F,1.0,,,190.0,C,1953.0,B,R,2.0,,A,31120.0,N,,N,,1,49.04,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-5.18
2758,26774,10/08/2002,1,68.0,CHULUOTA,FL,32766.0,9637.0,0.0,1,O,15.0,M,N,,,,3,M,2.0,125000.0,S,400.0,N,1984.0,B,R,2.0,,A,167746.0,N,,N,,1,93.21,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-3.27
2796,33786,04/05/2007,1,28.0,ST PETERSBURG,FL,33703.0,3012.0,1.0,P,O,5.0,M,Y,,Y,,1,M,3.0,62500.0,D,460.0,G,1971.0,,,3.0,,A,13760.0,N,,N,,1,4458.66,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-2.58
2993,28474,03/08/2004,1,44.0,BOCA RATON,FL,33486.0,6418.0,1.0,O,O,10.0,M,Y,,Y,,1,M,2.0,125000.0,U,380.0,D,1997.0,B,R,1.0,,A,167427.0,N,,N,,1,813.19,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,0.07
3199,31555,02/24/2006,1,40.0,RIVERVIEW,FL,33569.0,8308.0,0.0,2,O,9.0,M,N,,,,2,M,2.0,125000.0,N,180.0,M,1997.0,B,R,,Y,A,38412.0,N,,N,,1,325.16,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,4.87
3215,33550,03/02/2007,1,36.0,DORAL,FL,33178.0,2962.0,1.0,N,O,5.0,M,Y,Y,,,3,M,2.0,87500.0,J,260.0,L,1985.0,B,R,1.0,,B,68591.0,N,,N,,1,508.36,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,5.27
3266,31054,10/24/2005,1,58.0,FORT MYERS,FL,33908.0,0.0,1.0,2,R,3.0,M,Y,,Y,,1,F,3.0,15000.0,N,20.0,B,1972.0,B,R,,,M,,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,6.48
