,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
28,32251,07/06/2006,1,38.0,KENNESAW,GA,30152.0,2518.0,1.0,O,O,7.0,M,Y,,Y,,1,M,2.0,45000.0,O,0.0,G,1992.0,B,R,,,A,22307.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-297.54
812,33246,01/05/2007,1,,ATLANTA,GA,30328.0,6737.0,,N,,0.0,,,,,,0,,,,N,0.0,F,1980.0,,,,,B,176879.0,N,,N,,1,8014.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-58.76
942,17417,04/10/2006,3,20.0,CARTERSVILLE,GA,30120.0,7768.0,0.0,O,O,4.0,S,N,,,,1,M,2.0,62500.0,I,0.0,B,2002.0,,,,,A,6006.0,N,,Y,56.47,1,0.0,Y,51.07,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,N,,,Y,Y,-51.84
1397,32493,08/17/2006,1,58.0,POWDER SPGS,GA,30127.0,1053.0,0.0,2,O,15.0,M,N,,,,1,M,3.0,62500.0,I,0.0,F,1985.0,B,R,,,A,21455.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-32.04
2062,24094,11/16/1990,1,70.0,KENNESAW,GA,30152.0,3303.0,0.0,O,O,15.0,B,N,,,,1,M,4.0,62500.0,N,0.0,F,1967.0,B,R,,,A,89021.0,N,,N,,1,126.27,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-15.46
2087,22094,06/26/2007,1,45.0,EVANS,GA,30809.0,2990.0,,,,,,,,,,0,,,,,,,,,,,,,4187.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,20487.26,N,,,,,,,,-15.22
2122,31125,11/03/2005,1,36.0,DACULA,GA,30019.0,4576.0,0.0,2,O,2.0,B,N,,,,1,M,1.0,87500.0,J,0.0,N,2002.0,,,,,A,252818.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-14.76
2614,23947,06/18/1968,1,70.0,COVINGTON,GA,30014.0,1634.0,1.0,1,O,15.0,M,Y,,Y,,3,M,2.0,87500.0,N,0.0,J,1970.0,B,R,1.0,,E,153891.0,N,,N,,1,342.71,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-5.77
2742,39502,08/27/2002,1,35.0,TOCCOA,GA,30577.0,3747.0,0.0,1,O,11.0,M,N,,,,1,M,3.0,62500.0,N,0.0,,,B,R,,,,0.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,Y,8464.86,,0.0,N,,,,,Y,,,-3.45
2803,9784,04/24/2003,1,30.0,THOMASVILLE,GA,31757.0,1244.0,0.0,Z,O,12.0,M,N,,,,1,M,3.0,125000.0,N,0.0,G,,B,R,2.0,Y,,7036.0,N,,N,,1,22.88,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-2.46
2868,25809,02/08/2002,1,42.0,SMYRNA,GA,30082.0,5041.0,0.0,2,O,7.0,M,N,,,,1,M,2.0,15000.0,S,0.0,N,1999.0,B,R,,,A,90652.0,N,,N,,1,1459.22,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-1.46
3108,24851,01/03/1995,1,62.0,DOUGLASVILLE,GA,30135.0,2013.0,0.0,1,O,11.0,M,N,,,,3,M,2.0,125000.0,N,0.0,N,1979.0,B,R,,Y,A,10892.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,2.65
3662,39858,03/10/2001,1,34.0,SUWANEE,GA,30024.0,1084.0,2.0,O,O,0.0,S,Y,Y,,,3,M,2.0,112999.92,G,0.0,M,1996.0,,,,,A,86849.0,N,,N,,1,496.03,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,21.46
