,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
737,28243,12/30/2003,1,64.0,HILO,HI,96720.0,1618.0,0.0,X,O,15.0,M,N,,,,3,M,3.0,62500.0,N,0.0,I,1951.0,B,R,1.0,,A,13551.0,N,,N,,1,1155.59,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-63.56
1922,16193,11/17/2005,1,33.0,MILILANI,HI,96789.0,1220.0,1.0,1,O,15.0,M,Y,Y,,,3,M,2.0,45000.0,O,0.0,Q,1974.0,B,R,,,A,130772.0,N,,N,,1,5178.74,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-18.19
1991,30670,07/18/2005,1,34.0,HONOLULU,HI,96817.0,3245.0,0.0,O,O,6.0,M,N,,,,1,M,2.0,62500.0,N,0.0,M,1992.0,,,,,E,203974.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-16.83
3952,47988,06/16/1996,1,86.0,LAHAINA,HI,96761.0,9207.0,0.0,8,O,15.0,M,N,,,,1,F,2.0,87500.0,N,0.0,G,1974.0,B,R,2.0,,A,9288.0,Y,3805.82,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,Y,,,34.11
4199,28519,03/18/2004,1,66.0,KAILUA KONA,HI,96740.0,9728.0,,,O,,,,,,,1,,,35000.0,,,,,,,,,,175392.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,47.58
5778,30742,08/04/2005,1,68.0,HONOLULU,HI,96825.0,2308.0,0.0,4,O,13.0,M,N,,,,1,M,2.0,87500.0,O,0.0,K,1969.0,B,R,2.0,,A,86369.0,N,,N,,1,2186.92,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,183.92
6221,23248,04/01/1969,1,82.0,KAMUELA,HI,96743.0,6867.0,1.0,1,O,5.0,M,Y,Y,,,3,F,2.0,62500.0,N,0.0,,,,,,,,10989.0,N,,Y,9915.82,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,243.56
6806,3330,04/07/1995,1,58.0,KAILUA,HI,96734.0,1875.0,1.0,1,O,7.0,M,Y,,Y,,3,M,2.0,125000.0,N,0.0,S,1959.0,B,R,1.0,,A,288464.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,341.33
7525,26074,04/04/2002,1,64.0,MILILANI,HI,96789.0,2651.0,0.0,5,O,15.0,M,N,,,,1,M,2.0,45000.0,O,0.0,Q,1979.0,B,R,,,A,185733.0,N,,N,,1,3274.46,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,507.9
8040,14635,06/13/2005,1,39.0,KAILUA KONA,HI,96740.0,2136.0,,,,0.0,,,,,,0,,,,,0.0,,,,,,,,249601.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,702.68
