,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
47,23387,01/01/1978,5,66.0,COEUR D ALENE,ID,83814.0,8873.0,0.0,2,O,15.0,S,N,,,,1,M,2.0,125000.0,S,90.0,E,,B,R,1.0,,,115131.0,Y,100000.0,Y,31598.56,1,3126.84,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-225.33
65,7096,07/25/2001,2,30.0,BURLEY,ID,83318.0,2513.0,1.0,5,R,4.0,S,Y,Y,,,1,M,1.0,12000.0,S,0.0,,,,,,Y,,502.0,N,,Y,473.06,0,,Y,25.0,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-205.49
75,11442,03/24/2004,2,57.0,POCATELLO,ID,83201.0,6844.0,0.0,5,O,15.0,S,N,,,,1,M,3.0,17500.0,N,260.0,D,,B,R,2.0,,,14893.0,N,,Y,168.59,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,Y,,Y,,Y,-196.81
116,46946,08/23/1991,2,59.0,TWIN FALLS,ID,83301.0,4877.0,0.0,2,R,3.0,S,N,,,,1,M,1.0,39806.04,N,140.0,,,B,R,2.0,,,6519.0,N,,Y,240.02,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,,Y,-169.77
143,5384,11/18/1997,4,65.0,SAGLE,ID,83860.0,9182.0,0.0,1,O,4.0,S,N,,,,3,F,1.0,60000.0,N,110.0,,,B,R,1.0,,,47680.0,N,,Y,84.12,1,50.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-157.3
149,46390,04/26/1988,5,44.0,EAGLE,ID,83616.0,4090.0,3.0,1,O,13.0,M,Y,Y,Y,Y,3,M,2.0,54999.96,G,170.0,F,1994.0,B,R,1.0,,A,153928.0,N,,Y,961.79,0,,Y,405.47,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,Y,,,Y,Y,-154.57
190,5338,08/11/1997,3,26.0,SUN VALLEY,ID,83353.0,2401.0,0.0,1,R,0.0,S,N,,,,2,M,1.0,15360.0,J,0.0,,,B,R,,,,18866.0,N,,Y,964.27,0,,Y,3.33,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-137.33
211,6136,12/07/1999,3,31.0,NEW MEADOWS,ID,83654.0,0.0,0.0,,O,8.0,M,N,,,,1,F,1.0,28999.92,N,0.0,,,,,,,,0.0,N,,Y,175.01,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-130.94
234,45956,08/20/1994,2,68.0,MERIDIAN,ID,83646.0,5578.0,1.0,5,O,6.0,A,Y,,Y,,1,M,3.0,40734.0,N,50.0,E,1994.0,B,R,2.0,,A,21392.0,N,,Y,1006.28,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,Y,,,,Y,-126.41
290,18327,07/10/2006,2,35.0,BOISE,ID,83705.0,4558.0,1.0,P,R,1.0,B,Y,,Y,,1,M,1.0,25000.0,N,570.0,K,1957.0,,,,,A,106659.0,N,,Y,52.11,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-112.35
293,12698,09/17/2004,3,21.0,MOSCOW,ID,83843.0,8737.0,,,,0.0,,,,,,0,,,,,0.0,,,,,,,,117729.0,N,,Y,630.89,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,Y,,,Y,N,-111.93
338,45883,03/03/1993,4,61.0,LAPWAI,ID,83540.0,156.0,1.0,,O,14.0,M,Y,,Y,,1,M,3.0,17294.04,N,160.0,,,B,R,3.0,,,192.0,N,,Y,56.53,1,1412.83,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-103.46
371,23132,03/01/1978,3,51.0,PRINCETON,ID,83857.0,9756.0,1.0,P,O,15.0,A,Y,,Y,,1,M,3.0,15000.0,N,170.0,,,B,R,3.0,,,23792.0,N,0.0,Y,822.2,1,54.9,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-98.33
384,5900,06/23/1999,3,55.0,TWIN FALLS,ID,83301.0,3599.0,1.0,1,O,3.0,M,Y,,Y,Y,3,M,3.0,125000.0,G,320.0,E,,B,R,2.0,,,108125.0,N,,Y,1601.22,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-97.38
490,7301,10/22/2001,1,32.0,MONTPELIER,ID,83254.0,1017.0,2.0,1,R,7.0,M,Y,Y,Y,,1,M,2.0,45000.0,S,230.0,,,B,R,1.0,,,15836.0,N,,Y,37.18,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-85.02
621,12520,08/26/2004,2,35.0,LEWISTON,ID,83501.0,5372.0,3.0,1,O,4.0,M,Y,Y,Y,,1,M,2.0,45000.0,H,80.0,,,B,R,,,,107083.0,N,,Y,43.79,0,,Y,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,Y,Y,Y,Y,-72.16
656,16629,01/13/2006,1,51.0,NEW MEADOWS,ID,83654.0,509.0,1.0,2,O,15.0,M,Y,,Y,Y,2,M,2.0,35000.0,N,100.0,D,,,,2.0,,,805.0,N,,Y,1827.41,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-70.08
704,23527,03/03/1987,2,48.0,AMERICAN FLS,ID,83211.0,1111.0,0.0,Z,R,2.0,M,N,,,,1,F,2.0,62500.0,N,0.0,,,,,,,,10165.0,N,,Y,205.09,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,N,Y,-66.08
728,23411,01/01/1978,3,50.0,BOISE,ID,83702.0,3244.0,0.0,D,O,15.0,S,N,,,,2,M,2.0,15000.0,N,0.0,F,1935.0,B,R,,,A,83168.0,N,,Y,429.48,1,48.04,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,Y,,Y,,N,-64.36
744,25762,02/04/2002,4,64.0,BOISE,ID,83714.0,1930.0,,,,0.0,,,,,,0,,,,D,0.0,F,1965.0,,,,Y,A,107253.0,N,,Y,13.43,1,2968.41,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,Y,11596.25,,,,,,,-62.82
753,23754,05/01/1979,3,56.0,IDAHO FALLS,ID,83402.0,4531.0,0.0,E,O,15.0,M,N,,,,1,M,3.0,6999.96,N,260.0,F,1948.0,B,R,1.0,,A,21685.0,N,,Y,1325.51,0,0.0,Y,1895.7,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-62.13
871,46637,12/29/1989,5,81.0,RUPERT,ID,83350.0,1811.0,0.0,7,O,15.0,M,N,,,,1,F,2.0,24816.0,N,0.0,,,B,R,2.0,,,2114.0,N,,Y,2161.41,0,,Y,905.13,N,0.0,N,0.0,N,0.0,,0.0,,0.0,Y,0.0,,,,,,Y,-54.57
874,46868,11/04/1985,2,66.0,BOISE,ID,83709.0,5150.0,1.0,7,O,15.0,S,Y,,Y,,1,F,2.0,62500.0,N,140.0,E,1974.0,B,R,2.0,,A,14695.0,N,,Y,1009.21,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,Y,,Y,,Y,-54.44
905,9381,04/18/2003,1,39.0,MERIDIAN,ID,83646.0,5495.0,,,,0.0,,,,,,0,,,43200.0,H,0.0,F,1993.0,,,,,A,21909.0,N,,Y,695.2,0,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,,,,,Y,-53.52
950,10038,11/16/2001,1,33.0,SUN VALLEY,ID,83353.0,553.0,1.0,1,O,6.0,B,Y,Y,,,1,M,1.0,36000.0,N,0.0,,,,,,,,237557.0,N,,Y,297.72,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-51.41
951,19152,09/21/2006,2,19.0,BOISE,ID,83706.0,3001.0,,P,,0.0,,,,,,0,,,,N,0.0,S,,,,,,,3454.0,N,,Y,66.1,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,,Y,-51.39
972,8437,10/18/2002,1,47.0,SHOUP,ID,83469.0,6500.0,0.0,,O,2.0,B,N,,,,1,F,1.0,1200.0,N,20.0,,,,,,,,14656.0,N,,Y,26.51,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,,Y,-50.67
1004,14827,06/29/2005,2,52.0,WALLACE,ID,83873.0,418.0,0.0,,O,15.0,M,N,,,,1,M,2.0,62500.0,N,110.0,,,B,R,2.0,,,170709.0,N,,Y,3.1,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,,,N,,Y,-49.1
1025,20220,01/10/2007,2,19.0,MOSCOW,ID,83843.0,4101.0,,P,,0.0,,,,,,0,,,,O,0.0,,,,,,,,74147.0,N,,Y,364.65,0,,Y,342.1,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-48.07
1079,8987,02/10/2003,1,56.0,POCATELLO,ID,83201.0,2405.0,0.0,P,R,0.0,B,N,,,Y,1,U,1.0,30999.96,S,0.0,,,,,,,,13363.0,N,,Y,1993.49,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,N,,Y,-45.64
1187,8771,12/31/2002,2,38.0,NAMPA,ID,83686.0,9334.0,,O,,0.0,,,,,,0,,,,H,0.0,,,,,,,,11961.0,N,,Y,13.13,0,,Y,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-39.44
1251,11767,05/14/2004,2,22.0,MARSING,ID,83639.0,251.0,,,,0.0,,,,,,0,,,31200.0,H,0.0,,,,,,,,2577.0,N,,Y,295.0,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,Y,,,,Y,-36.92
1295,45926,09/05/1997,1,34.0,BOISE,ID,83704.0,2818.0,,,O,,,,,,,1,,,30006.0,,,,,,,,,,10220.0,N,,N,,0,,N,,Y,24978.32,N,0.0,Y,24978.32,,0.0,,0.0,N,,,,,,,,-35.52
1310,23156,08/07/1989,2,63.0,MCCALL,ID,83638.0,2508.0,0.0,1,O,15.0,M,N,,,,1,F,2.0,62500.0,N,40.0,C,1950.0,B,R,1.0,,A,0.0,N,,Y,4015.32,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,Y,,Y,Y,-35.02
1313,46863,02/03/1989,3,80.0,PINGREE,ID,83262.0,1129.0,0.0,P,O,15.0,M,N,,,,1,M,2.0,25000.0,N,30.0,,,B,R,1.0,,,12865.0,Y,6325.88,Y,2517.35,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,-34.92
1345,32311,07/18/2006,1,78.0,TWIN FALLS,ID,83301.0,9204.0,0.0,8,O,3.0,M,N,,,,2,F,2.0,17500.0,N,110.0,,,B,R,2.0,,,5275.0,N,,N,,1,2045.55,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-33.62
1357,19122,09/19/2006,1,54.0,WALLACE,ID,83873.0,2226.0,0.0,P,R,7.0,S,N,,,,1,M,1.0,15000.0,G,0.0,C,,,,,,,88315.0,N,,Y,630.62,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,,Y,-33.41
1370,19226,09/28/2006,1,16.0,SHELLEY,ID,83274.0,5057.0,2.0,P,O,6.0,A,Y,Y,,,1,M,4.0,62500.0,N,130.0,,,,,,,,13700.0,N,,Y,294.69,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,-32.9
1372,9230,02/07/1989,1,56.0,LEWISTON,ID,83501.0,6107.0,1.0,P,R,0.0,S,Y,,Y,,1,F,1.0,15000.0,N,0.0,E,,,,,,,53048.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-32.86
1422,13798,02/24/2005,1,64.0,MOSCOW,ID,83843.0,1336.0,0.0,7,O,1.0,M,N,,,,1,F,2.0,62500.0,U,0.0,,,B,R,2.0,,,1739.0,N,,Y,8928.37,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-31.45
1478,6815,03/13/1991,2,42.0,MERIDIAN,ID,83646.0,1176.0,2.0,1,O,9.0,M,Y,,Y,,1,M,2.0,62500.0,N,230.0,G,1991.0,B,R,2.0,,A,76584.0,N,,Y,616.86,0,,Y,53.93,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-30.19
1533,12218,07/19/2004,1,17.0,MARSING,ID,83639.0,8047.0,1.0,1,O,11.0,M,Y,,Y,,1,M,4.0,25000.0,N,410.0,E,,,,1.0,,,589.0,N,,Y,51.98,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-28.53
1663,19231,09/28/2006,1,4.0,COEUR D ALENE,ID,83815.0,9841.0,0.0,O,O,13.0,M,N,,,,1,,2.0,15000.0,N,0.0,,,,,,,,6704.0,N,,Y,0.0,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-25.48
1703,23305,10/01/1975,1,74.0,MERIDIAN,ID,83642.0,5842.0,0.0,8,O,8.0,M,N,,,,1,M,2.0,62500.0,N,0.0,G,1997.0,B,R,,,A,7465.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-24.5
1704,23395,01/01/1978,1,78.0,SODA SPRINGS,ID,83276.0,903.0,0.0,,O,15.0,B,N,,,,1,M,1.0,36006.0,U,90.0,,,B,R,1.0,,,38262.0,N,,N,,0,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-24.5
1752,7614,03/29/2002,2,55.0,BOISE,ID,83709.0,365.0,0.0,2,O,12.0,M,N,,,,1,M,4.0,112500.0,U,140.0,G,1964.0,B,R,1.0,,A,52993.0,N,,N,,0,,Y,239.56,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-22.88
1756,46194,06/11/1993,1,39.0,NAMPA,ID,83686.0,7936.0,1.0,2,O,12.0,M,Y,Y,,Y,1,M,2.0,76824.0,U,520.0,D,,B,R,3.0,,,49879.0,N,,Y,1844.18,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,N,Y,Y,-22.63
1767,17214,03/21/2006,1,16.0,IDAHO FALLS,ID,83402.0,5572.0,2.0,1,O,6.0,S,Y,,Y,Y,3,F,2.0,125000.0,N,0.0,F,1951.0,,,2.0,,A,44558.0,N,,Y,686.48,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-22.38
1809,19324,10/10/2006,1,16.0,EAGLE,ID,83616.0,2265.0,1.0,O,O,15.0,S,Y,,Y,,3,M,1.0,125000.0,G,340.0,G,1996.0,B,R,2.0,Y,A,612813.0,N,,Y,158.0,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,,,,Y,N,-21.33
1895,46163,08/28/1992,1,79.0,CALDWELL,ID,83606.0,864.0,0.0,,O,15.0,M,N,,,,1,M,2.0,35000.0,H,40.0,C,,B,R,1.0,,,4360.0,N,,Y,686.96,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,Y,,Y,,Y,-18.79
1909,8038,07/25/2002,2,68.0,WALLACE,ID,83873.0,3201.0,0.0,2,O,4.0,M,N,,,,1,M,2.0,62500.0,N,280.0,,,B,R,2.0,,,573.0,N,,Y,593.63,0,,Y,2101.36,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-18.46
1943,46173,11/23/1993,2,50.0,GRAND VIEW,ID,83624.0,391.0,0.0,9,O,6.0,M,N,,,,1,F,4.0,40869.96,N,300.0,,,B,R,2.0,,,2455.0,N,,Y,3522.35,0,,Y,115.12,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,,Y,-17.67
1977,8851,10/17/1983,1,52.0,HAYDEN LAKE,ID,83835.0,8175.0,0.0,1,O,5.0,M,N,,,,1,M,3.0,35000.0,G,440.0,,,B,R,,,,7105.0,N,,Y,1660.77,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-17.03
2032,23053,03/15/1965,1,90.0,COEUR D ALENE,ID,83814.0,2868.0,0.0,P,O,13.0,M,N,,,,1,M,2.0,45000.0,F,0.0,,,B,R,,,,504280.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-15.79
2191,22780,05/01/1975,1,64.0,WENDELL,ID,83355.0,3463.0,1.0,P,O,3.0,M,Y,Y,,,1,M,3.0,15000.0,U,240.0,,,B,R,1.0,,,1168.0,N,,N,,1,12.98,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-13.41
2236,23444,12/17/1986,1,62.0,CALDWELL,ID,83607.0,9421.0,0.0,P,O,15.0,M,N,,,,1,M,2.0,87500.0,G,280.0,G,,B,R,1.0,,,179379.0,N,,N,,1,4391.14,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-12.22
2251,21590,05/08/2007,1,25.0,EDEN,ID,83325.0,237.0,,P,,0.0,,,,,,0,,,,H,0.0,,,,,,,,0.0,N,,Y,171.87,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,-11.8
2281,46618,03/05/1984,1,85.0,SANDPOINT,ID,83864.0,1754.0,0.0,6,R,15.0,S,N,,,,1,M,3.0,62500.0,S,60.0,A,,,,1.0,,,143711.0,N,,Y,901.01,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-11.16
2349,21245,04/09/2007,1,17.0,MONTPELIER,ID,83254.0,1435.0,1.0,P,O,15.0,M,Y,,Y,Y,1,M,3.0,62500.0,S,380.0,D,,B,R,3.0,,,174728.0,N,,Y,40.26,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-9.8
2402,46651,12/04/1992,2,58.0,POCATELLO,ID,83204.0,2054.0,1.0,P,O,8.0,M,Y,,Y,,1,M,2.0,15000.0,H,280.0,,,B,R,1.0,,,5820.0,N,,Y,4875.18,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,,,,,Y,-8.67
2416,46026,12/05/1992,1,60.0,NAMPA,ID,83651.0,4620.0,1.0,1,O,13.0,M,Y,Y,,,1,F,5.0,62500.0,H,540.0,E,,B,R,2.0,,,10166.0,N,,Y,1158.69,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,,Y,-8.54
2439,14836,06/30/2005,1,10.0,BOISE,ID,83713.0,4716.0,1.0,O,R,3.0,A,Y,,Y,,1,M,2.0,112500.0,N,30.0,G,1989.0,B,R,1.0,,A,6383.0,N,,N,,0,,Y,10.03,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-8.27
2465,10470,10/01/2003,1,7.0,BURLEY,ID,83318.0,1918.0,1.0,Q,R,1.0,B,Y,Y,,,1,F,1.0,15000.0,S,0.0,,,,,,,,5488.0,N,,Y,543.65,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,Y,,Y,,Y,-7.85
2533,22077,06/22/2007,2,40.0,RUPERT,ID,83350.0,8318.0,3.0,D,,7.0,M,Y,Y,Y,,0,M,2.0,,,370.0,,,B,R,1.0,,,17087.0,N,,Y,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-7.01
2566,46053,05/29/1992,1,59.0,BLACKFOOT,ID,83221.0,5479.0,0.0,5,O,8.0,M,N,,,,1,M,2.0,62500.0,N,260.0,E,,B,R,2.0,,,1010.0,N,,Y,3128.55,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,,Y,-6.47
2571,21917,06/05/2007,4,26.0,BOISE,ID,83702.0,6602.0,,O,,0.0,,,,,,0,,,,,0.0,,,,,,Y,,8015.0,N,,Y,65.0,0,,Y,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,-6.37
2573,10138,08/13/2003,1,17.0,IDAHO FALLS,ID,83402.0,1719.0,0.0,O,O,6.0,M,N,,,,1,M,3.0,62500.0,N,200.0,F,1976.0,B,R,1.0,,A,46636.0,N,,N,,0,,Y,15.99,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-6.34
2611,10413,09/24/2003,1,32.0,BOISE,ID,83714.0,6815.0,1.0,O,R,1.0,M,Y,Y,,,1,M,2.0,45000.0,F,240.0,F,,B,R,2.0,,,1145.0,N,,Y,1166.82,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-5.85
2634,46332,05/31/1990,2,52.0,POST FALLS,ID,83877.0,1382.0,5.0,,O,15.0,M,Y,,Y,,1,M,2.0,35000.0,O,0.0,,,B,R,,,,11307.0,N,,N,,0,,Y,600.29,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,-5.43
2660,18495,07/24/2006,1,16.0,BOISE,ID,83709.0,5522.0,3.0,Z,O,15.0,M,Y,,Y,Y,2,M,3.0,62500.0,N,150.0,G,1978.0,B,R,3.0,,A,56612.0,N,,N,,0,,Y,0.6,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,,,,,Y,-5.05
2667,17374,04/05/2006,1,18.0,BOISE,ID,83703.0,5831.0,,O,,0.0,,,,,,0,,,,G,0.0,K,,,,,,,3818.0,N,,Y,190.44,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,Y,Y,,Y,Y,-4.99
2677,33488,02/21/2007,1,24.0,BLACKFOOT,ID,83221.0,1524.0,1.0,P,O,0.0,M,Y,Y,,,1,M,2.0,62500.0,G,40.0,D,,,,,,,10042.0,N,,N,,1,126.74,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-4.75
2730,17268,03/28/2006,1,54.0,NAMPA,ID,83651.0,1899.0,0.0,1,O,1.0,M,N,,,,2,M,2.0,62500.0,N,20.0,,,B,R,1.0,,,1030.0,N,,Y,1228.16,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-3.63
