,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
10,37616,10/03/1998,1,25.0,OAK PARK,IL,60304.0,1504.0,0.0,O,R,0.0,B,N,,,,1,M,1.0,14400.0,G,0.0,,,,,,,,82699.0,N,0.0,Y,617.51,0,1838.22,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,N,-1691.12
39,36802,02/14/2001,4,25.0,COTTAGE HILLS,IL,62018.0,1554.0,0.0,P,O,2.0,M,N,,,Y,1,M,2.0,42000.0,N,0.0,B,,B,R,,,A,995.0,N,,Y,1097.9,1,6896.25,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,6004.33,N,,Y,Y,,,Y,Y,-233.13
56,35350,07/03/1999,3,58.0,BOLINGBROOK,IL,60440.0,4804.0,0.0,O,O,10.0,M,N,,,,1,M,2.0,33000.0,N,0.0,J,,B,R,2.0,,A,54718.0,N,,Y,1070.63,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,N,Y,Y,-218.24
84,18727,08/11/2006,5,61.0,SPRINGFIELD,IL,62704.0,8002.0,0.0,O,R,1.0,S,N,,,,1,M,1.0,25000.0,S,0.0,,,,,,,,809.0,N,,Y,1730.56,0,,Y,5367.61,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-186.85
121,18299,07/06/2006,2,24.0,GRANITE CITY,IL,62040.0,5176.0,0.0,1,O,9.0,M,N,,,,2,M,3.0,112500.0,S,0.0,H,,B,R,,,A,46518.0,N,,Y,583.12,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-166.25
135,10721,11/21/2003,3,22.0,BELLE RIVE,IL,62810.0,3707.0,1.0,P,O,6.0,M,Y,,Y,,1,M,4.0,18999.96,S,0.0,,,B,R,,,,10670.0,N,,Y,1046.31,1,568.4,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,N,Y,Y,-158.9
137,32368,07/27/2006,1,52.0,STREAMWOOD,IL,60107.0,441.0,0.0,,O,10.0,M,N,,,,1,M,2.0,45000.0,N,0.0,F,,B,R,,,,9016.0,N,,N,,1,5226.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-158.31
153,1667,01/01/1978,3,37.0,CHICAGO,IL,60607.0,0.0,0.0,,O,5.0,B,N,,,,1,F,1.0,81744.0,N,0.0,B,,B,R,,,B,,N,,Y,1146.08,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,N,-154.0
157,17500,04/21/2006,1,47.0,SHOREWOOD,IL,60404.0,9421.0,1.0,,O,1.0,M,Y,,Y,,1,M,3.0,35000.0,U,0.0,G,,B,R,,,A,4305.0,N,,Y,2160.77,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-152.7
174,35182,06/06/1991,6,76.0,SWANSEA,IL,62226.0,2069.0,0.0,8,O,5.0,M,N,,,,1,M,2.0,62500.0,N,0.0,K,,B,R,,,A,27344.0,Y,14462.28,Y,679.03,1,0.0,N,,N,0.0,Y,5002.77,N,0.0,,0.0,,0.0,N,,Y,N,Y,Y,,Y,-143.95
191,12057,06/28/2004,2,21.0,VERNON HILLS,IL,60061.0,2114.0,1.0,O,O,15.0,M,Y,,Y,Y,1,M,3.0,12999.96,N,0.0,N,,B,R,,,A,88031.0,N,,Y,3425.99,1,170.81,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-137.13
287,31184,11/15/2005,1,,HANOVER PARK,IL,60133.0,5552.0,0.0,O,O,13.0,M,N,,,,1,M,4.0,62500.0,H,0.0,H,,B,R,2.0,,A,45732.0,N,,N,,1,10267.54,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-112.91
312,7140,08/13/2001,1,49.0,CHICAGO,IL,60622.0,6126.0,1.0,O,O,15.0,B,Y,,Y,Y,1,F,1.0,62500.0,H,0.0,F,,B,R,2.0,,,274481.0,N,,N,,1,3683.19,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-108.73
333,15309,08/15/2005,1,47.0,ROCKFORD,IL,61108.0,3611.0,0.0,Z,R,0.0,S,N,,,,1,M,1.0,15000.0,N,0.0,F,,,,,,D,1658.0,N,,Y,17.01,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-104.47
366,5426,03/30/1998,2,48.0,CHICAGO,IL,60615.0,5258.0,0.0,N,R,4.0,M,N,,,,3,F,2.0,62500.0,N,0.0,,,B,R,,,,208520.0,N,,Y,11.96,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,N,,Y,,-99.41
379,39798,11/06/1986,6,58.0,TROY,IL,62294.0,3137.0,1.0,8,O,15.0,M,Y,,Y,Y,1,M,4.0,48000.0,N,0.0,H,,B,R,,,A,55586.0,N,,Y,4271.88,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-97.76
380,43525,11/27/1990,1,89.0,CENTRALIA,IL,62801.0,6592.0,0.0,8,O,15.0,M,N,,,,2,M,2.0,62500.0,N,0.0,,,B,R,1.0,,,72804.0,Y,50007.5,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-97.67
388,10731,11/24/2003,2,27.0,ROODHOUSE,IL,62082.0,1130.0,0.0,5,O,2.0,M,N,,,,1,M,3.0,60600.0,S,0.0,B,,B,R,,Y,,1213.0,N,,Y,1805.11,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,,Y,-96.8
391,18116,06/21/2006,2,19.0,MULKEYTOWN,IL,62865.0,3106.0,0.0,5,O,11.0,M,N,,,,1,M,2.0,62500.0,N,0.0,,,B,R,2.0,Y,,44820.0,N,,Y,44.13,1,193.99,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,N,Y,Y,-96.36
