,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
43,37098,08/10/1998,2,24.0,MURRAY,KY,42071.0,2964.0,0.0,P,O,8.0,S,N,,,Y,1,F,2.0,112500.0,N,160.0,C,,B,R,2.0,,,50190.0,N,0.0,Y,1129.19,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,,Y,-229.98
89,13739,02/17/2005,4,33.0,TURNERS STA,KY,40075.0,7213.0,4.0,P,O,13.0,A,Y,Y,Y,,1,M,3.0,45000.0,S,340.0,,,B,R,2.0,,,243.0,N,,Y,738.28,0,,Y,74.73,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-184.87
111,40176,08/13/1991,4,38.0,MC CARR,KY,41564.0,8807.0,1.0,,O,0.0,S,Y,,Y,,1,F,2.0,75000.0,N,390.0,,,B,R,,,,36507.0,N,,Y,301.91,0,0.0,Y,622.21,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-172.62
112,12150,07/08/2004,2,20.0,BOWLING GREEN,KY,42103.0,1593.0,1.0,O,O,10.0,S,Y,,Y,,3,M,2.0,12000.0,N,50.0,G,,B,R,,,,104628.0,N,,Y,40.27,0,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-172.28
147,9809,06/23/2003,2,38.0,BELLEVUE,KY,41073.0,1437.0,0.0,P,R,1.0,S,N,,,,1,F,1.0,19999.92,S,90.0,,,B,R,1.0,,,181.0,N,,Y,891.04,0,,Y,200.45,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,N,Y,Y,-155.47
154,15411,08/23/2005,1,20.0,BOWLING GREEN,KY,42101.0,9420.0,,P,,0.0,,,,,,0,,,60000.0,N,0.0,D,,,,,,,1696.0,N,,Y,4.89,0,456.63,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,Y,,Y,-153.71
167,13617,02/01/2005,3,43.0,FORT CAMPBELL,KY,42223.0,1108.0,1.0,7,O,3.0,M,Y,,Y,,1,F,2.0,45000.0,G,430.0,,,B,R,1.0,,,2308.0,N,,Y,651.82,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-145.89
189,26453,07/22/1994,3,33.0,BOWLING GREEN,KY,42103.0,2413.0,1.0,O,O,12.0,S,Y,,Y,,1,M,5.0,62500.0,N,160.0,F,,B,R,3.0,,,1875.0,N,,Y,2713.4,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-137.96
197,13524,01/02/2004,2,24.0,STAMPING GRD,KY,40379.0,9737.0,,P,,0.0,,,,,,0,,,25999.92,U,0.0,,,,,,,,89.0,N,,Y,1322.6,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-135.76
229,43747,10/10/1995,5,72.0,LOUISVILLE,KY,40214.0,1157.0,2.0,P,O,15.0,M,Y,,Y,,1,F,3.0,35000.0,S,10.0,E,,B,R,2.0,,,155265.0,Y,195000.0,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-127.38
232,32605,09/12/2006,1,84.0,BURLINGTON,KY,41005.0,9271.0,1.0,O,O,15.0,M,Y,,Y,,1,M,2.0,102000.0,G,350.0,D,,B,R,2.0,,,59426.0,N,,N,,1,2400.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-126.78
233,8492,10/30/2002,2,33.0,LOUISVILLE,KY,40203.0,2605.0,0.0,P,R,1.0,B,N,,,,1,F,1.0,18000.0,S,0.0,B,,,,,,,333.0,N,,Y,1564.47,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,N,Y,,Y,-126.71
237,920,08/08/1988,3,40.0,SCOTTSVILLE,KY,42164.0,9659.0,0.0,P,O,2.0,B,N,,,,1,M,1.0,51999.96,N,60.0,,,,,,,,6859.0,N,,Y,354.88,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,N,,N,Y,Y,-124.74
260,9279,11/04/1998,3,33.0,COVINGTON,KY,41015.0,3.0,0.0,,O,7.0,M,N,,,,1,M,2.0,35000.0,N,310.0,D,,,R,1.0,,,24951.0,N,,Y,867.86,0,,Y,3937.91,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,N,-117.42
288,43752,02/19/1997,2,40.0,LOUISVILLE,KY,40272.0,3226.0,0.0,4,O,9.0,M,N,,,,1,M,2.0,45000.0,N,90.0,C,,B,R,2.0,,,18052.0,N,,Y,2342.43,0,,Y,69.92,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-112.76
311,37817,09/05/2000,2,44.0,LEXINGTON,KY,40509.0,2419.0,0.0,O,O,3.0,S,N,,,,1,F,2.0,35000.0,N,30.0,E,,B,R,1.0,,,1693.0,N,,Y,3074.85,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,Y,,,,Y,-108.83
440,37847,06/16/1994,1,68.0,OWENSBORO,KY,42303.0,1878.0,0.0,3,O,15.0,M,N,,,,2,M,2.0,62500.0,N,250.0,E,,B,R,1.0,,,192985.0,N,,Y,2476.71,0,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-90.91
486,11504,03/01/2004,1,47.0,COVINGTON,KY,41015.0,2490.0,1.0,1,O,1.0,M,Y,Y,,,1,M,2.0,125000.0,N,280.0,H,1996.0,B,R,1.0,,A,31515.0,N,,Y,2560.33,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-85.38
504,38739,10/26/1995,3,33.0,COVINGTON,KY,41011.0,2933.0,1.0,Q,O,7.0,M,Y,Y,,,1,M,2.0,28800.0,S,180.0,B,1901.0,B,R,1.0,,A,514.0,N,,Y,1705.63,0,,Y,5.05,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-84.19
509,42364,04/30/1982,2,55.0,BOWLING GREEN,KY,42101.0,9308.0,1.0,7,O,3.0,M,Y,,Y,,1,M,2.0,45000.0,N,110.0,,,,,,,,2349.0,N,,Y,2974.79,0,,Y,18620.87,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-83.34
523,11330,03/09/2004,2,38.0,FLORENCE,KY,41042.0,2034.0,1.0,P,R,0.0,M,Y,,Y,,1,M,2.0,25000.0,G,80.0,F,,B,R,2.0,,,1979.0,N,,Y,445.04,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-82.33
617,41079,02/01/1990,1,39.0,ELKHORN CITY,KY,41522.0,0.0,0.0,,O,2.0,B,N,,,,1,M,1.0,17500.0,S,0.0,,,,,,,,,N,,Y,227.02,0,206.45,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,-72.53
630,37107,11/04/1994,2,57.0,NEBO,KY,42441.0,9327.0,0.0,1,O,15.0,M,N,,,,1,M,3.0,45000.0,N,200.0,D,,B,R,1.0,,,45630.0,N,,Y,92.56,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-71.43
685,9132,03/06/2003,1,49.0,WALTON,KY,41094.0,1072.0,1.0,1,R,4.0,S,Y,,Y,,3,F,2.0,54999.96,N,120.0,D,,,,,,,6450.0,N,,Y,2279.05,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,N,Y,,Y,-67.86
735,14438,11/04/2002,1,39.0,CROFTON,KY,42217.0,8240.0,1.0,P,O,1.0,M,Y,,Y,,1,M,2.0,25000.0,S,290.0,,,B,R,2.0,,,2814.0,N,,Y,1566.45,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-63.79
750,40893,01/06/1986,2,44.0,GLASGOW,KY,42141.0,9018.0,3.0,Z,O,11.0,M,Y,Y,Y,,1,M,2.0,62500.0,N,110.0,,,B,R,1.0,,,2754.0,N,,Y,956.89,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,Y,,Y,,Y,-62.45
