,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
591,33288,01/18/2007,1,48.0,LAFAYETTE,LA,70503.0,2857.0,2.0,O,R,3.0,M,Y,,Y,,1,M,2.0,87500.0,N,240.0,,,B,R,1.0,,,328040.0,N,,N,,1,4514.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-75.02
961,15598,09/12/2005,1,67.0,NEW ORLEANS,LA,70119.0,6944.0,0.0,O,R,8.0,B,N,,,,1,M,1.0,15000.0,I,0.0,,,,,,,,25317.0,N,,Y,80.74,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-51.13
1733,26012,03/12/2002,1,80.0,BOSSIER CITY,LA,71111.0,5638.0,0.0,1,O,7.0,M,N,,,,1,M,2.0,112500.0,I,160.0,F,,B,R,1.0,,,59490.0,N,,N,,1,432.5,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-23.29
3195,30825,08/24/2005,1,20.0,PONCHATOULA,LA,70454.0,4763.0,0.0,P,R,2.0,B,N,,,,1,M,1.0,15000.0,U,0.0,,,,,,,,7845.0,N,,N,,1,602.39,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,4.78
4519,25069,12/20/1999,1,60.0,WEST MONROE,LA,71292.0,1916.0,0.0,1,O,15.0,M,N,,,,1,M,2.0,87500.0,N,340.0,C,,B,R,2.0,Y,,2165.0,N,,N,,1,1056.72,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,69.23
6196,25331,03/13/2001,1,66.0,SULPHUR,LA,70665.0,9381.0,0.0,7,O,13.0,M,N,,,,1,M,2.0,87500.0,N,130.0,H,,B,R,2.0,,,75407.0,N,,N,,1,1482.69,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,239.47
6421,1047,04/23/1985,2,22.0,LEESVILLE,LA,71446.0,5044.0,0.0,1,O,15.0,S,N,,,Y,1,M,4.0,45000.0,N,220.0,J,1960.0,B,R,3.0,,A,162.0,N,,Y,892.19,0,,Y,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,N,Y,Y,N,273.99
7656,38872,06/28/2001,1,48.0,KENNER,LA,70062.0,5959.0,0.0,O,O,15.0,M,N,,,,1,M,3.0,87500.0,F,530.0,E,,B,R,2.0,,,84507.0,N,,N,,0,,N,,Y,36948.82,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,547.09
8200,29065,06/20/1996,1,70.0,LA PLACE,LA,70069.0,1872.0,0.0,8,R,14.0,M,N,,,,2,M,2.0,15000.0,S,30.0,F,,B,R,2.0,,,0.0,N,,N,,0,,N,,Y,55824.14,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,783.58
8321,28991,05/31/2001,2,31.0,COVINGTON,LA,70435.0,8363.0,1.0,P,O,6.0,A,Y,Y,,,1,M,2.0,62500.0,N,290.0,,,,,,,,7340.0,N,,N,,0,,N,,Y,80152.4,N,0.0,N,0.0,Y,33286.25,,0.0,N,,,,,,,,856.35
