,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
192,32649,09/21/2006,2,62.0,FINKSBURG,MD,21048.0,2101.0,1.0,O,O,15.0,M,Y,,Y,,1,M,2.0,112500.0,N,290.0,L,1971.0,B,R,1.0,,A,52158.0,N,,N,,1,4000.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-136.53
999,32879,10/25/2006,1,48.0,FT WASHINGTON,MD,20744.0,5138.0,1.0,O,O,11.0,S,Y,,Y,,1,M,3.0,112500.0,P,360.0,A,1977.0,B,R,2.0,,A,20390.0,N,,N,,1,1325.62,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-49.34
1431,33038,11/21/2006,1,50.0,COLUMBIA,MD,21045.0,4459.0,2.0,N,O,15.0,M,Y,,Y,,1,M,3.0,87500.0,O,190.0,I,1983.0,B,R,2.0,,A,33290.0,N,,N,,1,1896.95,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-31.25
1753,24036,11/23/1984,1,78.0,BETHESDA,MD,20814.0,1503.0,0.0,N,O,15.0,M,N,,,,3,M,2.0,87500.0,I,130.0,Q,1961.0,B,R,1.0,,A,665578.0,N,,N,,1,36.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-22.77
1940,33299,01/22/2007,1,,SEVERN,MD,21144.0,4402.0,1.0,O,O,5.0,M,Y,,Y,,1,F,2.0,62500.0,U,450.0,Q,2001.0,,R,3.0,,A,32814.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-17.7
2093,33527,02/28/2007,1,42.0,SALISBURY,MD,21801.0,2469.0,2.0,1,O,6.0,M,Y,Y,,,3,M,2.0,125000.0,N,300.0,Q,1988.0,B,R,,,A,123194.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-15.16
2149,32469,08/14/2006,1,54.0,WALDORF,MD,20602.0,2519.0,0.0,1,O,1.0,M,N,,,,3,M,2.0,15000.0,U,70.0,G,1983.0,B,R,2.0,,A,100435.0,N,,N,,1,25.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-14.26
2308,36859,06/10/1997,1,32.0,CROWNSVILLE,MD,21032.0,1940.0,0.0,1,R,2.0,S,N,,,,3,M,1.0,60000.0,S,120.0,M,,,,,,A,,N,,N,,0,,Y,96.0,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-10.66
2326,30903,09/16/2005,1,68.0,BEL AIR,MD,21014.0,5640.0,1.0,O,O,15.0,M,Y,,Y,,3,M,2.0,125000.0,O,480.0,G,1987.0,B,R,2.0,,A,61237.0,N,,N,,1,902.11,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-10.37
2608,33763,04/03/2007,1,50.0,BALTIMORE,MD,21206.0,1316.0,0.0,P,O,0.0,S,N,,,,1,M,1.0,35000.0,N,290.0,J,1958.0,B,R,1.0,,A,91595.0,N,,N,,1,738.54,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-5.91
2890,23972,07/01/1971,1,74.0,HYATTSVILLE,MD,20782.0,2556.0,0.0,O,O,15.0,M,N,,,,1,M,2.0,45000.0,Z,20.0,M,1957.0,B,R,1.0,,A,68987.0,N,,N,,1,406.66,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,-1.03
2970,31822,04/20/2006,1,41.0,QUANTICO,MD,21856.0,1856.0,0.0,,O,4.0,M,N,,,,1,M,2.0,15000.0,D,0.0,,,B,R,,,,,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,Y,829.91,,,,,,,0.0
3203,32706,09/29/2006,1,48.0,HAMPSTEAD,MD,21074.0,2219.0,1.0,5,O,15.0,M,Y,,Y,Y,1,M,2.0,35000.0,G,180.0,,,B,R,2.0,,,34895.0,N,,N,,1,410.85,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,5.01
3457,32654,09/22/2006,1,54.0,CLARKSBURG,MD,20871.0,4009.0,1.0,O,O,1.0,A,Y,,Y,Y,3,M,3.0,125000.0,R,390.0,Q,2000.0,B,R,2.0,,A,167816.0,N,,N,,1,388.2,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,12.4
3758,31534,02/13/2006,1,21.0,COCKEYSVILLE,MD,21030.0,3762.0,0.0,O,R,0.0,S,N,,,Y,1,F,1.0,17500.0,Z,0.0,,,,,,,,22997.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,16423.47,N,,,,,,,,24.83
3759,29885,12/03/2004,1,56.0,NOTTINGHAM,MD,21236.0,5150.0,0.0,O,R,5.0,M,N,,,,1,M,2.0,87500.0,O,40.0,G,,B,R,1.0,,,17696.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,24.9
