,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
94,742,03/14/1994,1,42.0,BLOOMFIELD,MI,48302.0,2112.0,1.0,2,O,15.0,M,Y,,Y,,3,M,2.0,125000.0,S,970.0,Q,1967.0,B,R,2.0,,A,965669.0,N,,N,,1,9864.73,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-182.81
276,32452,08/10/2006,1,64.0,MENDON,MI,49072.0,9517.0,0.0,P,O,10.0,M,N,,,,1,U,1.0,17500.0,N,0.0,D,1977.0,,,,,M,20583.0,N,,N,,1,9625.14,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-114.73
647,34338,05/10/2007,1,,TEKONSHA,MI,49092.0,9541.0,,P,,0.0,,,,,,0,,,,,0.0,,,,,,,,18750.0,N,,N,,0,,N,,Y,81914.39,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-71.04
800,29192,04/12/2004,1,38.0,WATERFORD,MI,48328.0,3921.0,2.0,1,O,3.0,M,Y,Y,Y,,3,M,2.0,87500.0,N,220.0,H,1949.0,B,R,1.0,,A,1875.0,N,,N,,0,,N,,Y,0.01,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-59.3
854,14750,06/22/2005,1,20.0,GRAND HAVEN,MI,49417.0,8516.0,1.0,5,O,4.0,M,Y,,Y,Y,1,M,2.0,62500.0,N,310.0,,,B,R,2.0,,,7337.0,N,,Y,732.75,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,N,-55.47
1048,37722,06/09/1998,1,25.0,FARMINGTN HLS,MI,48335.0,2109.0,0.0,O,O,0.0,B,N,,,,1,M,1.0,17500.0,G,200.0,I,1994.0,,,,,B,35111.0,N,,Y,180.41,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,Y,N,,Y,N,-47.22
1076,33658,03/16/2007,1,44.0,CLINTON TWP,MI,48036.0,2178.0,0.0,O,O,6.0,B,N,,,,1,F,1.0,87500.0,U,330.0,F,,B,R,2.0,,A,35619.0,N,,N,,1,6790.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-45.83
1304,21820,05/30/2007,1,34.0,NORTH BRANCH,MI,48461.0,0.0,,,,0.0,,,,,,0,,,,,0.0,,,,,,,,,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,28507.72,N,,,,,,,,-35.2
1324,2489,03/18/1994,1,40.0,BRIGHTON,MI,48116.0,8242.0,2.0,O,O,13.0,A,Y,Y,Y,,3,M,2.0,125000.0,G,760.0,P,1995.0,B,R,2.0,,A,184226.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-34.59
1395,30100,02/28/2005,1,38.0,CANTON,MI,48188.0,6210.0,1.0,2,O,2.0,S,Y,Y,,,2,M,1.0,112500.0,N,290.0,N,,B,R,1.0,,E,101982.0,N,,N,,1,2299.8,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-32.13
