,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
2,2597,04/01/1974,7,61.0,ROCHESTER,MN,55901.0,2473.0,0.0,Z,O,15.0,M,N,,,,3,M,2.0,52332.0,N,260.0,F,,B,R,1.0,,,427117.0,N,,Y,3928.92,0,,N,,N,0.0,Y,49617.27,N,0.0,,0.0,,0.0,N,,,,,,,,-4824.87
4,4388,10/01/1977,1,55.0,ELY,MN,55731.0,1622.0,1.0,Z,O,15.0,M,Y,,Y,Y,1,M,4.0,45000.0,N,350.0,C,,B,R,3.0,,A,37250.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-3726.99
18,3507,09/05/1985,1,45.0,SAVAGE,MN,55378.0,1630.0,2.0,C,O,15.0,M,Y,,Y,Y,2,M,2.0,45000.0,G,160.0,I,1986.0,B,R,2.0,,A,75138.0,N,,Y,146.61,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-462.43
33,11784,05/17/2004,2,31.0,FRIDLEY,MN,55432.0,5622.0,0.0,O,O,10.0,M,N,,,,1,,2.0,62500.0,U,0.0,H,1956.0,,,,,A,2098.0,N,,Y,1207.54,0,,Y,800.0,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-249.67
54,6211,03/06/2000,2,45.0,SAINT PAUL,MN,55106.0,4511.0,1.0,P,O,3.0,A,Y,,Y,,1,M,2.0,39999.96,N,400.0,G,1890.0,,,3.0,,A,10537.0,N,,Y,647.05,0,,Y,78.04,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,Y,Y,,Y,-220.16
57,14237,04/21/2005,1,23.0,MINNEAPOLIS,MN,55405.0,2841.0,0.0,P,R,1.0,B,N,,,,1,M,1.0,15000.0,N,220.0,,,,,2.0,,,29532.0,N,,Y,1298.05,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,N,Y,,-218.09
100,10355,09/16/2003,6,22.0,MINNEAPOLIS,MN,55421.0,4433.0,0.0,O,O,15.0,M,N,,,,1,F,2.0,119664.0,I,250.0,E,1989.0,,,1.0,,A,408533.0,N,,Y,40.38,1,150.55,Y,1601.59,N,0.0,N,0.0,N,0.0,,0.0,Y,6052.85,Y,1903.27,Y,Y,,,Y,Y,-177.86
104,18182,06/26/2006,4,35.0,BURNSVILLE,MN,55337.0,3147.0,1.0,1,O,0.0,M,Y,Y,,,1,M,3.0,62500.0,N,0.0,K,1974.0,B,R,,,A,23628.0,N,,Y,10652.42,0,,Y,1286.66,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,N,-175.66
120,15667,09/19/2005,2,26.0,MINNEAPOLIS,MN,55410.0,1945.0,0.0,O,O,1.0,B,N,,,,1,F,1.0,62500.0,J,40.0,G,1964.0,,,,,B,52401.0,N,,Y,3948.8,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,,-166.41
125,1542,09/28/1990,2,42.0,DULUTH,MN,55807.0,1602.0,0.0,4,O,15.0,M,N,,,,1,M,2.0,45000.0,N,30.0,E,1925.0,,,2.0,,A,19901.0,N,,Y,1168.42,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,N,,,,Y,-165.14
128,29596,06/03/2002,5,32.0,WOODBURY,MN,55129.0,4298.0,1.0,O,O,2.0,M,Y,,Y,,1,M,2.0,35649.96,R,480.0,N,2002.0,B,R,1.0,,A,89310.0,N,,Y,9067.04,0,,Y,35.02,N,0.0,Y,0.0,N,0.0,,0.0,,0.0,Y,0.0,Y,Y,,,Y,Y,-163.45
