,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
215,10930,01/05/2004,3,23.0,BOZEMAN,MT,59718.0,1920.0,0.0,P,R,4.0,B,N,,,,1,F,1.0,40800.0,S,0.0,G,,,,,,,2951.0,N,,Y,1253.46,1,1014.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,N,Y,Y,-129.92
625,12433,08/17/2004,2,53.0,MILES CITY,MT,59301.0,4010.0,0.0,P,R,2.0,S,N,,,,1,M,1.0,15000.0,N,20.0,,,B,R,1.0,,,233.0,N,,Y,3455.02,0,,Y,172.71,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,Y,,,,Y,-71.9
820,983,06/01/1973,2,81.0,GREAT FALLS,MT,59404.0,3289.0,0.0,P,O,15.0,M,N,,,,1,F,2.0,17500.0,S,270.0,B,1961.0,B,R,2.0,,A,168038.0,N,,Y,1345.87,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,N,,,Y,Y,-58.06
823,325,04/01/1975,2,78.0,MILES CITY,MT,59301.0,5217.0,,P,,0.0,,,,,,0,,,,G,0.0,D,,,,,,,34639.0,N,,Y,1438.0,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,-57.97
913,8645,12/02/2002,2,47.0,BOZEMAN,MT,59715.0,6187.0,1.0,N,O,12.0,M,Y,Y,,,1,M,3.0,35000.0,N,160.0,F,,B,R,1.0,,,97222.0,N,,Y,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-52.97
997,5431,04/17/1989,5,63.0,BILLINGS,MT,59102.0,6476.0,0.0,8,O,4.0,M,N,,,,1,M,2.0,40000.92,Z,300.0,,1999.0,B,R,2.0,,B,99161.0,N,,Y,533.21,0,0.0,Y,1305.65,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,Y,,,N,-49.58
1060,45213,05/15/1987,6,49.0,FORT BENTON,MT,59446.0,215.0,,,,0.0,,,,,,0,,,,,0.0,E,,,,,,,191913.0,Y,5098.23,Y,1463.51,0,,Y,3953.19,N,0.0,N,0.0,N,0.0,,0.0,Y,23024.07,N,,,,,,,Y,-46.66
1221,5511,01/06/1986,1,60.0,BIG TIMBER,MT,59011.0,1525.0,1.0,,O,12.0,B,Y,Y,,,1,F,1.0,25000.0,S,50.0,D,,B,R,,,,4487.0,N,,N,,1,156.33,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-38.2
1272,33535,03/01/2007,1,70.0,CORVALLIS,MT,59828.0,9732.0,0.0,1,O,15.0,M,N,,,,3,M,3.0,35000.0,N,220.0,F,,B,R,1.0,,,29489.0,N,,N,,1,6102.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-36.13
1289,34285,01/20/2006,1,,GREAT FALLS,MT,59405.0,6360.0,0.0,4,,1.0,M,N,,,,0,M,3.0,,,40.0,E,1954.0,B,R,,,A,4070.0,N,,N,,0,,N,,Y,102896.54,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-35.52
