,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
306,17825,05/25/2006,2,19.0,BISMARCK,ND,58503.0,5376.0,1.0,6,R,5.0,M,Y,,Y,Y,2,F,3.0,62500.0,S,430.0,,,B,R,1.0,,,71693.0,N,,Y,1394.25,1,58.11,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-109.43
360,16636,01/13/2006,1,19.0,GRAND FORKS,ND,58201.0,6457.0,0.0,P,R,2.0,B,N,,,,1,F,1.0,15000.0,U,40.0,,,,,1.0,,,939.0,N,,Y,522.43,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,Y,,,,Y,-100.71
389,4054,07/01/1985,3,48.0,FARGO,ND,58103.0,5853.0,3.0,1,O,5.0,M,Y,,Y,,3,M,2.0,87500.0,U,190.0,F,1984.0,B,R,2.0,,A,7446.0,N,,Y,5092.62,0,,Y,2473.24,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-96.77
500,8559,11/08/2002,4,64.0,DICKINSON,ND,58601.0,2972.0,0.0,3,O,4.0,M,N,,,Y,1,M,4.0,30000.0,G,0.0,E,,B,R,,,,115980.0,Y,11000.0,Y,286.9,0,,N,,N,0.0,Y,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-84.46
730,4471,09/01/1973,2,81.0,MOUNTAIN,ND,58262.0,195.0,0.0,P,O,12.0,M,N,,,,1,M,2.0,35000.0,G,0.0,,,B,R,,,,0.0,N,,Y,729.51,1,131.65,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-64.29
734,32160,06/14/2006,1,30.0,FARGO,ND,58103.0,1616.0,0.0,I,O,11.0,M,N,,,,2,M,2.0,62500.0,G,200.0,E,1927.0,B,R,2.0,,A,45499.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-63.94
1077,5274,06/30/1992,1,,SAWYER,ND,58781.0,9125.0,0.0,O,R,10.0,S,N,,,,1,F,1.0,15000.0,N,0.0,E,,,,,,,4335.0,N,,Y,43.45,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-45.81
1091,14021,03/24/2005,1,25.0,FARGO,ND,58104.0,8820.0,,N,,0.0,,,,,,0,,,30000.0,N,0.0,,,,,,,,10778.0,N,,Y,637.42,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,,Y,-44.75
1105,3676,09/02/1987,1,61.0,FARGO,ND,58102.0,1204.0,0.0,2,O,15.0,M,N,,,,3,M,2.0,125000.0,N,220.0,G,1973.0,B,R,1.0,,A,237467.0,N,,Y,894.61,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-43.71
1156,2479,08/23/1993,2,31.0,FARGO,ND,58103.0,6041.0,2.0,E,O,5.0,M,Y,Y,,,1,M,2.0,62500.0,N,260.0,F,1967.0,B,R,,,A,33143.0,N,,Y,1912.05,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-41.03
1262,2279,06/26/1992,2,71.0,MINOT,ND,58701.0,9507.0,0.0,,O,2.0,M,N,,,,1,M,2.0,15000.0,U,0.0,,,,R,,,,,N,,Y,895.98,0,,N,,N,0.0,Y,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-36.47
1328,51,07/11/1991,3,48.0,BISMARCK,ND,58501.0,2924.0,1.0,1,O,15.0,M,Y,,Y,,3,M,2.0,62500.0,N,20.0,F,,B,R,2.0,,,18975.0,N,,Y,53.52,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,-34.29
1335,14907,07/07/2005,2,45.0,ZAP,ND,58580.0,9620.0,1.0,6,O,15.0,M,Y,,Y,,1,M,3.0,62500.0,G,80.0,C,,B,R,2.0,,,542.0,N,,Y,1185.03,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-34.07
1440,3058,11/01/1984,1,74.0,STANTON,ND,58571.0,212.0,0.0,,O,14.0,M,N,,,,1,M,2.0,17500.0,G,110.0,,,B,R,1.0,,,0.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-31.0
1448,12320,08/02/2004,2,21.0,BISMARCK,ND,58503.0,247.0,1.0,5,O,15.0,M,Y,,Y,Y,2,M,3.0,87500.0,N,180.0,G,,B,R,2.0,,,85487.0,N,,Y,2472.22,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,,,,,Y,-30.73
1468,21586,05/08/2007,3,21.0,DICKINSON,ND,58601.0,5476.0,,P,,0.0,,,,,,0,,,,U,0.0,D,,,,,,,837.0,N,,Y,533.98,0,,Y,545.08,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-30.33
1853,3732,01/31/1985,2,46.0,JAMESTOWN,ND,58401.0,5643.0,0.0,7,O,15.0,M,N,,,,1,F,2.0,17500.0,S,20.0,,,B,R,1.0,,,125587.0,N,,Y,1303.47,0,,Y,37.3,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-20.05
1980,6439,07/07/2000,1,50.0,BISMARCK,ND,58503.0,9228.0,1.0,O,O,1.0,A,Y,,Y,Y,1,M,2.0,125000.0,N,60.0,,,,,1.0,,,17392.0,N,,Y,327.51,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-17.01
2078,4947,11/01/1968,1,66.0,DICKINSON,ND,58601.0,5447.0,0.0,P,O,15.0,M,N,,,,1,M,4.0,45000.0,J,160.0,E,,B,R,2.0,,,6427.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-15.22
2099,28282,01/20/2004,1,62.0,GRAND FORKS,ND,58201.0,4840.0,0.0,8,O,15.0,M,N,,,,1,M,2.0,45000.0,S,110.0,F,,B,R,2.0,,,10484.0,N,,N,,1,79.42,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-15.09
2135,17643,05/05/2006,1,9.0,FARGO,ND,58103.0,4782.0,1.0,P,R,2.0,B,Y,Y,,,1,F,1.0,25000.0,Z,0.0,,,,,2.0,,,595.0,N,,N,,0,,Y,20.0,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-14.48
2141,33973,05/08/2007,1,46.0,BISMARCK,ND,58503.0,0.0,0.0,1,O,13.0,M,N,,,,3,M,2.0,112500.0,U,70.0,G,,B,R,2.0,,,,N,,N,,1,3975.6,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-14.44
2190,21109,03/29/2007,1,28.0,FARGO,ND,58103.0,2427.0,0.0,P,R,1.0,B,N,,,,1,M,1.0,25000.0,N,0.0,E,1953.0,,,,,A,877.0,N,,Y,346.2,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,Y,,,Y,Y,-13.41
2228,23906,07/28/1998,1,44.0,FARGO,ND,58103.0,3112.0,0.0,O,O,10.0,M,N,,,,1,F,2.0,62500.0,U,0.0,E,1922.0,B,R,,,A,7033.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-12.52
2347,2798,03/20/1981,1,80.0,FARGO,ND,58103.0,8002.0,0.0,P,O,15.0,B,N,,,,1,M,1.0,25000.0,G,0.0,C,1977.0,B,R,1.0,,G,33488.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,Y,0.0,,,,,,,-9.86
2377,12470,08/20/2004,2,29.0,FARGO,ND,58102.0,2283.0,0.0,P,R,2.0,S,N,,,Y,3,U,1.0,15000.0,O,0.0,,,,,,,,17324.0,N,,Y,1204.47,1,6.06,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,,,,Y,Y,-9.07
2400,5015,11/30/1981,1,,BISMARCK,ND,58501.0,3747.0,,O,,0.0,,,,,,0,,,,N,0.0,,,,,,,,95540.0,N,,Y,1236.52,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-8.72
2450,34085,05/14/2007,1,56.0,FARGO,ND,58102.0,2336.0,0.0,1,O,15.0,M,N,,,,2,M,2.0,35000.0,N,140.0,C,1948.0,B,R,1.0,,A,2453.0,N,,N,,1,1269.16,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-8.1
2489,25349,03/28/2001,1,76.0,DICKINSON,ND,58601.0,4450.0,0.0,4,O,15.0,M,N,,,,1,M,2.0,25000.0,N,510.0,,,B,R,2.0,,,62942.0,N,,N,,1,680.48,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-7.51
2773,5126,10/15/1990,1,42.0,FARGO,ND,58102.0,1537.0,4.0,1,O,15.0,M,Y,Y,Y,,2,M,2.0,62500.0,U,60.0,,,B,R,2.0,,,34489.0,N,,N,,0,,Y,180.57,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-2.96
2815,2916,03/01/1981,1,72.0,NAPOLEON,ND,58561.0,71.0,0.0,8,O,15.0,M,N,,,,2,M,2.0,45000.0,N,260.0,,,B,R,2.0,,,709.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-2.28
2873,23579,02/25/1998,1,38.0,BISMARCK,ND,58503.0,8460.0,0.0,O,O,2.0,B,N,,,,1,M,1.0,87500.0,S,0.0,,,,,,,,2269.0,N,,N,,1,143.19,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-1.35
2916,3515,06/01/1981,6,77.0,LANGDON,ND,58249.0,2012.0,0.0,8,O,11.0,M,N,,,,1,M,2.0,25000.0,N,130.0,,,B,R,1.0,,,86238.0,Y,82938.52,Y,850.78,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-0.65
3140,3164,07/01/1974,1,62.0,CARRINGTON,ND,58421.0,2109.0,0.0,D,O,15.0,M,N,,,,2,M,2.0,62500.0,N,70.0,D,,B,R,2.0,,,11768.0,N,,N,,1,2246.78,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,3.49
3462,3565,07/14/1978,1,71.0,NORTHWOOD,ND,58267.0,561.0,0.0,,O,13.0,A,N,,,,1,M,2.0,17500.0,N,290.0,,,B,R,1.0,,,19439.0,N,,N,,1,948.46,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,12.58
3712,25114,08/28/2000,1,46.0,DICKINSON,ND,58601.0,4128.0,2.0,1,O,15.0,M,Y,,Y,,1,M,3.0,35000.0,X,130.0,D,,B,R,2.0,,,11712.0,N,,N,,1,1493.52,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,23.2
3717,23660,04/10/1996,1,47.0,LINTON,ND,58552.0,7026.0,2.0,D,O,15.0,M,Y,,Y,Y,1,M,2.0,87500.0,G,0.0,,,B,R,,,,261.0,N,,N,,1,2083.59,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,,,,,,23.38
