,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
38,6533,08/21/2000,4,45.0,LAS VEGAS,NV,89183.0,3529.0,0.0,2,O,5.0,S,N,,,,3,M,1.0,114999.96,N,0.0,Q,2001.0,B,R,,Y,A,90024.0,N,,Y,1837.61,1,1550.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,-235.88
102,23404,06/01/1993,4,33.0,RENO,NV,89519.0,685.0,0.0,,O,2.0,M,N,,,,1,M,2.0,35000.0,G,0.0,R,1999.0,B,R,,,A,529283.0,N,,Y,6990.53,1,7107.2,Y,125.15,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-176.24
136,17462,04/17/2006,1,31.0,LAS VEGAS,NV,89123.0,3709.0,2.0,Z,O,2.0,M,Y,Y,,,1,F,2.0,62500.0,N,0.0,P,2003.0,B,R,1.0,,A,28566.0,N,,Y,30.21,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,N,Y,Y,Y,-158.7
155,16033,08/04/2005,5,39.0,INCLINE VLG,NV,89451.0,8207.0,0.0,,O,1.0,B,N,,,,1,F,2.0,62500.0,U,0.0,,,B,R,,,,4430.0,Y,2869.12,Y,1523.18,1,3464.0,Y,191.19,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-153.11
156,11581,04/16/2004,3,51.0,HENDERSON,NV,89002.0,9449.0,0.0,,O,0.0,M,N,,,,1,M,3.0,30000.0,N,0.0,P,1996.0,B,R,,Y,A,36978.0,N,,Y,39.1,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-152.81
289,17201,03/20/2006,2,20.0,HENDERSON,NV,89015.0,5954.0,1.0,O,O,1.0,M,Y,,Y,,1,M,2.0,62500.0,H,0.0,N,1996.0,,,,,A,2935.0,N,,Y,772.04,1,491.69,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,N,Y,Y,Y,-112.68
315,5966,08/02/1999,2,63.0,RENO,NV,89515.0,1495.0,0.0,1,O,1.0,M,N,,,,3,M,2.0,112500.0,G,0.0,G,,B,R,,,,12285.0,N,,Y,872.22,0,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-107.72
397,10449,09/29/2003,2,36.0,FERNLEY,NV,89408.0,7015.0,0.0,P,O,2.0,B,N,,,,1,M,1.0,45000.0,N,0.0,,2004.0,,,,,A,10200.0,N,,Y,524.47,0,,Y,7.26,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,N,,Y,N,-95.71
403,7901,06/17/2002,2,56.0,HENDERSON,NV,89015.0,1760.0,0.0,4,O,9.0,M,N,,,,1,M,2.0,62500.0,N,0.0,J,1997.0,B,R,2.0,,A,24331.0,N,,Y,-114.91,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-95.14
571,45509,11/17/1988,1,55.0,WINNEMUCCA,NV,89445.0,9543.0,1.0,5,O,9.0,M,Y,,Y,,1,M,3.0,62500.0,U,0.0,B,,B,R,2.0,,,102625.0,N,,Y,1922.76,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,Y,,,Y,Y,-77.8
