,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
1121,11311,08/30/1991,1,44.0,QUAPAW,OK,74363.0,2847.0,3.0,Q,R,3.0,B,Y,,Y,,1,M,1.0,25000.0,N,0.0,,,,,,,,354.0,N,,Y,649.67,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-42.94
1569,30049,02/03/2005,1,25.0,FT SILL,OK,73503.0,0.0,,,,0.0,,,,,,0,,,,,0.0,,,,,,,,,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,2200.47,N,,,,,,,,-27.62
1846,33075,11/28/2006,1,42.0,STILLWATER,OK,74074.0,1131.0,2.0,1,O,11.0,M,Y,Y,,,3,M,3.0,62500.0,O,0.0,E,,B,R,,,,78033.0,N,,N,,1,7.18,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-20.21
2047,24748,04/10/2000,1,52.0,OKLAHOMA CITY,OK,73170.0,2521.0,0.0,1,O,5.0,M,N,,,Y,3,M,3.0,112500.0,N,0.0,M,2000.0,B,R,,,E,58911.0,N,,N,,1,119.1,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-15.59
2455,26176,05/01/2002,1,,OKLAHOMA CITY,OK,73162.0,5553.0,0.0,O,R,2.0,B,N,,,Y,1,F,3.0,45000.0,S,0.0,,,B,R,,,,1625.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-8.05
2828,21517,05/02/2007,1,56.0,NORMAN,OK,73071.0,5622.0,0.0,1,O,15.0,M,N,,,,1,M,2.0,62500.0,N,0.0,B,1920.0,B,R,1.0,,E,0.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-2.14
3167,21838,05/31/2007,1,25.0,WILBURTON,OK,74578.0,9734.0,1.0,P,,8.0,M,Y,,Y,,0,,2.0,,,0.0,,,,,,,,114010.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,Y,11615.9,,0.0,N,,,,,,,,4.11
3324,8092,08/02/2002,1,78.0,MIAMI,OK,74354.0,8906.0,1.0,8,O,15.0,M,Y,,Y,,1,M,3.0,17500.0,S,0.0,C,,B,R,,,,173.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,699.93,N,,,,,,,,8.11
3576,38129,07/20/2001,1,44.0,LEXINGTON,OK,73051.0,7900.0,1.0,H,O,15.0,M,Y,Y,,,1,M,2.0,25000.0,U,0.0,E,2003.0,B,R,,,E,3782.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,Y,424.62,N,,,,,,,,17.29
3861,7143,08/14/2001,1,53.0,OKLAHOMA CITY,OK,73120.0,8321.0,0.0,1,O,5.0,M,N,,,,2,M,3.0,62500.0,N,0.0,H,1979.0,B,R,,,A,36266.0,N,,N,,1,669.9,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,29.69
