,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
60,11438,03/26/2004,2,27.0,CLARKSVILLE,TN,37042.0,5503.0,1.0,F,O,1.0,M,Y,Y,,,2,M,2.0,78000.0,N,100.0,D,1991.0,,,2.0,,A,527.0,N,,Y,2280.49,0,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-210.76
81,43779,02/01/2000,1,49.0,COLLIERVILLE,TN,38017.0,6138.0,1.0,Z,O,11.0,M,Y,,Y,,1,M,2.0,87500.0,N,40.0,C,1996.0,B,R,1.0,,A,38599.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,Y,10055.84,,0.0,N,,,,,,,,-189.41
96,13010,11/02/2004,2,44.0,NASHVILLE,TN,37203.0,7506.0,0.0,1,R,5.0,S,N,,,,2,M,1.0,35000.0,S,0.0,,,B,R,,,,71363.0,N,,Y,1406.31,0,,Y,2570.03,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-181.0
177,38575,04/30/1992,1,75.0,SMYRNA,TN,37167.0,2731.0,0.0,8,O,10.0,S,N,,,,1,M,1.0,15000.0,N,140.0,C,1965.0,,,2.0,,A,61379.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-142.7
199,44548,01/01/1985,7,32.0,SPARTA,TN,38583.0,5503.0,3.0,Z,O,9.0,M,Y,Y,,,1,M,2.0,62500.0,S,160.0,D,1996.0,B,R,2.0,,A,2611.0,N,,Y,2559.0,1,0.0,Y,912.76,N,0.0,N,0.0,Y,1312.99,,0.0,Y,850.92,N,,Y,Y,,,Y,Y,-134.96
213,44536,02/12/1998,2,31.0,ADAMS,TN,37010.0,9083.0,0.0,O,O,2.0,S,N,,,,1,M,1.0,31200.0,N,90.0,B,,,,,,,4243.0,N,,Y,1677.97,0,,Y,197.02,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-130.65
268,18913,08/29/2006,2,22.0,LEBANON,TN,37090.0,8944.0,1.0,P,O,15.0,M,Y,,Y,,1,M,2.0,112500.0,N,200.0,L,1993.0,B,R,2.0,,A,78923.0,N,,Y,918.08,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,Y,,,,Y,-115.94
274,14875,07/05/2005,3,64.0,BRENTWOOD,TN,37027.0,8333.0,1.0,N,O,3.0,S,Y,,Y,,1,M,1.0,112500.0,H,0.0,J,2003.0,,,,,A,50717.0,N,,Y,3111.07,0,,Y,2099.21,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,Y,Y,-114.91
310,8434,03/07/2002,1,29.0,BELVIDERE,TN,37306.0,2447.0,2.0,P,O,8.0,M,Y,Y,,Y,1,M,2.0,45000.0,N,30.0,A,,B,R,1.0,Y,,24537.0,N,,Y,972.63,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-108.88
374,34826,07/27/1990,5,25.0,HERMITAGE,TN,37076.0,3102.0,1.0,O,O,15.0,M,Y,,Y,Y,1,M,3.0,125000.0,G,350.0,J,1985.0,B,R,3.0,,A,189603.0,N,,Y,2633.38,0,,Y,3666.83,Y,126063.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-98.19
