,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
87,14583,06/06/2005,1,34.0,HERRIMAN,UT,84096.0,1727.0,0.0,5,O,3.0,S,N,,,,1,M,2.0,87500.0,N,0.0,I,1999.0,B,R,2.0,,A,43276.0,N,,Y,834.3,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,N,Y,Y,Y,-185.02
307,45618,11/24/1997,4,60.0,OREM,UT,84057.0,3636.0,0.0,P,R,6.0,B,N,,,,1,M,1.0,87500.0,S,30.0,F,1978.0,,,,,A,1535.0,N,,Y,471.12,0,,Y,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,N,Y,,Y,-109.43
367,14267,11/02/2004,2,35.0,SALT LAKE CTY,UT,84117.0,6571.0,0.0,P,R,2.0,A,N,,,,1,M,2.0,62500.0,H,150.0,,,,,,,,2891.0,N,,Y,728.59,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-99.34
382,12950,10/25/2004,7,24.0,HOLLADAY,UT,84117.0,5336.0,0.0,P,R,3.0,B,N,,,,1,F,1.0,20799.96,U,20.0,,,,,1.0,,,67513.0,N,,Y,743.52,0,0.0,Y,0.08,N,0.0,N,0.0,N,0.0,,0.0,Y,10089.69,Y,0.0,Y,Y,,Y,Y,Y,-97.5
507,18287,07/05/2006,1,27.0,SALT LAKE CTY,UT,84115.0,4003.0,0.0,P,R,2.0,B,N,,,,1,F,1.0,15000.0,N,40.0,C,1986.0,,,1.0,,M,508.0,N,,Y,147.77,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-83.51
569,33196,12/20/2006,1,72.0,W VALLEY CITY,UT,84128.0,1112.0,1.0,P,O,10.0,M,Y,,Y,,1,M,4.0,62500.0,H,430.0,E,1958.0,B,R,3.0,,A,79.0,N,,N,,1,3596.12,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-78.05
706,23888,05/29/1991,2,45.0,HOLLADAY,UT,84117.0,7138.0,1.0,O,O,3.0,M,Y,,Y,Y,3,F,5.0,125000.0,S,200.0,R,2003.0,B,R,2.0,,E,129237.0,N,,Y,1633.31,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-65.9
929,45728,06/20/1997,3,104.0,MURRAY,UT,84107.0,2773.0,0.0,8,O,15.0,M,N,,,,1,M,2.0,30000.0,N,0.0,F,,B,R,,,,140.0,N,,Y,18.87,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,Y,-52.26
1318,6305,04/14/2000,1,39.0,DRAPER,UT,84020.0,8657.0,1.0,O,O,9.0,M,Y,,Y,,1,M,2.0,125000.0,N,310.0,M,1997.0,B,R,2.0,,A,2476.0,N,,N,,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-34.72
1376,21736,05/21/2007,1,56.0,SALT LAKE CTY,UT,84111.0,4406.0,0.0,O,O,8.0,B,N,,,,1,M,1.0,87500.0,U,10.0,,,,,1.0,,,2297.0,N,,Y,25.9,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,,,Y,-32.81
