,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
1291,34302,05/25/2007,1,,ALEXANDRIA,VA,22306.0,3240.0,,N,,0.0,,,,,,0,,,,,0.0,O,1979.0,,,,,B,241480.0,N,,N,,0,,N,,Y,356000.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-35.52
1373,31212,11/21/2005,1,36.0,RESTON,VA,20194.0,1597.0,0.0,1,O,1.0,M,N,,,,2,M,2.0,87500.0,S,0.0,N,1986.0,B,R,,,B,16977.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-32.85
1476,1375,12/12/1995,1,52.0,RICHMOND,VA,23221.0,1135.0,0.0,D,O,13.0,M,N,,,,3,F,2.0,87500.0,S,0.0,O,1939.0,B,R,,,A,162747.0,N,,N,,1,477.27,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-30.21
1588,26068,04/02/2002,1,96.0,ARLINGTON,VA,22204.0,4943.0,0.0,N,O,7.0,B,N,,,,1,M,1.0,62500.0,S,0.0,M,1939.0,,,,,B,46235.0,N,,N,,1,181.06,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-27.03
1591,26040,03/25/2002,1,36.0,HARRISONBURG,VA,22803.0,1423.0,0.0,,O,10.0,M,N,,,,1,M,1.0,15000.0,S,0.0,F,,,,,,,9650.0,N,,N,,1,6945.67,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,-26.92
1605,24936,03/28/1998,1,46.0,ROANOKE,VA,24017.0,1641.0,0.0,4,O,4.0,S,N,,,,1,F,1.0,25000.0,Z,0.0,F,2002.0,B,R,,,A,4073.0,N,,N,,1,149.96,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-26.45
1903,24996,11/28/1993,1,64.0,FRONT ROYAL,VA,22630.0,3961.0,1.0,5,O,15.0,S,Y,,Y,,1,M,1.0,62500.0,G,0.0,D,,B,R,1.0,,,26458.0,N,,N,,1,700.86,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-18.58
1929,3383,09/26/1995,1,56.0,OAKTON,VA,22124.0,2523.0,0.0,1,O,6.0,S,N,,,,3,M,1.0,62500.0,O,0.0,Q,1977.0,B,R,,,B,134263.0,N,,N,,1,91.56,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-17.84
2211,32972,11/10/2006,1,68.0,FAIRFAX,VA,22033.0,2526.0,0.0,N,O,4.0,S,N,,,,1,M,1.0,62500.0,O,0.0,M,1988.0,,,,,B,63648.0,N,,N,,1,96.88,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-12.94
2253,24305,03/19/1994,1,46.0,GAINESVILLE,VA,20155.0,3861.0,0.0,1,O,3.0,M,N,,,,3,M,2.0,87500.0,N,0.0,Q,2003.0,B,R,,,A,31810.0,N,,N,,1,206.42,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-11.75
2510,24204,12/10/1998,1,54.0,GLEN ALLEN,VA,23059.0,7140.0,1.0,O,O,5.0,M,Y,,Y,,2,M,2.0,125000.0,U,0.0,Q,2001.0,,,,,A,341429.0,N,,N,,1,34.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-7.3
2877,34159,05/30/2007,1,,CENTREVILLE,VA,20120.0,2706.0,1.0,N,O,1.0,M,Y,,Y,,1,M,2.0,87500.0,O,0.0,S,,B,R,,,,26192.0,N,,N,,1,321.22,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-1.32
3530,26834,10/25/2002,1,34.0,PORTSMOUTH,VA,23703.0,1935.0,1.0,1,O,3.0,M,Y,Y,,,1,F,2.0,62500.0,U,0.0,,,B,R,,,,50781.0,N,,N,,1,1485.67,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,Y,,15.31
3556,23937,10/02/1978,1,50.0,LYNCHBURG,VA,24501.0,2227.0,1.0,5,O,15.0,M,Y,,Y,,1,M,2.0,62500.0,S,0.0,D,,B,R,2.0,,,8520.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,16.57
3584,23955,11/21/1989,1,46.0,DREWRYVILLE,VA,23844.0,2009.0,0.0,7,O,15.0,M,N,,,,1,M,2.0,15000.0,N,0.0,E,,B,R,,,,18079.0,N,,N,,1,1443.15,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,17.41
3667,27968,09/16/2003,1,32.0,BURKE,VA,22015.0,2173.0,2.0,Z,O,2.0,M,Y,Y,,,3,M,2.0,125000.0,S,0.0,Q,1982.0,B,R,,,A,235706.0,N,,N,,1,171.2,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,21.7
3898,34088,05/14/2007,1,34.0,ASHBURN,VA,20148.0,3186.0,1.0,N,O,0.0,M,Y,Y,,,1,M,1.0,35000.0,O,0.0,,,B,R,,,,3255.0,N,,N,,1,2827.45,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,31.6
4011,30216,03/24/2005,1,,WOODBRIDGE,VA,22193.0,5717.0,,N,,0.0,,,,,,0,,,,O,0.0,N,2001.0,,,,,B,15154.0,N,,N,,1,75.8,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,37.26
4060,22392,09/11/1997,1,34.0,RESTON,VA,20191.0,1624.0,1.0,N,O,10.0,M,Y,,Y,,1,M,3.0,69999.96,F,0.0,P,1977.0,B,R,,,A,83070.0,N,,N,,1,3489.43,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,39.66
4062,30668,07/18/2005,1,34.0,NORFOLK,VA,23507.0,1023.0,1.0,2,O,7.0,M,Y,Y,,,3,M,2.0,87500.0,N,0.0,L,,B,R,,,,669.0,N,,N,,1,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,39.68
4110,2407,06/01/1973,1,66.0,STERLING,VA,20165.0,6226.0,0.0,1,O,15.0,S,N,,,,3,M,1.0,62500.0,U,0.0,Q,1987.0,B,R,1.0,,A,186244.0,N,,Y,1819.73,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,42.26
4274,38528,10/22/1993,2,41.0,ROCKY MOUNT,VA,24151.0,4038.0,0.0,6,O,3.0,M,N,,,,2,F,2.0,25000.0,G,0.0,,,,,,,,105372.0,N,,Y,2843.39,0,,Y,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,N,Y,,N,52.0
