,ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
0,22794,07/15/1994,3,35.0,SEATTLE,WA,98105.0,2038.0,1.0,O,O,2.0,M,Y,Y,,,3,M,2.0,299436.0,G,0.0,S,1951.0,B,R,,,A,324338.0,N,,Y,68331.99,0,,Y,22580.4,N,0.0,Y,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,Y,,Y,Y,-23595.61
1,23835,01/07/1996,2,54.0,BELLINGHAM,WA,98225.0,6304.0,0.0,1,O,15.0,S,N,,,,3,M,1.0,42000.0,N,0.0,H,,,,1.0,,E,134170.0,N,,Y,178941.96,0,,N,,N,0.0,Y,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,N,,Y,-6787.06
9,6297,04/07/2000,2,32.0,GRANDVIEW,WA,98930.0,1655.0,1.0,P,R,1.0,M,Y,,Y,,1,M,2.0,112500.0,H,0.0,,,B,R,,,,6315.0,N,,Y,0.0,0,,Y,222.48,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-2248.68
11,46882,01/01/1962,1,87.0,BELLEVUE,WA,98009.0,134.0,0.0,,O,4.0,B,N,,,,1,F,1.0,45000.0,S,0.0,,,,,,,,95297.0,N,,Y,1248.81,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,N,,,Y,N,-1444.52
22,45859,03/14/1995,4,29.0,SEATTLE,WA,98144.0,3006.0,0.0,O,O,1.0,M,N,,,,3,M,3.0,152004.0,G,0.0,O,1926.0,B,R,,,A,165914.0,N,,Y,4595.51,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,N,Y,Y,-365.44
25,8695,12/13/2002,11,53.0,EVERETT,WA,98208.0,7517.0,0.0,O,O,15.0,M,N,,,,1,M,2.0,62500.0,N,0.0,M,1982.0,B,R,,,A,40139.0,N,,Y,323.29,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,N,,Y,-338.24
40,46475,11/06/1990,1,40.0,KENNEWICK,WA,99336.0,6069.0,0.0,P,O,15.0,M,N,,,,1,F,2.0,15000.0,N,0.0,B,1975.0,,,,,A,912.0,N,,Y,10283.72,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,,,,,,-233.0
41,11241,02/24/2004,4,37.0,ELLENSBURG,WA,98926.0,9461.0,0.0,O,R,3.0,B,N,,,,1,F,1.0,23432.64,N,0.0,E,,B,R,,,A,21909.0,N,,Y,47.3,0,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,Y,,Y,Y,Y,-231.72
76,12625,09/08/2004,1,45.0,SPOKANE,WA,99207.0,1721.0,0.0,P,R,10.0,M,N,,,,1,,2.0,43579.92,S,0.0,C,1908.0,,,,,A,4355.0,N,,Y,1376.47,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,N,Y,Y,Y,-196.77
103,14571,06/06/2005,3,21.0,VANCOUVER,WA,98662.0,1579.0,0.0,3,O,4.0,M,N,,,Y,2,M,2.0,25000.0,U,0.0,J,2002.0,B,R,,,A,2000000.0,N,,Y,309.25,1,70.94,Y,1108.05,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,N,Y,Y,-176.16
145,8604,11/21/2002,2,36.0,VANCOUVER,WA,98664.0,3987.0,0.0,O,R,5.0,M,N,,,,1,U,1.0,54999.96,S,0.0,E,,,,,,,4830.0,N,,Y,183.3,0,,Y,0.0,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,N,Y,Y,Y,-156.2
165,15563,09/06/2005,2,20.0,BELLEVUE,WA,98006.0,1408.0,0.0,P,R,6.0,M,N,,,,1,,2.0,87500.0,O,0.0,P,1955.0,,,,,A,72151.0,N,,Y,1.67,0,,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,N,Y,Y,Y,-146.76
176,6248,03/06/2000,2,33.0,PUYALLUP,WA,98374.0,9768.0,1.0,O,O,0.0,M,Y,Y,,,1,M,2.0,49356.0,N,0.0,K,1981.0,B,R,,,A,38320.0,N,,Y,2515.77,0,0.0,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,Y,N,Y,,Y,-143.44
180,15913,10/17/2005,3,41.0,RENTON,WA,98058.0,1303.0,0.0,O,O,1.0,S,N,,,,1,F,1.0,25000.0,N,0.0,,,,,,,,0.0,N,,Y,1810.77,1,648.73,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,N,Y,,,Y,N,-140.19
201,18302,07/06/2006,3,54.0,SUNNYSIDE,WA,98944.0,1948.0,1.0,4,O,1.0,M,Y,,Y,,1,M,2.0,62500.0,N,0.0,,,B,R,,,,73197.0,N,,Y,964.55,0,,Y,0.0,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,Y,Y,Y,-134.88
204,7262,09/28/2001,2,24.0,SEATTLE,WA,98105.0,3112.0,,,,,,,,,,0,,,,,,,,,,,,,6909.0,N,,Y,1319.61,0,,Y,1001.41,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,Y,Y,,N,Y,Y,-134.25
205,46285,08/10/1981,2,45.0,MOUNT VERNON,WA,98273.0,2578.0,0.0,8,O,15.0,S,N,,,,1,M,1.0,13999.92,S,0.0,,,,,,,,206.0,N,,Y,28.21,1,1055.23,N,,N,0.0,N,0.0,N,0.0,,0.0,,0.0,N,,,Y,N,Y,,Y,-134.09
