ID,Marital Status,Gender,Yearly Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,BikeBuyer,Latitude,Longitude,City,Zip Code,Country
29476,Married,Female,20000,0,Partial College,Manual,No,1,0-1 Miles,Europe,47,Yes,31.42728,151.40989,Skegness,U8H 3NI,United Kingdom
29472,Married,Female,10000,1,High School,Manual,No,1,1-2 Miles,Europe,46,No,-49.777,-57.09436,Krefeld,38010,Germany
29471,Single,Female,10000,1,High School,Manual,No,1,2-5 Miles,Europe,46,No,44.76375,-52.48566,Wandsworth,E9C 8WC,United Kingdom
29470,Single,Male,10000,1,High School,Manual,No,1,1-2 Miles,Europe,46,No,-35.47176,108.25552,Marcq-en-Baroeul,85584,France
29451,Single,Male,10000,0,Partial College,Manual,No,1,2-5 Miles,Europe,64,No,-13.38729,-143.39103,Wrexham,NX2 2JE,United Kingdom
29447,Single,Female,10000,0,Bachelors,Clerical,No,1,2-5 Miles,Europe,68,No,-72.4089,-169.83648,Kincardine,X50 9XV,United Kingdom
29446,Single,Female,20000,0,Graduate Degree,Clerical,No,0,0-1 Miles,Europe,69,No,61.73132,-24.53664,Bremerhaven,52767,Germany
29445,Single,Female,10000,0,Bachelors,Clerical,Yes,1,0-1 Miles,Europe,69,No,-55.10667,-179.94035,Oswestry,T61 2QG,United Kingdom
29444,Married,Female,20000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,50,No,38.56492,-54.28292,Maubeuge,93074,France
29443,Single,Male,10000,0,Partial College,Manual,Yes,0,0-1 Miles,Europe,50,No,34.04002,-13.24188,Niort,85990,France
29442,Single,Male,10000,0,Bachelors,Manual,Yes,0,0-1 Miles,Europe,48,No,-59.62052,-77.10857,Burntisland,DM7 8SL,United Kingdom
29441,Married,Female,20000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,70,No,83.23444,-0.22927,Bottrop,75782,Germany
29440,Single,Male,20000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,No,32.46051,175.8006,St. David's,M80 9YC,United Kingdom
29439,Married,Female,20000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,No,87.01058,116.62104,Rothesay,G04 6IZ,United Kingdom
29438,Married,Male,20000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,No,-13.08665,65.61001,Lauder,GF75 6YC,United Kingdom
29437,Single,Female,20000,0,Graduate Degree,Clerical,No,0,0-1 Miles,Europe,44,No,-62.99891,-170.1788,Ajaccio,53384,France
29436,Single,Female,10000,0,Bachelors,Manual,No,0,0-1 Miles,Europe,45,No,7.11524,-0.24771,Markkleeberg,75542,Germany
29435,Married,Male,10000,0,Bachelors,Manual,Yes,0,0-1 Miles,Europe,44,No,-64.26743,43.38219,Montpellier,94451,France
29434,Married,Female,10000,0,Bachelors,Manual,Yes,0,0-1 Miles,Europe,44,No,-72.41211,26.91538,Merzig,44036,Germany
29430,Single,Female,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,31,No,-19.4714,80.10937,Berlin,66257,Germany
29429,Single,Female,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,31,No,-36.14319,144.98053,Husum,54514,Germany
29428,Married,Male,20000,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,32,No,-29.6332,72.30464,Saint-Malo,72546,France
29427,Single,Male,20000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,32,No,-0.98943,-118.78928,Cawdor,EB11 5SJ,United Kingdom
29426,Single,Male,20000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,32,No,-22.91305,-152.01615,Kinross,Z7 7WL,United Kingdom
29425,Single,Male,20000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,32,No,76.76836,68.52531,Stendal,28448,Germany
29424,Married,Male,10000,0,Partial High School,Manual,Yes,2,0-1 Miles,Europe,32,No,43.03843,163.77749,Oberursel,81959,Germany
29423,Single,Male,20000,0,High School,Manual,No,1,2-5 Miles,Europe,30,No,-24.70509,96.30617,Wolverhampton,LM83 5OR,United Kingdom
29422,Single,Male,20000,0,High School,Manual,Yes,1,2-5 Miles,Europe,30,No,-89.98557,-162.02105,Holywell,T6Y 7UP,United Kingdom
29421,Single,Male,20000,0,High School,Manual,No,1,2-5 Miles,Europe,30,No,-19.41759,-85.88991,Felixstowe,O93 1AN,United Kingdom
29420,Married,Female,20000,0,High School,Manual,No,1,2-5 Miles,Europe,30,No,-57.90648,-163.13495,Épernay,89,France
29419,Single,Female,20000,0,High School,Manual,Yes,1,2-5 Miles,Europe,29,No,-31.07006,-1.35417,Coupar Angus,MU28 4JJ,United Kingdom
