Date,Visite
11/20/13,32
11/21/13,27
11/22/13,30
11/23/13,25
11/24/13,14
11/25/13,41
11/26/13,32
11/27/13,48
11/28/13,22
11/29/13,26
11/30/13,23
12/1/13,27
12/2/13,40
12/3/13,42
12/4/13,46
12/5/13,49
12/6/13,26
12/7/13,15
12/8/13,20
12/9/13,33
12/10/13,32
12/11/13,46
12/12/13,32
12/13/13,38
12/14/13,27
12/15/13,31
12/16/13,65
12/17/13,33
12/18/13,42
12/19/13,46
12/20/13,37
12/21/13,20
12/22/13,23
12/23/13,37
12/24/13,30
12/25/13,16
12/26/13,33
12/27/13,28
12/28/13,37
12/29/13,18
12/30/13,38
12/31/13,32
1/1/14,16
1/2/14,31
1/3/14,34
1/4/14,25
1/5/14,27
1/6/14,47
1/7/14,48
1/8/14,43
1/9/14,44
1/10/14,46
1/11/14,25
1/12/14,31
1/13/14,40
1/14/14,45
1/15/14,46
1/16/14,48
1/17/14,33
1/18/14,29
1/19/14,26
1/20/14,43
1/21/14,71
1/22/14,43
1/23/14,51
1/24/14,34
1/25/14,25
1/26/14,30
1/27/14,47
1/28/14,49
1/29/14,49
1/30/14,48
1/31/14,40
2/1/14,36
2/2/14,33
2/3/14,45
2/4/14,53
2/5/14,48
2/6/14,30
2/7/14,34
2/8/14,20
2/9/14,18
2/10/14,37
2/11/14,47
2/12/14,35
2/13/14,52
2/14/14,50
2/15/14,27
2/16/14,27
2/17/14,55
2/18/14,58
2/19/14,51
2/20/14,51
2/21/14,52
2/22/14,37
2/23/14,36
2/24/14,44
2/25/14,51
2/26/14,55
2/27/14,48
2/28/14,54
3/1/14,35
3/2/14,37
3/3/14,60
3/4/14,54
3/5/14,57
3/6/14,40
3/7/14,35
3/8/14,22
3/9/14,34
3/10/14,50
3/11/14,64
3/12/14,45
3/13/14,50
3/14/14,59
3/15/14,29
3/16/14,23
3/17/14,60
3/18/14,56
3/19/14,58
3/20/14,53
3/21/14,70
3/22/14,37
3/23/14,28
3/24/14,61
3/25/14,74
3/26/14,36
3/27/14,51
3/28/14,52
3/29/14,30
3/30/14,31
3/31/14,59
4/1/14,73
4/2/14,64
4/3/14,82
4/4/14,63
4/5/14,37
4/6/14,53
4/7/14,89
4/8/14,89
4/9/14,84
4/10/14,96
4/11/14,71
4/12/14,55
4/13/14,63
4/14/14,106
4/15/14,76
